weight logl C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
0.000000000000000000e+00 -5.500225567774610681e+03 1.325511951922406979e+02 5.361551778417253944e-01 1.218378863013410864e+03 1.211097071735057852e+03 1.211515821150768033e+03 3.045422105597719451e+02 1.720822548132992722e+02 2.864072107605865085e+02 5.756505439479614239e+00 1.214160569277846889e+03
0.000000000000000000e+00 -5.433742126616427413e+03 1.324102585843556028e+02 1.413226202708528778e-01 1.211028087853563193e+03 1.212026963704182890e+03 1.218570233133387774e+03 2.707903217941318985e+02 2.056047524190432227e+02 3.472159705454129153e+02 6.220145278501091113e+00 1.214457044924094816e+03
0.000000000000000000e+00 -5.405255647404114825e+03 1.671153549648922763e+02 1.635035584694969346e-01 1.211114915530167309e+03 1.213045670085566144e+03 1.215718382737158208e+03 4.026789999566009470e+01 3.448666609204598785e+02 2.470038188153143892e+02 3.782646901981176590e+00 1.213967023413983952e+03
0.000000000000000000e+00 -5.270261767246796808e+03 1.655459160787962105e+02 3.459899484983570694e-01 1.217817254488600838e+03 1.217922672120880407e+03 1.218446887646461619e+03 2.520763118489176691e+02 3.512765308877322923e+02 2.162179311147253031e+02 4.950715748622138257e+00 1.218028546453175977e+03
0.000000000000000000e+00 -5.262388472664393703e+03 1.466795018593938948e+02 4.336667002924576853e-01 1.215319297071614301e+03 1.219945525354372421e+03 1.215995049464359454e+03 3.338512880651877595e+02 2.762508459106276746e+02 3.811165298176567831e+02 6.757717685349439840e+00 1.216868440504355931e+03
0.000000000000000000e+00 -5.178618220501382893e+03 2.101738775614256554e+02 1.739223668974955728e-01 1.218152210725010946e+03 1.214201297050968378e+03 1.216414697938682821e+03 2.867333790639237918e+02 3.869302541721433499e+02 3.819237670578280017e+02 5.022448139328770544e+00 1.216075333471488648e+03
0.000000000000000000e+00 -5.134923345755650189e+03 2.161927591274003078e+02 4.376990472996070691e-01 1.213125787411447845e+03 1.212469764435441675e+03 1.215644606789797763e+03 1.657873409800024547e+02 3.531869481064935030e+02 2.391484327462487443e+02 3.506698026764116793e+00 1.213614722702852760e+03
0.000000000000000000e+00 -5.106057430172370005e+03 1.693658210673048927e+02 6.880199771080054427e-01 1.212066507805550373e+03 1.210866660524547115e+03 1.210247648255112608e+03 2.373362174549835117e+02 5.741179511984824302e+01 3.894969671683372212e+02 4.040041700451795670e+00 1.210930473654208072e+03
0.000000000000000000e+00 -5.096442702164620641e+03 1.251954480531168485e+02 9.826567597631359341e-01 1.217778969168294907e+03 1.219840541252701541e+03 1.219294374543181675e+03 3.974748700090525517e+02 2.997940698260527483e+02 1.815515166138569043e+02 7.019587933229839649e+00 1.218795298752984536e+03
0.000000000000000000e+00 -5.005954544888324563e+03 1.592935038227311111e+02 3.782416716047700689e-01 1.213058298007347275e+03 1.212457427316311396e+03 1.213745357250573306e+03 3.162218961098390650e+02 5.528835067412689597e+01 3.815659787655189916e+02 4.727601612602743586e+00 1.213362300809943690e+03
