weight logl B
0.000000000000000000e+00 -1.805878777039190027e+03 1.960895598411643803e+01
0.000000000000000000e+00 -1.763841858433448579e+03 1.998946301327729813e+01
0.000000000000000000e+00 -1.744864274278632365e+03 2.016479675533565796e+01
0.000000000000000000e+00 -1.743969101716616933e+03 2.017312309749392796e+01
0.000000000000000000e+00 -1.724292663848458687e+03 2.035743082544747651e+01
0.000000000000000000e+00 -1.717737684436595373e+03 2.041938427603150430e+01
0.000000000000000000e+00 -1.715047443979079617e+03 2.044489163067663284e+01
0.000000000000000000e+00 -1.708802445365754465e+03 2.050428585413474991e+01
0.000000000000000000e+00 -1.677715207250248568e+03 2.080380411413102948e+01
0.000000000000000000e+00 -1.669071931929194761e+03 2.088824177734381848e+01
0.000000000000000000e+00 -1.630730824086032953e+03 2.126908565479503821e+01
0.000000000000000000e+00 -1.629622241055478298e+03 2.128025271312287003e+01
0.000000000000000000e+00 -1.626295161264644776e+03 2.131382065031633033e+01
0.000000000000000000e+00 -1.625869239246521829e+03 2.131812370002619161e+01
0.000000000000000000e+00 -1.604536485280894340e+03 2.153534514646656817e+01
0.000000000000000000e+00 -1.586814631849530997e+03 2.171837236738786103e+01
0.000000000000000000e+00 -1.566491262149917020e+03 2.193121385650464816e+01
0.000000000000000000e+00 -1.545584364509961233e+03 2.215353292150262732e+01
0.000000000000000000e+00 -1.536931746965206912e+03 2.224656290802912295e+01
0.000000000000000000e+00 -1.529653848049203589e+03 2.232528209671198383e+01
0.000000000000000000e+00 -1.508904843642269043e+03 2.255210089747509272e+01
0.000000000000000000e+00 -1.503907188763218073e+03 2.260727025308968408e+01
0.000000000000000000e+00 -1.464076482000116812e+03 2.305463702331551445e+01
0.000000000000000000e+00 -1.422572713010347798e+03 2.353587856708678672e+01
0.000000000000000000e+00 -1.411882667362726352e+03 2.366243099867095623e+01
0.000000000000000000e+00 -1.410309717877002186e+03 2.368114427023039070e+01
0.000000000000000000e+00 -1.396334340830808287e+03 2.384845947230438412e+01
0.000000000000000000e+00 -1.359831117140414790e+03 2.429462055173117108e+01
0.000000000000000000e+00 -1.354170136483246097e+03 2.436502848087913620e+01
0.000000000000000000e+00 -1.353019252830221376e+03 2.437938330217872362e+01
0.000000000000000000e+00 -1.349678183383861324e+03 2.442113454582174370e+01
0.000000000000000000e+00 -1.346987370788412591e+03 2.445484516117766205e+01
0.000000000000000000e+00 -1.343647734484900866e+03 2.449679050966857474e+01
0.000000000000000000e+00 -1.336405136717861751e+03 2.458816349837809057e+01
0.000000000000000000e+00 -1.330961967315872243e+03 2.465720446199927096e+01
0.000000000000000000e+00 -1.325631106194610766e+03 2.472513119129797587e+01
0.000000000000000000e+00 -1.321449877922937958e+03 2.477862560237510436e+01
0.000000000000000000e+00 -1.294695550599974013e+03 2.512550902342498560e+01
0.000000000000000000e+00 -1.272708228073039209e+03 2.541669506348097585e+01
0.000000000000000000e+00 -1.263232765407043189e+03 2.554393428471957250e+01
0.000000000000000000e+00 -1.247665921188252469e+03 2.575531999842161213e+01
0.000000000000000000e+00 -1.246043188151725190e+03 2.577752603460637815e+01
0.000000000000000000e+00 -1.243124336787017455e+03 2.581755055578178570e+01
0.000000000000000000e+00 -1.238085069778300749e+03 2.588690035748793150e+01
0.000000000000000000e+00 -1.233612497849026113e+03 2.594871759387584831e+01
0.000000000000000000e+00 -1.231367644872854726e+03 2.597983960262091330e+01
0.000000000000000000e+00 -1.217959081009634247e+03 2.616706910537654096e+01
0.000000000000000000e+00 -1.183726529857223795e+03 2.665575925384766620e+01
0.000000000000000000e+00 -1.171405576226310586e+03 2.683553818601438579e+01
0.000000000000000000e+00 -1.165875091763175078e+03 2.691692535796971342e+01
0.000000000000000000e+00 -1.157348777370980315e+03 2.704325046170470515e+01
0.000000000000000000e+00 -1.154845585435226894e+03 2.708053550854867453e+01
0.000000000000000000e+00 -1.133750989741718513e+03 2.739837914536283847e+01
0.000000000000000000e+00 -1.130136409378857934e+03 2.745350592382899180e+01
0.000000000000000000e+00 -1.127013085424143355e+03 2.750129957745996023e+01
0.000000000000000000e+00 -1.094539587340090293e+03 2.800717396205932985e+01
0.000000000000000000e+00 -1.079632391840636046e+03 2.824505237585707107e+01
0.000000000000000000e+00 -1.045382791048483341e+03 2.880579438076497212e+01
0.000000000000000000e+00 -1.044047496366132691e+03 2.882807092899165724e+01
0.000000000000000000e+00 -1.034702683545165200e+03 2.898486742731875054e+01
0.000000000000000000e+00 -1.034549477175707580e+03 2.898745126920930915e+01
1.482196937523739633e-323 -1.028052822473357082e+03 2.909741413538927546e+01
8.988743620243513988e-312 -1.000898303959244004e+03 2.956561396881114234e+01
1.853754026267542110e-310 -9.978693940725152061e+02 2.961871978014319851e+01
3.361735568603893276e-308 -9.926664792940628104e+02 2.971036581829150691e+01
6.203414161664215695e-306 -9.874461666752413294e+02 2.980286159842561133e+01
3.854775529272767348e-287 -9.441703369432216277e+02 3.059145991990105529e+01
1.926521081141916464e-284 -9.379536786133558053e+02 3.070807853289528921e+01
1.681132414119886165e-278 -9.242719162607663748e+02 3.096783472329304132e+01
1.341896082440614932e-276 -9.198896300964352122e+02 3.105195385264294572e+01
3.247526339505134746e-273 -9.120955648379294871e+02 3.120268788697856266e+01
6.611385639145644132e-272 -9.090795800655650964e+02 3.126140709004899776e+01
2.020695242372580701e-269 -9.033546764145958150e+02 3.137347596006998529e+01
2.098905862286315260e-269 -9.033142018551916408e+02 3.137427113691629899e+01
6.584020405511289967e-269 -9.021684724835577072e+02 3.139679727536613996e+01
7.243434810937807178e-264 -8.905575970659192535e+02 3.162692378753319034e+01
9.970273959706501438e-260 -8.810252441472366627e+02 3.181841350186011042e+01
9.088086907475357296e-259 -8.788128026914291695e+02 3.186319453331169882e+01
7.148408124923477703e-258 -8.767477923312035273e+02 3.190510728054045586e+01
1.117909638631263369e-255 -8.716929661969243170e+02 3.200817889508689262e+01
5.447004944808702104e-251 -8.608965204660871677e+02 3.223062433375049807e+01
1.385195775036967507e-248 -8.553554896098430618e+02 3.234602829125975632e+01
2.915508687646199438e-247 -8.523062016888270591e+02 3.240990106742729182e+01
1.130069230430233349e-243 -8.440411267316248995e+02 3.258435008726231530e+01
1.426476253075621896e-243 -8.438056983837923326e+02 3.258934781665762159e+01
5.293963317775422574e-243 -8.424918384535776568e+02 3.261726810131725074e+01
5.844291315113052203e-237 -8.285749297291476978e+02 3.291611124793318766e+01
3.348460880828720373e-234 -8.222216389896893816e+02 3.305446041720037442e+01
5.654439179629535735e-234 -8.216951988592227281e+02 3.306597930957689613e+01
5.244153878793123696e-227 -8.056499302311822248e+02 3.342120022070231755e+01
2.033504741919991238e-224 -7.996870280831899436e+02 3.355529912701493345e+01
