A lam0 gamma C W
3.679132892768004126e+02 1.215596263998219229e+03 7.833028124442629192e-01 2.016449050024256167e+02 1.824560304523314080e+00
4.681340852947429880e+02 1.215759065419824083e+03 8.826429367340707932e-01 2.093774031083686396e+02 2.235838626064380996e+00
3.839523832018164740e+02 1.215642988190984397e+03 7.789381330121356584e-01 2.158332520169149689e+02 1.778930631002705320e+00
3.713292887731116707e+02 1.215694433144708000e+03 7.014370628232241556e-01 2.043649522317679725e+02 1.816991048210611748e+00
3.869781647371308964e+02 1.215723001381185895e+03 7.853629750130934895e-01 2.159604803776513791e+02 1.791893424484053199e+00
4.568910656820561940e+02 1.215678166304973047e+03 8.572214701350477917e-01 2.127800831952715725e+02 2.147245450894763596e+00
3.942935142050858417e+02 1.215696466932351541e+03 7.244195093511179850e-01 2.091157476494446996e+02 1.885527601996132452e+00
4.644284423748130166e+02 1.215670544360206122e+03 8.999221817169512638e-01 2.154914214241887862e+02 2.155206176215241243e+00
3.848276593438177429e+02 1.215653522981968308e+03 8.024442822485708948e-01 2.043005089708618129e+02 1.883635343261447659e+00
4.229424399541152866e+02 1.215741969450322358e+03 7.787056843408877160e-01 2.087240815361571435e+02 2.026323157545427911e+00
3.605525777135251246e+02 1.215727880815102708e+03 7.804040814804223958e-01 2.073188473214045189e+02 1.739121080268036357e+00
3.545378349872314629e+02 1.215680181043897164e+03 8.657970222755839718e-01 2.033516363435131495e+02 1.743471758389620208e+00
4.062365003138045267e+02 1.215718999545169709e+03 7.351189585075954547e-01 2.106481719379452784e+02 1.928507124350822721e+00
3.951385030528753077e+02 1.215648718571784684e+03 6.882471355558383852e-01 2.093136539705415657e+02 1.887781783736317553e+00
4.069044647451834180e+02 1.215707742725965545e+03 7.684740400720034836e-01 2.185901475000540017e+02 1.861494991420337808e+00
3.914887398409598518e+02 1.215668305800291364e+03 7.494361586956236332e-01 2.136441371736831059e+02 1.832433808013636423e+00
4.651351579213182390e+02 1.215667871633394270e+03 9.225962451518359142e-01 2.105458126773046388e+02 2.209187406800688702e+00
2.962225476756283911e+02 1.215791600066556612e+03 5.474638461956864433e-01 2.023909658430919762e+02 1.463615465451562736e+00
3.947228044585802991e+02 1.215673633772677022e+03 7.462584317111309318e-01 2.184169630643821165e+02 1.807198483673766010e+00
3.798774270951993230e+02 1.215695110786580017e+03 7.278440539934253328e-01 2.110200245828786478e+02 1.800196108620968793e+00
4.687582909164692637e+02 1.215836901143956311e+03 9.133691462631181590e-01 2.103469392722258249e+02 2.228500650108408809e+00
3.574259011985274697e+02 1.215672824424994133e+03 7.249137381737148500e-01 2.043242249983859153e+02 1.749307509676598649e+00
4.372195475047984701e+02 1.215630313537696793e+03 8.159071615019900525e-01 2.077053239395737023e+02 2.104999232624368055e+00
4.147835391070988749e+02 1.215710331137118601e+03 8.104704827286089985e-01 2.082407006887831358e+02 1.991846635816862499e+00
4.306116465271824154e+02 1.215534153093610939e+03 8.822262994055590779e-01 2.041546968742850368e+02 2.109241928400725108e+00
3.142053336416789193e+02 1.215796464233970255e+03 5.854549483713679114e-01 2.012344985790156215e+02 1.561389005664477470e+00
5.628351888547692852e+02 1.215691063426443407e+03 9.232942338866727550e-01 2.333574612807051949e+02 2.411901405533959153e+00
3.683363791837858230e+02 1.215594270758163248e+03 6.877194130778303549e-01 2.061067798013856418e+02 1.787114327528344315e+00
3.456445094800076276e+02 1.215777248069996858e+03 7.563649800707719084e-01 2.044545829651394513e+02 1.690568655724101754e+00
3.919162733115848027e+02 1.215690319860751742e+03 7.443512924553393750e-01 2.064097768561117334e+02 1.898729213707690100e+00
3.585635253212138878e+02 1.215785198736909479e+03 7.265626682873981279e-01 2.014583960693374252e+02 1.779839075050535069e+00
4.082481085656762616e+02 1.215712013842892020e+03 8.444258480861400740e-01 2.126831645160472135e+02 1.919513044178320138e+00
3.788966286155040279e+02 1.215663954253407837e+03 7.927743405479396044e-01 2.101106179782923959e+02 1.803319757284469027e+00
3.518535520537039929e+02 1.215659342662384915e+03 5.948531590299859229e-01 2.147182596952790732e+02 1.638675502274667739e+00
4.159421224303065969e+02 1.215757132830656928e+03 9.750593680297924282e-01 2.028340879741937215e+02 2.050651971690410580e+00
3.236568815120502904e+02 1.215705846682009224e+03 7.216029609395561151e-01 2.022678070866730025e+02 1.600140359327479667e+00
3.084832370481918815e+02 1.215694031290047178e+03 6.566101959260196574e-01 2.005371901641463523e+02 1.538284428916592006e+00
4.424891321736531040e+02 1.215745856399758395e+03 8.046082937260935486e-01 2.133376620955521048e+02 2.074125720827793007e+00
5.080578969907582518e+02 1.215773521806421058e+03 9.702887472101193733e-01 2.191721626997744465e+02 2.318076760900991573e+00
4.833595257314622700e+02 1.215676504028553154e+03 7.910518402732091836e-01 2.235619692103665557e+02 2.162082967146492951e+00
4.342624997627691528e+02 1.215723667944242379e+03 8.114512785155143515e-01 2.118690530890026196e+02 2.049674048339390264e+00
4.097797490392695181e+02 1.215809691862873024e+03 9.078154178225374960e-01 2.120132982110069690e+02 1.932802104853983183e+00
4.340225683534609971e+02 1.215713678774311802e+03 9.316642444582278193e-01 2.141178185320159741e+02 2.027026855257092031e+00
3.562704901750119006e+02 1.215644500813356444e+03 6.960853788032324019e-01 2.060643962005351852e+02 1.728927930996391193e+00
3.354699605504015381e+02 1.215632676208129624e+03 7.040258345557195430e-01 1.995058772428915574e+02 1.681504150085655791e+00
3.862719451264480313e+02 1.215684797174875712e+03 7.712376503798781258e-01 2.059183788812761691e+02 1.875849777105889515e+00
4.134475469066757114e+02 1.215688080482085297e+03 7.862326347377602831e-01 2.129239437258831913e+02 1.941761643485925726e+00
3.947228044585802991e+02 1.215673633772677022e+03 7.462584317111309318e-01 2.184169630643821165e+02 1.807198483673766010e+00
3.401082572475661436e+02 1.215688253203415115e+03 6.199119767742936604e-01 2.030772728769908326e+02 1.674772624377216967e+00
3.964213400586256171e+02 1.215642180545625024e+03 8.540701935066566941e-01 2.162233079291058004e+02 1.833388564144075694e+00
4.095359458159149426e+02 1.215685057478637646e+03 8.563258332000471817e-01 2.076669345209283222e+02 1.972080662531485507e+00
3.709596864508728800e+02 1.215855676167720048e+03 7.574336603512210608e-01 2.100755690279318060e+02 1.765839255689698017e+00
3.541493168342923923e+02 1.215590568694641206e+03 6.858550760075331487e-01 2.042070641043621322e+02 1.734265748286262676e+00
3.433466946023422679e+02 1.215779595888968515e+03 7.345485856532464330e-01 2.016688004635132359e+02 1.702527578947255149e+00
3.501261414840096222e+02 1.215665399621449751e+03 6.614873919936498092e-01 2.064429199726512252e+02 1.695994910023521207e+00
3.730601513725081873e+02 1.215728229546653665e+03 7.299324735320432689e-01 2.080364798947227314e+02 1.793243913573696391e+00
3.660415424647693499e+02 1.215657730883742033e+03 7.039293415046802282e-01 2.106371816028232615e+02 1.737782188687731377e+00
3.388043445490267231e+02 1.215676414211085557e+03 6.802034933031211317e-01 2.016758869383746742e+02 1.679944735547655554e+00
4.929662017621012637e+02 1.215722069276748698e+03 8.961279594220897815e-01 2.178260371388165026e+02 2.263118809107026230e+00
3.511880141728476019e+02 1.215747425909349431e+03 7.026589412649828503e-01 2.068246774664273175e+02 1.697998606717779024e+00
3.158556195399155513e+02 1.215601947333392673e+03 6.192971953764579984e-01 2.027699831338693457e+02 1.557704028270233243e+00
3.741339664667396505e+02 1.215812187395485580e+03 7.922568525169559894e-01 2.050499676719189779e+02 1.824599002450739027e+00
4.033048914656627062e+02 1.215726318019455903e+03 7.937936659579846177e-01 2.085558846366770354e+02 1.933797706874854194e+00
3.572404730280528611e+02 1.215737573321216360e+03 6.263130568417034638e-01 2.062139709720387941e+02 1.732377643202905215e+00
3.148769036564353314e+02 1.215658432818886240e+03 6.564353263615820833e-01 2.020554047079583313e+02 1.558369122130358608e+00
3.575550341237212706e+02 1.215723819488358231e+03 7.064842986872162944e-01 2.092576351409757649e+02 1.708683336131741726e+00
3.376103938187491167e+02 1.215762835797522257e+03 6.632337169830115897e-01 1.990274259970910293e+02 1.696300859679929829e+00
3.326562337381111547e+02 1.215627745827738863e+03 6.177475615593862601e-01 2.044205094077255467e+02 1.627313397769760472e+00
3.203554090370777203e+02 1.215701193716461376e+03 5.938774959462156389e-01 2.018344059417379128e+02 1.587219025132674322e+00
3.901721402331656350e+02 1.215632468577988220e+03 8.381369819438734270e-01 2.052459113408976066e+02 1.900998356966633329e+00
4.260116273765053165e+02 1.215730670232749162e+03 8.077280526813499506e-01 2.136612773417693631e+02 1.993864460030647212e+00
3.174806240022063548e+02 1.215694570138989093e+03 6.433788991600697393e-01 1.972323346939869566e+02 1.609678374972282944e+00
4.601158615345590874e+02 1.215787313056772973e+03 9.164106221557020149e-01 2.195373676584027294e+02 2.095843028647830675e+00
5.304021773356137146e+02 1.215663050756387065e+03 1.006078588667136620e+00 2.244290701730805040e+02 2.363339904792929325e+00
5.149155173830265539e+02 1.215666773283651310e+03 8.967131931611523887e-01 2.164066052082646081e+02 2.379389098994848073e+00
3.851438857679821126e+02 1.215796650079750634e+03 7.286055778944793282e-01 2.072310121354918806e+02 1.858524367560233426e+00
4.024294915272612343e+02 1.215667378953827665e+03 8.049397795875764539e-01 2.088144011848434616e+02 1.927211386014649586e+00
2.588054558730939334e+02 1.215631432066028765e+03 5.205478658394562252e-01 1.942297641918520412e+02 1.332470628021031445e+00
4.215472477594237830e+02 1.215722212548572315e+03 7.838704178217419383e-01 2.107400488189663861e+02 2.000318639584015123e+00
3.067308845207946888e+02 1.215826953229577384e+03 6.395645464877145470e-01 2.012993185842787227e+02 1.523755205323134465e+00
