m0 p a1 b1 m_100 m_200 m_300 m_400
1.514898211548088192e+01 1.007779705853975258e+02 1.360805192719086065e+00 4.524989411367954517e-01 1.648624748414583863e+01 1.645956217721877834e+01 1.642979415594466275e+01 1.639701343993461080e+01
1.500068227071062665e+01 1.007700995847794161e+02 1.354570654862197188e+00 5.274472303998845035e-01 1.632837494904062936e+01 1.629843638885220258e+01 1.626550625907194103e+01 1.622966046990003974e+01
1.508914217580023376e+01 9.886381366496338785e+01 1.225834709267372702e+00 7.780248152953710417e-01 1.636791410590545581e+01 1.641418650526178524e+01 1.645355291637810424e+01 1.648580816576234653e+01
1.504095344721522665e+01 9.963729111943129624e+01 1.308517099979995990e+00 7.733332824733025745e-01 1.636681490744431855e+01 1.638346566382861624e+01 1.639941410576309266e+01 1.641465189006763836e+01
1.504752730137611394e+01 9.956616515970347336e+01 1.288537662133901307e+00 7.464811813096350335e-01 1.635601627504118127e+01 1.637498690510205535e+01 1.639296263565507061e+01 1.640992999431625776e+01
1.506220544289054430e+01 1.006012077529782118e+02 1.331298932462717133e+00 6.408251019161959050e-01 1.636850910905350887e+01 1.634167224146631980e+01 1.631303160668125329e+01 1.628262758170349045e+01
1.501799103894622434e+01 1.003852332466587711e+02 1.269796611039865297e+00 7.238512105139527364e-01 1.626996671251512794e+01 1.625141792411177022e+01 1.623215206833452484e+01 1.621218034561755417e+01
1.511080346650539852e+01 9.868515812612552907e+01 1.121479419670878386e+00 1.014644988229180811e+00 1.631319692444770197e+01 1.638568933452408061e+01 1.644925237568160270e+01 1.650344084897476193e+01
1.508852093660406446e+01 9.953528251340858901e+01 1.389745897834973931e+00 7.642100855725892927e-01 1.650008407773471220e+01 1.652068666636273520e+01 1.654005687172867312e+01 1.655817802570789254e+01
1.501276284307136777e+01 9.977072302554448413e+01 1.228315964992463094e+00 8.122823109711170275e-01 1.625267890645815072e+01 1.626402050570028734e+01 1.627510124128034619e+01 1.628591880307361350e+01
1.502906472144755057e+01 1.012509434413413771e+02 1.358285634635777228e+00 5.543542908995213736e-01 1.634026960885677227e+01 1.628529136617351725e+01 1.622274676653524494e+01 1.615301252123720843e+01
1.507687320191383940e+01 1.002551977830806891e+02 1.139871008304890410e+00 8.426711318271209450e-01 1.620312154078015965e+01 1.618921078369163524e+01 1.617501549724237364e+01 1.616053931250252162e+01
1.498299291811757783e+01 9.866942543103981222e+01 1.083743370556886632e+00 9.977487778233573579e-01 1.614728643501921823e+01 1.621948294402624668e+01 1.628280781620097883e+01 1.633680670475806451e+01
1.507588626604344384e+01 9.939766592282245483e+01 1.170709123733814749e+00 8.486626571185524881e-01 1.627805200920194650e+01 1.630776604305799538e+01 1.633569441970834646e+01 1.636179665589485666e+01
1.507997038863110362e+01 9.872697175122331714e+01 1.172164105089715136e+00 1.082433785441935470e+00 1.633589042257965573e+01 1.641140708390829417e+01 1.647818906242641646e+01 1.653579824537816378e+01
1.504048684540771674e+01 1.006447600343890372e+02 1.299192197729240661e+00 6.194781191120100061e-01 1.631369823473909619e+01 1.628565482405277010e+01 1.625559424139971654e+01 1.622356518492001243e+01
1.507810348490830066e+01 1.000880655546301057e+02 1.266246769557895391e+00 6.066360600011115878e-01 1.634097716180164284e+01 1.633756547102174039e+01 1.633411528640043997e+01 1.633062671338821659e+01
