weight logl m0 p a1 b1 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -1.620038371277002079e+04 1.947681799740492181e+01 6.887348022458894548e+01 9.363866188534260004e+00 -6.652366205707414437e+00 8.558167122271335359e+00 3.096207481787751803e+01 8.464413930080862514e+00 2.901970555577876709e+01
0.000000000000000000e+00 -1.609841399600348450e+04 1.585261007926224153e+01 1.360206145266294016e+02 -9.862293338933753262e+00 -9.164192000629725499e+00 2.589396829316211068e+01 2.384790304622373469e+01 4.324678572649716557e+00 1.000071763167703409e+01
0.000000000000000000e+00 -1.609241950093587002e+04 1.131962118967368447e+01 1.034413811503102920e+02 -7.886519841767658079e+00 -4.395294582775736814e+00 4.516870118554129121e+00 5.896807669701345844e+00 7.512836186149772111e+00 9.294599250331716078e+00
0.000000000000000000e+00 -1.573620874009249746e+04 1.920859711206417941e+01 1.232048254873039212e+02 -9.982750632038300154e+00 4.066420771510767196e+00 1.167221865889742283e+01 2.349713506251486450e+01 2.998523842287244889e+01 2.306249627491163068e+01
0.000000000000000000e+00 -1.554642549155259439e+04 1.992124032159725644e+01 1.237016996048577937e+02 -7.223301823789900489e+00 9.257584955507109470e+00 8.688585179182485518e+00 1.908539397126820703e+01 3.055419668374215192e+01 2.838596602102064992e+01
0.000000000000000000e+00 -1.552831631333940459e+04 1.758055276623572993e+01 7.395324014957498093e+01 8.941554723669533189e+00 -8.088636930787496127e+00 5.747764073552563246e+00 2.281328156579411726e+01 2.314515028848381917e+01 5.682093256741822529e+00
0.000000000000000000e+00 -1.544333785073630861e+04 1.225084933511633878e+01 1.006408823657055223e+02 -6.263078227704125922e+00 -7.357028372816076356e+00 6.287070231584834801e+00 6.595915568708133669e+00 6.913812750478783187e+00 7.240252919318150404e+00
0.000000000000000000e+00 -1.536605723236283666e+04 1.160062745946753893e+01 1.317286581901232694e+02 8.726227301101417311e+00 2.377210641480665743e+00 9.727984570206741566e+00 2.659520946703501920e+00 1.244730969714214019e+01 2.063888779307142585e+01
0.000000000000000000e+00 -1.514541320587749578e+04 1.760677112439337577e+01 9.564429425018323627e+01 -8.686470857300584214e+00 6.750108634828304588e+00 1.117871904683807749e+01 1.395986229105471921e+01 1.703756947779744024e+01 2.016156372355950310e+01
0.000000000000000000e+00 -1.494582701032913246e+04 1.083340083566841194e+01 1.822268329974941423e+02 6.850854080665236268e+00 7.000968322946029332e+00 2.189886946844527671e+00 2.046439166147181865e+01 1.112103939406226871e+00 1.973942051216778992e+01
0.000000000000000000e+00 -1.491668131762848498e+04 1.692476397895191553e+01 1.125426785607072588e+02 7.229200554807377443e+00 -9.681299459223229320e+00 2.869151149211757001e+01 2.769118748669373531e+01 2.162378236470874526e+01 1.334484364368590725e+01
0.000000000000000000e+00 -1.491145464956949581e+04 1.736013658597638454e+01 1.693367435844140800e+02 8.632783056752376893e+00 -6.528904851824179900e+00 1.360397342933027431e+01 1.505654449954103491e+01 2.499788678363344374e+01 6.794005614984200747e+00
0.000000000000000000e+00 -1.485451365135388914e+04 1.522455473543502080e+01 1.500742246204649746e+02 -7.223064659310156621e+00 -9.440974838076980902e+00 2.701536562953658915e+01 1.061452463653812472e+01 8.060306296484291977e+00 2.702452549327764686e+01
0.000000000000000000e+00 -1.468613655709251361e+04 1.125228800597011514e+01 6.502970556543782266e+01 -7.826326031708392250e+00 7.261456579620610086e+00 1.715276013862064275e+01 7.608225107385534258e+00 1.243579454375856663e+01 1.259564004874731147e+01
0.000000000000000000e+00 -1.464667785386945798e+04 1.185547007843957701e+01 1.868505850453895789e+02 -9.698829415654364183e+00 -7.973022656589582979e+00 2.306662921922485054e+01 -3.222552925355195441e-01 2.440694537261640562e+01 -4.587445434068548877e-01
