weight logl A lam0 gamma C W
0.000000000000000000e+00 -4.629171484641666211e+03 5.875119625197935420e+02 1.211739553084838008e+03 2.516992333092228362e-01 1.445619113627809895e+02 4.064085463323880987e+00
0.000000000000000000e+00 -4.594694149297478361e+03 6.599385774515748153e+02 1.211940438600217249e+03 2.077269402924180330e-01 1.343116218699089472e+02 4.913488261580041261e+00
0.000000000000000000e+00 -4.545110626413708815e+03 7.750029453373929300e+02 1.211574108505209324e+03 2.875245370378186061e-01 2.070542479425879492e+02 3.742994664626662971e+00
0.000000000000000000e+00 -4.506913494265822010e+03 4.320532740372991043e+02 1.212060798839071822e+03 4.952014293025009950e-01 1.462294027296703689e+02 2.954626538658728041e+00
0.000000000000000000e+00 -4.499256147529856207e+03 4.064321544241296920e+02 1.211049640888351178e+03 4.998766244292324190e-01 1.312031969385771788e+02 3.097730572940239124e+00
0.000000000000000000e+00 -4.447636276619769887e+03 7.257172982868299869e+02 1.210936186003733837e+03 7.765962038178295668e-01 2.123656853443364696e+02 3.417300196640191245e+00
0.000000000000000000e+00 -4.362489445260919638e+03 6.563485116829559729e+02 1.217544156952362755e+03 2.158863261060743888e-01 1.613024112001617425e+02 4.069055798976784821e+00
0.000000000000000000e+00 -4.348148779959205058e+03 7.087163323116360516e+02 1.211189652189915932e+03 2.523059836964207658e-01 1.981711008810957253e+02 3.576284983837636489e+00
0.000000000000000000e+00 -4.306946629717904216e+03 7.007698290836076467e+02 1.212454248523938986e+03 2.037025624115242628e-01 1.640308597943146651e+02 4.272182868286693136e+00
0.000000000000000000e+00 -4.260864681472212396e+03 7.757052099915617873e+02 1.210161594637818780e+03 4.641185010721763371e-01 1.279502878954696143e+02 6.062551501449395808e+00
0.000000000000000000e+00 -4.225790971616669594e+03 7.459166086383540915e+02 1.214780893189626568e+03 7.033255477967516045e-01 1.528156821985520821e+02 4.881152234553984393e+00
0.000000000000000000e+00 -4.223856555954223950e+03 7.278558763450267861e+02 1.217376441014763031e+03 4.442088930837403415e-01 2.104492896510541868e+02 3.458580817981776523e+00
0.000000000000000000e+00 -4.218158607937074521e+03 7.071512077419104116e+02 1.210784191839448795e+03 3.741479850205846613e-01 1.880178537214386836e+02 3.761085416864737407e+00
0.000000000000000000e+00 -4.061077403484462593e+03 7.069848918838692953e+02 1.218692421120001200e+03 7.851718145759228884e-01 2.369675483882188303e+02 2.983467131649736093e+00
0.000000000000000000e+00 -4.006950990082972112e+03 3.424047144091068731e+02 1.213317646011609668e+03 6.484236990918312848e-01 1.103893471536250246e+02 3.101791280028082021e+00
0.000000000000000000e+00 -3.990279846467088191e+03 3.940940342001350132e+02 1.218883031163597252e+03 3.485152574863242259e-01 1.648569801126089942e+02 2.390520764913568463e+00
0.000000000000000000e+00 -3.986431467043123121e+03 7.866851703759758720e+02 1.210551493712255706e+03 1.429628015468536462e-01 1.586137837249838753e+02 4.959752878350016658e+00
0.000000000000000000e+00 -3.940878768078490793e+03 4.313929255979355730e+02 1.218688502546032623e+03 3.076584500724188764e-01 1.852161097456165635e+02 2.329132850217124240e+00
0.000000000000000000e+00 -3.889955305389612931e+03 7.915486852832831346e+02 1.211621532752238409e+03 6.863548294341413891e-01 2.721504760518341755e+02 2.908496419945719946e+00
0.000000000000000000e+00 -3.879064190153688287e+03 7.240635343034524567e+02 1.216986642563597798e+03 2.889904754135883547e-01 2.611514307034820490e+02 2.772581150916888948e+00
0.000000000000000000e+00 -3.838291345750674282e+03 7.468964087571764594e+02 1.219479204972227762e+03 6.110430812977949433e-01 2.688527656842808256e+02 2.778087132026277217e+00
0.000000000000000000e+00 -3.799201539176328424e+03 3.426121044401330096e+02 1.218455925199835974e+03 2.523337254130418872e-01 1.179630730928701752e+02 2.904401313539879848e+00
0.000000000000000000e+00 -3.770961201855444870e+03 4.879093318384317968e+02 1.210837116333282438e+03 9.375616387772084392e-01 1.390627249115416362e+02 3.508555812844836197e+00
0.000000000000000000e+00 -3.756157627650075028e+03 4.760838225024753001e+02 1.216513161164748908e+03 8.243947577404989735e-01 1.149110734980701096e+02 4.143063048753703903e+00
0.000000000000000000e+00 -3.753074114413639563e+03 5.916301328482325061e+02 1.211883855212968456e+03 2.552550587749110589e-01 2.627984300954250330e+02 2.251269661821819312e+00
0.000000000000000000e+00 -3.699869213559396030e+03 6.361295247898219714e+02 1.217970454549771375e+03 3.095836855249072261e-01 2.558769471469323662e+02 2.486075951283477359e+00
0.000000000000000000e+00 -3.693444456868985071e+03 5.327951464921462730e+02 1.219289175561378670e+03 3.355774844792219769e-01 2.224467569538931286e+02 2.395158076422662763e+00
0.000000000000000000e+00 -3.680664013136511130e+03 7.766326237902826506e+02 1.211290176811923857e+03 1.094447365710817938e-01 2.212966709768986959e+02 3.509463655110093505e+00
0.000000000000000000e+00 -3.672663059539971982e+03 3.670895021074323381e+02 1.211476896579550839e+03 1.869079098641240888e-01 1.155981973379273597e+02 3.175564243742679427e+00
0.000000000000000000e+00 -3.617608228898877314e+03 6.590146667944641194e+02 1.212259728034914588e+03 6.985625651845617234e-01 2.354690320210137600e+02 2.798731795591923976e+00
0.000000000000000000e+00 -3.538996959511336627e+03 7.413672714307181195e+02 1.216126379984759296e+03 1.231202473047700474e+00 1.359247214042970597e+02 5.454248967894377742e+00
0.000000000000000000e+00 -3.532517332366302071e+03 4.869848275241331521e+02 1.210915691373018717e+03 3.357004062838276903e-01 1.729008447524040548e+02 2.816555513198914174e+00
0.000000000000000000e+00 -3.494091146339289025e+03 6.275989649299762050e+02 1.212945150714804413e+03 1.776581882842035165e-01 1.533779856704398696e+02 4.091845137922760500e+00
0.000000000000000000e+00 -3.473923245164367472e+03 6.453938384994083890e+02 1.212968814355259155e+03 2.663047918802938230e-01 2.179188749673866710e+02 2.961624313616692650e+00
0.000000000000000000e+00 -3.467326557931231491e+03 3.340231406451437124e+02 1.210356069299788260e+03 1.861077593254408802e-01 1.157197064624178751e+02 2.886484513799072893e+00
0.000000000000000000e+00 -3.465865900311464884e+03 5.115131771165118266e+02 1.210258733802080314e+03 7.464285637076453206e-01 1.505217589518325951e+02 3.398267338080985134e+00
0.000000000000000000e+00 -3.442649191877563680e+03 4.229337654260152135e+02 1.210703985945271597e+03 1.396106276681152170e-01 1.121528646022112810e+02 3.771047372941345177e+00
0.000000000000000000e+00 -3.431668751982300364e+03 7.673372400453757791e+02 1.212939465094472325e+03 2.131121789884875550e-01 2.346107411517844525e+02 3.270682477188616932e+00
0.000000000000000000e+00 -3.422975397406657066e+03 6.939246483826320855e+02 1.216479530173501189e+03 3.946501310650415428e-01 1.686935965618217779e+02 4.113520978422716468e+00
0.000000000000000000e+00 -3.413071940130962957e+03 5.672694204082333727e+02 1.212514192743021340e+03 4.092386150336105866e-01 2.770038925445107907e+02 2.047875267013010703e+00
0.000000000000000000e+00 -3.293934057631315682e+03 7.533558293733169648e+02 1.218027851734842443e+03 1.528399662424960059e+00 1.526649748787513658e+02 4.934699854839936783e+00
0.000000000000000000e+00 -3.293762735194331071e+03 7.761376036774805698e+02 1.219979183716190846e+03 6.008791884973160302e-01 2.891764959983406698e+02 2.683958116990027065e+00
0.000000000000000000e+00 -3.285411634579147176e+03 6.774079037575975235e+02 1.217099934425913943e+03 5.113228849117420483e-01 2.771907537200034994e+02 2.443832973021395016e+00
0.000000000000000000e+00 -3.270945390568337643e+03 7.414340715228045156e+02 1.210491653868391722e+03 3.116243276911203619e-01 2.189529217580121667e+02 3.386271649492949454e+00
0.000000000000000000e+00 -3.210812530280353258e+03 7.382631424508819009e+02 1.216193277936301911e+03 8.980277159934133557e-01 1.554661708813402186e+02 4.748706025662407626e+00
0.000000000000000000e+00 -3.178112085065546125e+03 4.888614730697127584e+02 1.217033289390436039e+03 2.086419888790463084e-01 1.692761052083479285e+02 2.887953219788544246e+00
0.000000000000000000e+00 -3.176947345302321082e+03 4.402832343662883545e+02 1.210513476948822245e+03 5.755635006874789683e-01 1.536058696559400971e+02 2.866317773874614172e+00
0.000000000000000000e+00 -3.134023059366952566e+03 6.246682688559154712e+02 1.211208094479142574e+03 2.397883922008652302e-01 2.810386321164933747e+02 2.222713169899660279e+00
0.000000000000000000e+00 -3.118356690514318871e+03 5.375041310092286722e+02 1.219007275137633542e+03 5.388758496204094639e-01 2.421359468880187364e+02 2.219844421769435527e+00
0.000000000000000000e+00 -3.090786371346670876e+03 5.886896147839664764e+02 1.211184739054792544e+03 5.559571289668546745e-01 2.516706490242535779e+02 2.339127018054593332e+00
0.000000000000000000e+00 -3.080436269995340808e+03 5.478826765804653860e+02 1.212169275354959382e+03 3.094789882766929012e-01 2.883858992935341234e+02 1.899824776185752295e+00
0.000000000000000000e+00 -3.060371843538341636e+03 5.281525863007412909e+02 1.219483338978108804e+03 1.006747815273004720e+00 1.527134681552694815e+02 3.458454533713744450e+00
0.000000000000000000e+00 -3.057591353219852408e+03 5.750366609020102260e+02 1.217774138999582419e+03 5.921335124224349489e-01 2.673400681745060297e+02 2.150955765174173084e+00
0.000000000000000000e+00 -3.040848014409638836e+03 7.527821595484958834e+02 1.216172994917792494e+03 6.198709334059965270e-01 1.788038523650311618e+02 4.210100339514375456e+00
0.000000000000000000e+00 -3.024927229099497254e+03 5.281201845398043133e+02 1.210549512883193756e+03 2.512227634215793426e-01 2.036827740271097582e+02 2.592856401639112462e+00
0.000000000000000000e+00 -3.013181567491430087e+03 7.729582465522386201e+02 1.213408480037611071e+03 7.884855111837881791e-01 2.802645350058347731e+02 2.757959534680856084e+00
0.000000000000000000e+00 -2.988087017447127437e+03 5.351608120293832371e+02 1.212118264974872091e+03 1.670439030686061699e-01 2.438455553436559455e+02 2.194671177316196875e+00
0.000000000000000000e+00 -2.981075152119628456e+03 5.800823922478786017e+02 1.212362380679632679e+03 1.206680095356108540e+00 1.449860845957283857e+02 4.000952187000221372e+00
0.000000000000000000e+00 -2.977223590797660108e+03 7.185182465534815037e+02 1.217537281602192934e+03 9.817445933438997407e-01 2.117758552599086102e+02 3.392824199300988663e+00
0.000000000000000000e+00 -2.974654106477921232e+03 6.356474277332396241e+02 1.214028819097441101e+03 8.540722870846902959e-01 2.007561655322005549e+02 3.166266032468547653e+00
0.000000000000000000e+00 -2.973982029022773531e+03 5.848037255706913129e+02 1.212147093183055858e+03 1.607112572457770061e-01 2.451838044403935157e+02 2.385164578490185594e+00
0.000000000000000000e+00 -2.924871832977378290e+03 7.846897004307265888e+02 1.219422622940715655e+03 1.765341685041318387e-01 2.570415254889680909e+02 3.052774056402044245e+00
0.000000000000000000e+00 -2.921687496166958226e+03 5.449959905266189253e+02 1.213239889294198747e+03 2.200789587267481251e-01 2.164301856456335145e+02 2.518114508384492911e+00
0.000000000000000000e+00 -2.912332277279007940e+03 5.459653304118728556e+02 1.213826406862897102e+03 2.496699395987814485e-01 2.865861377520712949e+02 1.905065383463150130e+00
0.000000000000000000e+00 -2.900574126191981577e+03 5.513412652906112044e+02 1.213370170155774076e+03 1.790951395196050677e-01 1.981585524599171606e+02 2.782323843439129973e+00
0.000000000000000000e+00 -2.865379283299263079e+03 4.565665882178295760e+02 1.219611228654025581e+03 4.552137406863880909e-01 2.258337419302146998e+02 2.021693411779511784e+00
0.000000000000000000e+00 -2.859215994251038865e+03 6.766033534976812689e+02 1.216281389130321713e+03 8.447642197857616608e-01 1.757778181806152418e+02 3.849196448680786808e+00
0.000000000000000000e+00 -2.800535515756901987e+03 4.474606254890712762e+02 1.213149630978310370e+03 1.920374847687886244e-01 1.993090869957703148e+02 2.245058829146947765e+00
0.000000000000000000e+00 -2.800348014131933269e+03 4.638085978958081341e+02 1.213756320310613546e+03 1.820450213821244168e-01 2.449203008561824504e+02 1.893712347545078334e+00
0.000000000000000000e+00 -2.707592205426978580e+03 5.971898488072631608e+02 1.210187933124350820e+03 2.783192602326324261e-01 2.233128558759067914e+02 2.674229598044802536e+00
0.000000000000000000e+00 -2.679030803102545178e+03 4.097054101019104451e+02 1.219335105971854318e+03 1.606814666638886613e-01 1.757419229300514587e+02 2.331290128565286945e+00
0.000000000000000000e+00 -2.546662923864109871e+03 4.627555607364690786e+02 1.217225028170471205e+03 5.743316012737299525e-01 2.147200488491844510e+02 2.155157672591162310e+00
0.000000000000000000e+00 -2.529196111244928943e+03 7.845280079420012953e+02 1.214375315562447668e+03 6.474830896509065070e-01 2.995917992019703320e+02 2.618656485363640929e+00
0.000000000000000000e+00 -2.512142217215091932e+03 2.052167558394968410e+02 1.216944135541486048e+03 3.417637452625646444e-01 1.100727155255095937e+02 1.864374426121407025e+00
0.000000000000000000e+00 -2.481293390514060320e+03 4.754230865745505525e+02 1.216706252382208049e+03 3.873412553558858162e-01 2.465985835744109238e+02 1.927923022441416556e+00
0.000000000000000000e+00 -2.464357553162008116e+03 5.904855140688273423e+02 1.219184632042037720e+03 5.638116773221182321e-01 2.942713951147118223e+02 2.006601810001432007e+00
0.000000000000000000e+00 -2.456127589433794583e+03 5.519884663368305837e+02 1.210601822065872511e+03 4.905029715837905258e-01 2.609858854212351957e+02 2.115012715901907203e+00
0.000000000000000000e+00 -2.428949705829952109e+03 4.063551941891743695e+02 1.216716408665240124e+03 3.797631506407733726e-01 2.077187750674576705e+02 1.956275710066211149e+00
