A w B x0 f sigma_v
5.344664116457943237e+01 5.152973030614543148e+00 5.881004602021453564e+01 -1.809816596452247239e-01 2.754091004980109147e+01 5.152973030614543148e+01
5.450255204707163870e+01 5.540391790100660074e+00 5.666411963298671139e+01 1.113712935717341423e+00 3.019654919011296101e+01 5.540391790100660074e+01
4.858344632751698100e+01 5.153749330435965170e+00 6.026267479400111426e+01 5.971070075615081407e-02 2.503869039807123187e+01 5.153749330435964993e+01
5.630837956583481940e+01 4.978066006322545256e+00 5.939959958508914895e+01 3.840171815610418093e-01 2.803068301877893376e+01 4.978066006322545434e+01
5.637263883931912289e+01 5.546476092985752615e+00 5.831524671930442594e+01 8.554330304530939344e-01 3.126694936208036069e+01 5.546476092985752615e+01
5.716316240148483274e+01 5.417603860308106256e+00 5.847462921620649468e+01 1.328801008167745934e+00 3.096873692937034406e+01 5.417603860308106078e+01
4.927510625580217152e+01 5.476295467937170258e+00 6.001789936406631654e+01 6.154585942434476209e-01 2.698450410707719271e+01 5.476295467937170258e+01
4.786754569740138976e+01 6.393901755002568521e+00 5.843722135478176227e+01 7.836720119700757436e-01 3.060603844422804087e+01 6.393901755002568166e+01
5.667611998408879259e+01 5.227254084102486154e+00 5.761945569225481734e+01 8.994931080667551981e-01 2.962604796579106647e+01 5.227254084102486331e+01
5.262575938407120191e+01 5.226419821132626709e+00 5.951233669289598538e+01 6.542091305094750453e-01 2.750443119470660491e+01 5.226419821132626709e+01
5.774813128705882548e+01 5.444733894903690974e+00 5.806590501374255808e+01 1.218103903484319517e+00 3.144232077859974694e+01 5.444733894903691152e+01
4.935378767889730511e+01 4.531112946534502584e+00 6.099309156179835156e+01 1.341415001318537747e-01 2.236275863123665886e+01 4.531112946534502584e+01
6.420804664533599748e+01 4.040169702305965060e+00 6.101987834588062043e+01 2.787835534185578723e-01 2.594114047007346358e+01 4.040169702305965416e+01
4.933300368489532417e+01 5.137182093649853343e+00 6.005800563332199715e+01 6.599955402841946039e-01 2.534326231560064713e+01 5.137182093649853698e+01
5.124540388894223497e+01 4.618650407830950044e+00 6.062336779159455347e+01 3.205106512770701244e-01 2.366846055711248198e+01 4.618650407830949689e+01
4.674713891185290038e+01 5.828548647546671901e+00 6.103324615524577723e+01 8.830415808469389560e-01 2.724679732813566346e+01 5.828548647546671901e+01
4.689913084585838021e+01 5.148600093295011781e+00 6.084535683582019772e+01 -8.122663290807174974e-02 2.414648694484414193e+01 5.148600093295011959e+01
5.576401800828010380e+01 4.472554416946357136e+00 5.913305434607728728e+01 6.563091814227224319e-01 2.494076050496093799e+01 4.472554416946357492e+01
5.049901753701239215e+01 5.144271006942474855e+00 5.919360907236415414e+01 -5.428394663275497578e-01 2.597806317947324217e+01 5.144271006942474855e+01
5.411049321594432371e+01 5.204437731963837521e+00 5.744818297070428770e+01 6.039033436818357359e-01 2.816146925882338792e+01 5.204437731963837166e+01
5.243571135911293624e+01 5.192026119397762152e+00 6.065279450804155204e+01 1.615464371313626302e+00 2.722475829657162905e+01 5.192026119397762329e+01
4.781895606631805862e+01 5.612252736027030231e+00 6.001258599591191256e+01 4.770647998968176040e-01 2.683720670171499023e+01 5.612252736027030409e+01
5.350213764115954973e+01 4.636868464463137940e+00 6.026673500635278913e+01 3.811721280636710674e-01 2.480823748096589298e+01 4.636868464463137940e+01
5.869949403513739838e+01 4.688846403139738328e+00 5.847308704680098401e+01 5.486759531547917845e-01 2.752329114727765003e+01 4.688846403139738328e+01
5.273249805741939866e+01 4.779405767529288696e+00 5.825403363046511629e+01 7.857989357777572792e-01 2.520300053518572980e+01 4.779405767529289051e+01
5.475340104116034468e+01 5.130984918827935282e+00 5.647086636307177088e+01 2.493309109708796711e-02 2.809388749967315135e+01 5.130984918827935104e+01
5.732230380098295086e+01 4.816636326817685720e+00 5.844624673413859739e+01 2.907275791011407762e-01 2.761006908246939773e+01 4.816636326817685898e+01
5.752146127607888815e+01 4.711104231727823333e+00 5.804806742942653131e+01 3.331235328186892275e-01 2.709895996329033707e+01 4.711104231727823333e+01
4.842068794042748436e+01 5.114194570414852592e+00 5.961352789357746929e+01 3.644058578309472551e-01 2.476328193606861561e+01 5.114194570414852592e+01
5.496360765089968936e+01 4.589346678743215335e+00 5.982108379623285543e+01 9.343165822825625355e-01 2.522470502244016899e+01 4.589346678743215335e+01
5.493530483824110888e+01 4.736477236434673443e+00 5.893237194160428771e+01 -2.297241457443703894e-01 2.601998208429285953e+01 4.736477236434673443e+01
6.082882486013440371e+01 5.264011767462092095e+00 5.667415773713712213e+01 9.241308906749772234e-01 3.202036498646381091e+01 5.264011767462092450e+01
