weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -1.649608294790736181e+03 7.707993261583324340e+01 2.475736055205167929e+00 2.034374233762141770e+01 -3.501591503484240420e+00 1.908295683098031503e+01 2.475736055205167929e+01
0.000000000000000000e+00 -1.621627657296525285e+03 2.515871608257803516e+01 1.175675477340490893e+01 1.464027931569394880e+01 -6.606507319455023897e+00 2.957848553965881777e+01 1.175675477340490858e+02
0.000000000000000000e+00 -1.617704859786976158e+03 9.297841954656692565e+01 1.753586267460980608e+01 8.646125240894455999e+01 3.382330463232410267e+00 1.630456796870853964e+02 1.753586267460980537e+02
0.000000000000000000e+00 -1.601549996200372334e+03 8.808041255514305590e+01 1.320307437874734724e+01 9.902633686378105438e+01 -1.175860800473415679e+00 1.162932238276305554e+02 1.320307437874734831e+02
0.000000000000000000e+00 -1.586824406569070561e+03 6.444239691865996633e+01 1.406670789122536736e+00 2.452759901193763881e+01 5.405002236560235929e+00 9.064923732651914534e+00 1.406670789122536647e+01
0.000000000000000000e+00 -1.570019525581430571e+03 4.598308827803466059e+00 1.627152026199384238e+01 2.434668036842243666e+01 -2.371979272595707400e+00 7.482147526250924940e+00 1.627152026199384238e+02
0.000000000000000000e+00 -1.541255472761045894e+03 5.967059985978240277e-01 1.375725627129000905e+01 2.781050007480477859e+01 -9.310543969083571625e+00 8.209037341326281823e-01 1.375725627129000941e+02
0.000000000000000000e+00 -1.536454440466724918e+03 7.853253419183948836e+01 1.516843037062158217e+01 9.989122841791700580e+01 6.286905304229485125e+00 1.191215276717375957e+02 1.516843037062158146e+02
0.000000000000000000e+00 -1.530471924908762958e+03 5.614014120554966070e+00 4.672242066315082099e+00 2.657273503675059345e+01 4.787302808516855634e+00 2.623003293494378330e+00 4.672242066315082099e+01
0.000000000000000000e+00 -1.519612071666630072e+03 1.955876360012930348e+01 1.306739264187443261e+01 1.576489539662297901e+01 -8.298551344007201180e-01 2.555820435524911360e+01 1.306739264187443155e+02
0.000000000000000000e+00 -1.502264281665717135e+03 7.313481868413146003e+01 1.697026462976101868e+01 9.586093904475757199e+01 -7.208472231989961898e+00 1.241117226719301527e+02 1.697026462976101868e+02
0.000000000000000000e+00 -1.486449700225663037e+03 9.488887547360596386e+01 1.291607294426435892e+01 9.229855742500417648e+01 1.153983217623641977e+00 1.225591637216311938e+02 1.291607294426435999e+02
0.000000000000000000e+00 -1.475890522482000961e+03 1.100958171273448372e+01 2.241401119800022101e+00 2.744675842545888500e+01 -4.476196677342691999e+00 2.467688877945291459e+00 2.241401119800022101e+01
