weight logl C sigma mu1 mu2 a1 a2 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 1.428273671004898517e+02 2.637914481700027736e+00 1.216581677154922318e+03 1.219586008735283940e+03 1.687402674857962097e+02 3.775062264500607512e+02 3.824522603931578946e+00 1.218657944720019486e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.636331178252024472e+02 2.089659103256356953e+00 1.211988671928568010e+03 1.211489327851061944e+03 2.567644069370231819e+02 3.178066828705262310e+02 3.511337420223958894e+00 1.211712474800486916e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.243293072502905403e+02 1.230370204929625011e+00 1.219876922556244836e+03 1.215163056281645368e+03 1.668563782871708270e+02 2.621222935922469901e+02 3.450342331722557887e+00 1.216996570873090832e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.741489266825541335e+02 4.190219761431640544e-01 1.212935129542804589e+03 1.212780603777548549e+03 3.890199866145221108e+02 8.671518177294453267e+01 2.731772038162809668e+00 1.212906963179009836e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.021877852251378727e+02 8.514881151696311878e-01 1.211918765360842826e+03 1.211871217773369835e+03 3.493056336899909411e+02 1.515439627595602801e+01 3.566571378007426851e+00 1.211916788312817516e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.730614259469690523e+02 1.449359850752074186e+00 1.210048200910775677e+03 1.210427888258682515e+03 2.914192713124543275e+02 2.478749167584946917e+02 1.974992206243311621e+00 1.210222715993337943e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.817365038106680686e+02 1.762072827398663666e+00 1.219581740124169755e+03 1.217919512344953091e+03 8.299305290069551688e+01 4.567668302518237056e+01 4.567023945620700687e-01 1.218991663127115316e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.191444198520215139e+02 2.156540850683818178e+00 1.214493976182463484e+03 1.219959617929230490e+03 2.623926573689057307e+01 1.150487413903777956e+01 3.167931819451295095e-01 1.216159970442561189e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.524823567749845949e+02 2.812492433900365185e+00 1.212594570764029413e+03 1.215606320971716741e+03 6.839554117272639289e+00 2.772779722451868167e+01 1.369099678224176830e-01 1.215010411023930828e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.740943526312315726e+02 2.506538250314372940e-01 1.217718681026930653e+03 1.211472563285717115e+03 2.119082628395731263e+02 1.728842951775687311e+02 2.210252958820630997e+00 1.214912349041586822e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.483130472839598610e+02 2.006790466752219060e-01 1.212724359583315163e+03 1.213398109075336833e+03 3.317206521295534571e+02 1.614347551866308947e+02 3.325097935396000626e+00 1.212944911933929461e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.105472085682532395e+02 1.445002599784310782e+00 1.218939169400548508e+03 1.213897342698410057e+03 8.561112623949912859e+01 2.502367837965571198e+02 1.595119271919409831e+00 1.215182556777092714e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.211115624645870525e+02 2.969982657645310997e+00 1.219179720408144476e+03 1.217395419666608859e+03 3.475512620901489527e+02 4.001778758170155470e+01 1.752821269733115361e+00 1.218995485448936279e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.364929916681200837e+02 4.689297351404249081e-01 1.215046564299223746e+03 1.213478441883715732e+03 1.582466103816545342e+02 3.514154957125847432e+02 3.733980037110419925e+00 1.213965333206320111e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.847428028867095691e+02 2.678892323308095791e-01 1.216719563960268715e+03 1.210840032761826706e+03 2.517638713456083224e+02 3.679392282450090192e+02 2.176360888872678867e+00 1.213228682321906490e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.660968367135125447e+02 8.564150236952927653e-01 1.214416295258039327e+03 1.219048873642401531e+03 2.442114742463604387e+02 5.240759343268393167e+01 1.785820088739314082e+00 1.215234793834049242e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.227155263068462432e+02 2.977943281198140113e+00 1.210509522201073423e+03 1.211087310526477495e+03 2.431983572892465588e+02 2.133890467703744775e+02 2.050092383009516350e+00 1.210779555274471477e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.437416297848119484e+02 8.255321370000228143e-01 1.215523792376042820e+03 1.211427810411268638e+03 2.971573535773952699e+02 1.913307162928596483e+02 3.398375756567841410e+00 1.213919480599399094e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.275596658019503025e+02 1.343186548284679205e+00 1.218213455802829230e+03 1.218075413968228986e+03 2.628610741356984022e+02 2.329584039046443138e+02 3.886961250040856797e+00 1.218148597508863759e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.571411250378579894e+02 1.265861624724548884e+00 1.213790546045956262e+03 1.213084498155871188e+03 3.206538780575921805e+02 2.905662610420484384e+02 3.889625576706207344e+00 1.213454899881154233e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.812431800224758263e+02 2.149340707607403811e+00 1.214546820426003933e+03 1.214464961162410418e+03 1.777328571785599536e+02 3.780570018114699451e+02 1.976189641098544669e+00 1.214491138467680912e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.002141804732751211e+02 7.228423484901999041e-01 1.210633855983071271e+03 1.212826435085515641e+03 1.029820743091821811e+02 8.945720427405525754e+01 1.920279921208922103e+00 1.211653096951435145e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.220545818331364387e+02 1.713532835052829162e+00 1.219078006449339000e+03 1.217532592170555745e+03 1.362899114775396754e+02 1.745118703134024543e+02 2.546416341959585328e+00 1.218210272890524038e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.495878146110820808e+02 2.586163568120101175e+00 1.219331263850855066e+03 1.218194163947347761e+03 2.323053377496777614e+02 1.907197077226273905e+02 1.694894625090091145e+00 1.218818605407650693e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.351571609309084465e+02 2.930134950603713317e-01 1.212255561176815490e+03 1.218234327827463858e+03 5.751831822939736583e+01 2.213938245622387058e+02 2.063613506458709779e+00 1.217001363929265381e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.818615822359151935e+02 2.075961084705216120e+00 1.214208844080969811e+03 1.214743054641666276e+03 1.645871052338673906e+02 3.823452560113566392e+02 1.940428904523239906e+00 1.214582295878790774e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.379348574860865142e+02 1.252934088299185289e+00 1.215801406680204082e+03 1.216675914728611133e+03 2.579904051879351528e+02 1.499728322061306756e+02 2.957651494548555693e+00 1.216122887727477973e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.501378471891545701e+02 2.655063930276205131e+00 1.218459981153148874e+03 1.215687465780438060e+03 2.645471564374227569e+02 3.698735364271374237e+02 2.536284292815594643e+00 1.216843577279131523e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.343289509459548867e+02 2.734413720639682577e+00 1.217816620653677091e+03 1.219318583232590299e+03 5.303877117904383454e+01 2.042524768279818090e+02 1.915381950020160984e+00 1.219008964269024546e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.054178576082678092e+02 2.944220583725356111e+00 1.217886200170585425e+03 1.213753021035895017e+03 2.423841539235312439e+02 2.378557978542725664e+02 4.555584439615277148e+00 1.215839097223158433e+03
