C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
1.890164719013357058e+02 3.397760416060170430e-01 1.217247837847349729e+03 1.217450012059524170e+03 1.219775602338141653e+03 8.987235986079107875e+01 1.054844354351801741e+02 2.781915274150450728e+02 2.505328334337987073e+00 1.218777837770318229e+03
1.347191348027612889e+02 7.858576207107977885e-01 1.217130690210000239e+03 1.215114513478453091e+03 1.216127279681379150e+03 6.812352628201287530e+01 1.151574196438997149e+02 1.883606040738261527e+02 2.758639673152958327e+00 1.215997391946508515e+03
1.962575797003448486e+02 2.301322275650625304e+00 1.211838849877816529e+03 1.214453271611444507e+03 1.212099673622046566e+03 3.288876941465186405e+02 9.834698579503147187e+01 2.585836703582394875e+02 3.494480831501788565e+00 1.212312102391484359e+03
2.808597600043105444e+02 3.890390579918318048e-01 1.212109018586152160e+03 1.218649029878610008e+03 1.219479568620922464e+03 2.735560401714961927e+02 2.145463335985487845e+02 3.567454826563803181e+02 3.008077256825466339e+00 1.216882121628804271e+03
1.707325252350585743e+02 1.865760121916604675e+00 1.214522378525465228e+03 1.216605980460090450e+03 1.213552334690148200e+03 1.172445703157577270e+02 3.752661777351672754e+02 3.357884709560988767e+02 4.851443612555080165e+00 1.215073116455960644e+03
1.539050160173146367e+02 2.513757043428609173e+00 1.212106070537990036e+03 1.215272445050989973e+03 1.219505642249585662e+03 9.817173482371165960e+01 1.390382210874666953e+02 3.463116931544936392e+02 3.791440098352769628e+00 1.217252075476201071e+03
1.325178422446347497e+02 2.360883148778643914e+00 1.217633477828076593e+03 1.210498296583568845e+03 1.210284587315181852e+03 3.822358578357909664e+02 1.780389819860887144e+02 1.677258706366391721e+02 5.493605224227784412e+00 1.214195377523242314e+03
2.208825477492844414e+02 7.105045740498545648e-01 1.213973896171630940e+03 1.215035707993251208e+03 1.212968312447164863e+03 5.231437126263816140e+01 2.386827391674739545e+02 5.760414944122977943e+01 1.578220024277455336e+00 1.214534738547809184e+03
1.675043592876154435e+02 1.920228505994290735e+00 1.211446151683564040e+03 1.213600495229827175e+03 1.214826918932025364e+03 3.776112388521399907e+02 3.596425415002732962e+02 1.648918876243826048e+02 5.385804117657353451e+00 1.212922913950181055e+03
1.913034923239468981e+02 1.405905053758043977e+00 1.212412254537347735e+03 1.217609631265174812e+03 1.213035550159027252e+03 1.229775976334829863e+02 9.491408137451999494e+01 2.250390508731292982e+02 2.315330078402793923e+00 1.213842659000287767e+03
