A w B x0 k b f sigma_v
5.862743131313587952e+01 4.729851993335177696e+00 4.648394852399337651e+01 -4.508422107379423949e-01 6.275713596116805348e-01 1.349242813661502005e+01 2.772990728605569899e+01 4.729851993335177696e+01
5.477349198211493331e+01 4.721368670840860204e+00 4.460499978943261823e+01 -2.533840203955222137e-01 6.913637086965052081e-01 1.594592909630731192e+01 2.586058490369105201e+01 4.721368670840860204e+01
5.759019331461565372e+01 4.604328248859030914e+00 5.850006782728875976e+01 -8.064980186190400246e-01 6.421763406589053869e-01 1.675546986031474228e+00 2.651641539357373745e+01 4.604328248859030737e+01
5.214502783579063561e+01 5.779258725069163383e+00 4.655851954918986024e+01 -2.177679361210618225e-01 6.073492539175442406e-01 1.029743185045255771e+01 3.013596070889674294e+01 5.779258725069163205e+01
5.596351377438342212e+01 5.871457046107037669e+00 3.781381382990514339e+01 -9.006516080564406224e-01 6.636891398901996197e-01 1.707259006107189236e+01 3.285873672755117525e+01 5.871457046107038025e+01
6.154566245971471261e+01 4.818353439156643603e+00 4.093806044245216214e+01 -5.862471429150915014e-01 6.020242379265083876e-01 1.758044657385101317e+01 2.965487543779403268e+01 4.818353439156643958e+01
5.655005066774241129e+01 5.098111209747018258e+00 4.890990355368594322e+01 -5.315407564682530506e-01 5.460972949205902260e-01 9.506115927299417123e+00 2.882984472209794191e+01 5.098111209747018080e+01
5.297898325035274070e+01 4.388882733088872001e+00 5.259144339798851320e+01 -9.794549458836598888e-02 6.241438339328999607e-01 7.107846612500038574e+00 2.325185448040777203e+01 4.388882733088871646e+01
5.149102939578219207e+01 5.199547925678147386e+00 4.429163136774892706e+01 -5.831038538890886969e-01 6.374439215065919040e-01 1.457492577158457081e+01 2.677300750858718104e+01 5.199547925678147209e+01
4.940870807805867315e+01 5.487700974427792922e+00 4.990559132887553062e+01 -2.766426242419601778e-01 5.152506261961888878e-01 7.972781765310859470e+00 2.711402154651809582e+01 5.487700974427792744e+01
5.001226522399117869e+01 6.076191435244632011e+00 5.701110041440819742e+01 -1.561982459166735282e-01 6.098725689247310733e-01 1.069178522466173176e+00 3.038840976111981718e+01 6.076191435244631833e+01
5.350970052184750614e+01 5.333156303863062497e+00 4.443394824487976535e+01 -7.793135342685495459e-01 6.416186164240831324e-01 1.385358979503679144e+01 2.853755966559156221e+01 5.333156303863062675e+01
5.237064567316064512e+01 4.692044639725782673e+00 5.570846504838373647e+01 -3.061863317606068335e-01 5.835421985276518786e-01 5.483553446741220583e+00 2.457254073097316649e+01 4.692044639725782673e+01
