weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -2.923414173892260806e+03 1.527604264638060538e-01 5.140487610869909352e-01 5.712716213485102834e-02 5.202792195262918584e-01 3.137035190511210381e-01 2.682944719909093889e-01 8.811198358103857764e-01 3.628348974310913189e-01
0.000000000000000000e+00 -2.645057999504997497e+03 1.251653040791844695e-02 8.146156556571338969e-01 9.502775668042251489e-03 1.657983824494542180e-01 4.347079442989696396e-01 8.410263641680094659e-01 3.623136009909612154e-01 9.454888396392754357e-01
0.000000000000000000e+00 -2.374056548897669927e+03 5.983557192140831482e-03 6.521617264017395277e-01 1.390673607526791145e-01 8.920508225174488270e-01 1.824698453276649701e-01 4.880521564200231976e-01 3.113287723029360965e-01 2.994163135395105924e-01
0.000000000000000000e+00 -2.296220294934430058e+03 4.267956997543487230e-01 4.933382852852228329e-01 9.599933479923605795e-03 9.944548465195097720e-01 3.180734032119080235e-01 5.623609496506576377e-02 8.647818131855045110e-02 4.987221355680737656e-02
0.000000000000000000e+00 -2.210633802800477497e+03 9.137841608548402661e-02 8.034130497353716427e-01 1.387208436957563240e-01 3.032216677545891415e-01 6.689368058048590360e-01 2.842743732142916091e-02 2.102214435577679508e-01 1.737442894804197557e-02
0.000000000000000000e+00 -2.156094412091888444e+03 9.929448282519586222e-01 6.002084359256487645e-02 1.392561437857754436e-01 9.839065690477648563e-01 8.028597862011078723e-01 3.640740607684820329e-01 5.661496099112434122e-01 5.518052309996011040e-01
0.000000000000000000e+00 -2.139388736100861934e+03 8.715586922025699845e-01 9.772814430621751258e-01 8.865322836719726762e-01 8.712572348629636920e-01 9.467879844857717275e-01 9.385735150798788506e-01 3.884276556174183215e-01 9.379975066879953083e-01
0.000000000000000000e+00 -2.101598635702681349e+03 2.592751679867685288e-01 2.960895482408230084e-01 5.389531198414032609e-02 8.049490741243389147e-01 4.956452513021316619e-01 4.333694589079721826e-01 1.022355230439268015e-01 5.824305631361084146e-01
0.000000000000000000e+00 -1.987245384278803613e+03 7.929339870766682896e-02 5.164737446212124272e-01 1.984492783929096005e-01 4.226240158158556248e-02 2.588329290224480328e-01 1.643106638498788019e-01 6.669555987643721595e-01 8.871145038495504842e-01
0.000000000000000000e+00 -1.927163362774408597e+03 8.680211254736807103e-01 9.456753024864711366e-01 9.272773490848724709e-01 9.755246645100466019e-01 1.624588567040629039e-01 4.921306236718684390e-01 8.666924925273526981e-01 3.255245586522927947e-01
0.000000000000000000e+00 -1.907764909998521034e+03 5.603132994487927121e-01 4.600988767394665890e-01 1.217495563063373254e-01 3.588969000381969643e-02 3.404334363028290733e-01 8.154449904264138294e-02 7.856251068392644532e-01 7.141221468899763281e-01
0.000000000000000000e+00 -1.893992642066596090e+03 7.968087781633221844e-01 7.429946108512017755e-01 9.204635818802417990e-01 9.622767223431583083e-03 8.167675129074392082e-01 9.894389084627747133e-01 1.814289900145027445e-01 7.578136670308922573e-01
0.000000000000000000e+00 -1.885836167795821893e+03 6.831439647413936056e-01 8.547808584102134510e-02 1.380957068305259661e-01 2.288750383689261980e-01 2.587640721516650810e-01 4.547789605811014546e-01 3.291688507950381037e-01 3.443067485865530797e-01
0.000000000000000000e+00 -1.834919461848368883e+03 8.875963135339437482e-02 1.565552945666853768e-01 1.134802192644931429e-01 9.218169451926691016e-01 4.246694234643469956e-01 6.091011492191905630e-01 4.306981522942260332e-01 3.227288179198217755e-02
0.000000000000000000e+00 -1.829024382402945776e+03 9.687722785422386851e-01 5.401863612548570837e-01 9.686862488646780234e-01 3.930624183817394979e-01 8.240317034625607162e-01 6.625166495661197752e-01 5.270558720455851276e-01 1.683876416677984045e-01
0.000000000000000000e+00 -1.807360915167400890e+03 1.371393376862264368e-01 3.192440179329213423e-01 5.981675926359353301e-02 8.100760327242335634e-01 5.684459832398035539e-01 6.866181895101083343e-01 7.568732371440316520e-01 6.119195996690129924e-02
0.000000000000000000e+00 -1.797035325307753737e+03 9.641918570711287551e-01 8.923514746098709649e-01 8.310723433427568141e-01 4.623726761112312289e-01 7.732316959564904391e-01 2.896033239471010878e-01 6.317279344291224508e-01 2.105723360805377142e-01
0.000000000000000000e+00 -1.786814936721706545e+03 8.380741476422238767e-01 2.100323022453576272e-02 7.516110106241236100e-02 3.776723363070646489e-01 9.557149319201174720e-01 8.705787474540190862e-01 8.502808071237039078e-01 9.770556708448671079e-01
0.000000000000000000e+00 -1.754885070133250338e+03 9.681160230387007015e-01 6.254615996845136472e-01 9.420359708684091782e-01 6.758581689396471193e-01 7.865884675408791882e-01 4.000835519863115142e-01 3.396726738793884870e-01 8.598439631289060969e-01
0.000000000000000000e+00 -1.753315925117125516e+03 7.250899194815775273e-01 2.974017789588051519e-01 8.432175704223032753e-02 6.635495263524658904e-01 5.016301113148886603e-01 2.669582144050752781e-02 4.052796397202367285e-01 9.033479594061618601e-01
0.000000000000000000e+00 -1.736417965896396709e+03 7.497240922721450929e-01 9.924483408674762419e-01 8.786068258253034724e-01 9.771322746003008319e-01 5.124278157609500894e-01 7.690741295086718221e-01 7.325734619041920359e-01 6.487241422963958559e-01
0.000000000000000000e+00 -1.735929554498525249e+03 1.403288470648549335e-01 2.435138117476194353e-01 1.346914777055953083e-01 1.960242782133302386e-01 3.074967877468935962e-01 5.478252995224951460e-01 9.224864886903485495e-01 5.357252445858967649e-01
0.000000000000000000e+00 -1.732872286431032990e+03 2.164236535176059517e-01 3.386634632696677860e-01 1.900422399589343225e-01 9.824257741756534656e-01 3.914844954290774837e-02 2.557287263890116735e-01 8.169143370229319245e-01 6.931717021444890880e-01
