weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -4.167624445532779646e+03 9.591215882568894813e+01 8.610420789931914953e+00 5.329797555143633403e+00 2.591884131661977619e+00 9.018492736759053940e-01 1.390321910869826816e+01 8.258440463599639259e+01 8.610420789931914953e+01
0.000000000000000000e+00 -3.381094932366311696e+03 2.085763568501458565e+01 1.343737131489324721e+00 4.890731378571100407e+00 7.098470105113889872e-01 2.017902812788618938e-02 7.643109915550589939e+00 2.802717954503087583e+00 1.343737131489324810e+01
0.000000000000000000e+00 -3.358580544717293378e+03 2.810726725050682884e+00 8.434357160831661204e+00 3.728668046434346905e-01 9.731854687840346685e+00 -4.197674977402336971e-01 1.469062626384916470e+01 2.370667308057215372e+00 8.434357160831660849e+01
0.000000000000000000e+00 -2.923414173892260806e+03 1.527604264638060627e+01 1.076692646065282766e+01 5.712716213485102834e+00 4.055843905258367244e-01 -3.725929618977579239e-01 5.365889439818188222e+00 1.644760277833763951e+01 1.076692646065282730e+02
0.000000000000000000e+00 -2.645057999504997497e+03 1.251653040791844695e+00 1.647769745748554371e+01 9.502775668042251489e-01 -6.684032351010915640e+00 -1.305841114020607208e-01 1.682052728336018887e+01 2.062436012790982875e+00 1.647769745748554442e+02
0.000000000000000000e+00 -2.374056548897669927e+03 5.983557192140831482e-01 1.339107280163305091e+01 1.390673607526791145e+01 7.841016450348977429e+00 -6.350603093446700598e-01 9.761043128400464397e+00 8.012624997269292004e-01 1.339107280163304949e+02
0.000000000000000000e+00 -2.296220294934430058e+03 4.267956997543487319e+01 1.037342742041923316e+01 9.599933479923605795e-01 9.889096930390195439e+00 -3.638531935761839531e-01 1.124721899301315275e+00 4.427334214748775310e+01 1.037342742041923316e+02
0.000000000000000000e+00 -2.210633802800477497e+03 9.137841608548402661e+00 1.626484794497206110e+01 1.387208436957563151e+01 -3.935566644908217171e+00 3.378736116097180719e-01 5.685487464285832182e-01 1.486256043082786604e+01 1.626484794497206110e+02
0.000000000000000000e+00 -2.156094412091888444e+03 9.929448282519585689e+01 2.140396028258732652e+00 1.392561437857754392e+01 9.678131380955296237e+00 6.057195724022157446e-01 7.281481215369640658e+00 2.125295166670541747e+01 2.140396028258732741e+01
0.000000000000000000e+00 -2.139388736100861934e+03 8.715586922025700289e+01 1.956834741818132883e+01 8.865322836719727206e+01 7.425144697259273840e+00 8.935759689715434551e-01 1.877147030159757790e+01 1.705496328435565658e+02 1.956834741818132954e+02
0.000000000000000000e+00 -2.101598635702681349e+03 2.592751679867685155e+01 6.625701416575637381e+00 5.389531198414032609e+00 6.098981482486777850e+00 -8.709497395736676140e-03 8.667389178159442764e+00 1.717879847812818639e+01 6.625701416575637381e+01
0.000000000000000000e+00 -1.987245384278803613e+03 7.929339870766682452e+00 1.081300114780303545e+01 1.984492783929096049e+01 -9.154751968368287862e+00 -4.823341419551039344e-01 3.286213276997576038e+00 8.573996112392050506e+00 1.081300114780303545e+02
0.000000000000000000e+00 -1.927163362774408597e+03 8.680211254736806836e+01 1.896783074724295304e+01 9.272773490848724975e+01 9.510493290200933814e+00 -6.750822865918741922e-01 9.842612473437368337e+00 1.646447779301611547e+02 1.896783074724295375e+02
0.000000000000000000e+00 -1.907764909998521034e+03 5.603132994487927476e+01 9.741878658049865081e+00 1.217495563063373254e+01 -9.282206199923606960e+00 -3.191331273943418534e-01 1.630889980852827659e+00 5.458504173721697583e+01 9.741878658049864725e+01
0.000000000000000000e+00 -1.893992642066596090e+03 7.968087781633221311e+01 1.511689760617283440e+01 9.204635818802418612e+01 -9.807544655531367894e+00 6.335350258148784164e-01 1.978877816925549382e+01 1.204527671119462582e+02 1.511689760617283582e+02
0.000000000000000000e+00 -1.885836167795821893e+03 6.831439647413935745e+01 2.624083630979405335e+00 1.380957068305259661e+01 -5.422499232621476040e+00 -4.824718556966698380e-01 9.095579211622029092e+00 1.792626895480263016e+01 2.624083630979405513e+01
0.000000000000000000e+00 -1.834919461848368883e+03 8.875963135339437926e+00 3.974550596767022270e+00 1.134802192644931473e+01 8.436338903853382476e+00 -1.506611530713060088e-01 1.218202298438381170e+01 3.527796457644545747e+00 3.974550596767022625e+01
0.000000000000000000e+00 -1.829024382402945776e+03 9.687722785422387517e+01 1.126354086384228381e+01 9.686862488646779923e+01 -2.138751632365210043e+00 6.480634069251214324e-01 1.325033299132239506e+01 1.091180614711810506e+02 1.126354086384228310e+02
0.000000000000000000e+00 -1.807360915167400890e+03 1.371393376862264368e+01 7.065636340725505171e+00 5.981675926359352857e+00 6.201520654484671269e+00 1.368919664796071078e-01 1.373236379020216624e+01 9.689766880988283759e+00 7.065636340725505704e+01
0.000000000000000000e+00 -1.797035325307753737e+03 9.641918570711287373e+01 1.795467801758754689e+01 8.310723433427568807e+01 -7.525464777753754220e-01 5.464633919129808781e-01 5.792066478942022201e+00 1.731175434089190901e+02 1.795467801758754831e+02
0.000000000000000000e+00 -1.786814936721706545e+03 8.380741476422238634e+01 1.399061374266179492e+00 7.516110106241235655e+00 -2.446553273858707023e+00 9.114298638402349440e-01 1.741157494908038217e+01 1.172517168737286752e+01 1.399061374266179492e+01
0.000000000000000000e+00 -1.754885070133250338e+03 9.681160230387007459e+01 1.288377039400575974e+01 9.420359708684091515e+01 3.517163378792941941e+00 5.731769350817583764e-01 8.001671039726229395e+00 1.247298455558861150e+02 1.288377039400575939e+02
0.000000000000000000e+00 -1.753315925117125516e+03 7.250899194815775672e+01 6.650633800217297775e+00 8.432175704223032753e+00 3.270990527049317365e+00 3.260222629777320691e-03 5.339164288101505562e-01 4.822307526701018787e+01 6.650633800217298131e+01
0.000000000000000000e+00 -1.736417965896396709e+03 7.497240922721451284e+01 1.985651847648204793e+01 8.786068258253034458e+01 9.542645492006016639e+00 2.485563152190017888e-02 1.538148259017343733e+01 1.488691029046558185e+02 1.985651847648204864e+02
0.000000000000000000e+00 -1.735929554498525249e+03 1.403288470648549335e+01 5.626762423204769270e+00 1.346914777055953039e+01 -6.079514435733395672e+00 -3.850064245062128077e-01 1.095650599044990336e+01 7.895970835561746171e+00 5.626762423204769448e+01
0.000000000000000000e+00 -1.732872286431032990e+03 2.164236535176059562e+01 7.434605802123687823e+00 1.900422399589343314e+01 9.648515483513069313e+00 -9.217031009141845033e-01 5.114574527780233026e+00 1.609024550158799727e+01 7.434605802123687113e+01
0.000000000000000000e+00 -1.726697351268376224e+03 7.520450690801968108e+01 1.981821989966599418e+01 9.585527721766608522e+01 -1.029189426255818773e-01 -8.733367026699401237e-01 6.415079443399163139e-01 1.490419455349084217e+02 1.981821989966599347e+02
0.000000000000000000e+00 -1.690082442022596297e+03 6.869454730487090544e+00 1.157901890468266792e+01 1.677837472492048576e+01 -5.716182992343339819e+00 2.230501823291892727e-01 5.142492026793319404e+00 7.954154618917179675e+00 1.157901890468266828e+02
0.000000000000000000e+00 -1.684223242097754337e+03 9.593743588392196386e+01 1.412907856692723918e+01 8.801758811012348360e+01 5.189559217891792642e+00 7.168929330291793356e-01 8.566775605067633137e+00 1.355507569113478041e+02 1.412907856692723954e+02
0.000000000000000000e+00 -1.656284030099492156e+03 8.993706107349500201e+01 1.236973182368454793e+01 9.400627805480465327e+01 -8.778765626111418641e+00 -4.340036771479067745e-01 4.830943205564608434e+00 1.112497326489471732e+02 1.236973182368454758e+02
0.000000000000000000e+00 -1.651838588658021763e+03 8.681826558133142413e+00 4.835164496855429483e+00 2.617230829296741490e+01 2.189273015877502004e+00 -7.326036296040354667e-01 3.074589545042230032e+00 4.197805954174194554e+00 4.835164496855429661e+01
0.000000000000000000e+00 -1.651342090788795758e+03 1.664885794276882436e+01 7.606395255852901549e+00 1.524335859373503510e+01 -8.087299037205113450e+00 -4.973044408688214180e-01 1.022288225562045483e+01 1.266377940712456862e+01 7.606395255852901016e+01
