C sigma mu1 mu2 a1 a2 W lam0
2.029195907564694323e+02 7.387461328864403098e-01 1.215615270690412672e+03 1.211189990154404086e+03 3.295156908308558172e+02 2.651968356277313319e+02 2.930779252222726505e+00 1.213641930054891191e+03
1.993847270978432960e+02 7.670640535211238342e-01 1.215713050670592111e+03 1.215918772305772336e+03 5.888293463104385950e+01 2.752142245778206302e+02 1.675640677557585834e+00 1.215882514907998484e+03
2.068427888504518251e+02 8.382649004078470689e-01 1.215720622131138271e+03 1.218348090007210430e+03 3.661298451876535864e+02 2.804626857936240754e+02 3.126009538813396382e+00 1.216860299226141933e+03
2.005643122139318848e+02 6.568679531368293301e-01 1.215774445842756904e+03 1.219411178325124411e+03 1.814503029552697342e+02 2.387251620828121474e+02 2.094966249977223249e+00 1.217840676795167155e+03
2.083484568324912516e+02 6.799991901874722355e-01 1.215673787187575726e+03 1.216184271747726370e+03 3.534237550434450554e+02 2.526121169381831066e+02 2.908761030415843329e+00 1.215886570937458828e+03
1.958445798177523329e+02 6.730760381924886238e-01 1.215749531299263481e+03 1.215771369704950757e+03 2.899586504260563515e+02 2.576018170944825556e+02 2.795892886237055119e+00 1.215759805256791878e+03
1.905478511842308080e+02 6.783294814094925629e-01 1.215784689832926915e+03 1.211179278150969139e+03 3.343524262598573387e+02 2.317948945044678055e+02 2.971155629653082553e+00 1.213899118929707129e+03
2.003391553970662926e+02 7.966711387060358973e-01 1.215723565122216087e+03 1.219317230539579668e+03 1.091858600535750696e+02 2.677527066147069377e+02 1.881502225170116782e+00 1.218276271921818989e+03
2.040974178640872196e+02 7.074917194540405463e-01 1.215688837963524975e+03 1.216814545999002576e+03 4.457771706585027260e+01 2.592974677712936113e+02 1.488873245028022652e+00 1.216649407492114733e+03
1.961596060957680834e+02 6.340441224534558717e-01 1.215755416173723006e+03 1.219135381777952944e+03 2.901667115287077650e+02 2.247684818227080257e+02 2.625082725237614323e+00 1.217230766367853448e+03
2.048246878182397666e+02 7.450058554161055335e-01 1.215720298045257096e+03 1.215410644844920853e+03 1.095137808636951888e+02 2.760697067171292929e+02 1.882504944535733804e+00 1.215498592834960846e+03
1.963099689581731582e+02 6.735267064791136127e-01 1.215701945549712718e+03 1.213298172173689181e+03 1.311310153005087784e+02 2.570564340937434054e+02 1.977420970796248678e+00 1.214110174838489684e+03
1.908071260307275452e+02 5.847665725944173332e-01 1.215629667318809652e+03 1.217036343478988329e+03 1.811860271199455497e+02 2.288593081307078592e+02 2.149004304926325215e+00 1.216414777903193453e+03
2.033838527036801338e+02 7.750164126764884642e-01 1.215779982300929532e+03 1.217557505566773898e+03 2.955216093780379083e+02 2.781663110619629151e+02 2.820715178779875210e+00 1.216641856975417113e+03
2.014411089456501145e+02 7.624186274921229689e-01 1.215686324670077056e+03 1.213122086677687776e+03 2.297947120084169796e+02 2.562476643889559682e+02 2.412826155204049083e+00 1.214334426094159653e+03
1.985756674155242649e+02 6.579148835307100374e-01 1.215708656157769155e+03 1.210843753117814913e+03 2.011961179229764696e+02 2.568425103031356684e+02 2.306620112058621164e+00 1.212980689929238906e+03
1.980935151862902330e+02 6.158534066891421244e-01 1.215699469934973195e+03 1.218539810981392748e+03 3.316086155029184965e+02 2.367728163307123452e+02 2.869258144564278190e+00 1.216882681615078354e+03
2.039061162160371339e+02 7.412214602733560032e-01 1.215742309802811405e+03 1.217905682201092759e+03 2.655692375139062165e+02 2.658393859036913227e+02 2.606143617852902938e+00 1.216824545891005755e+03
2.093461669774972904e+02 7.837238657351132121e-01 1.215738397436848118e+03 1.211336647774842504e+03 2.867807854775068108e+02 3.269743000612501191e+02 2.931771306826600476e+00 1.213393391996256696e+03
2.046659643115372660e+02 7.088867511690057910e-01 1.215651866361768271e+03 1.218136358800543121e+03 3.734208243572103356e+02 2.869761756197979139e+02 3.226706512724162312e+00 1.216731505031327060e+03
2.037646363012543702e+02 8.901308719368055122e-01 1.215736515438611377e+03 1.219587694878512139e+03 4.978544097700365256e+01 3.408015713111255423e+02 1.916853774914448971e+00 1.219096811514076080e+03
2.025493446051046362e+02 7.452697346614590712e-01 1.215646112900674552e+03 1.214430884449980113e+03 9.349361671432492926e+01 2.638273609572934220e+02 1.764118162753182339e+00 1.214748850956536444e+03
2.011071067772682568e+02 6.371324655838480622e-01 1.215646755199492418e+03 1.219204410636323473e+03 3.304841366330769574e+02 2.607615427307854361e+02 2.939954180827052621e+00 1.217215814818178842e+03
1.931790877093428378e+02 5.757216672004297209e-01 1.215781195992384710e+03 1.218450396806790877e+03 3.832346526933248043e+01 2.165860447614022632e+02 1.319550232136262435e+00 1.218049105286927897e+03
1.931662100501414443e+02 6.263240371036289389e-01 1.215675216740737596e+03 1.213958419879705389e+03 1.510057883865579242e+02 2.157074449876591586e+02 1.898433650890737567e+00 1.214665365361640397e+03
1.954346469708116274e+02 6.175445533557442079e-01 1.215779613190054079e+03 1.216852747731024692e+03 3.071563991081605991e+02 2.278703738907483398e+02 2.737624987645182806e+00 1.216236666147825645e+03
2.003503454585035684e+02 7.717221861893555079e-01 1.215733112092582132e+03 1.212267906376135443e+03 2.961639770449724551e+02 2.658775519004185526e+02 2.805293535477335620e+00 1.214093873059037833e+03
1.951841030970635416e+02 7.481735683209704835e-01 1.215784682491394051e+03 1.212630733046005389e+03 4.650125765259663524e+01 2.672720732651887374e+02 1.607576262303228143e+00 1.213098148856502348e+03
1.992593097158964781e+02 6.337729569232340987e-01 1.215749451779690162e+03 1.211003833186663769e+03 1.176919731174204315e+02 2.335871260040332800e+02 1.762924400482500653e+00 1.212593797455169351e+03
1.950480165312234817e+02 5.045108569944271037e-01 1.215769018934690394e+03 1.214804020605785581e+03 4.661550060912551885e+01 2.044143694650027214e+02 1.287015754061478168e+00 1.214983217926708221e+03
1.946992040512416793e+02 6.093428726603388190e-01 1.215715887975286705e+03 1.217440770179938681e+03 3.321870306680550584e+02 2.512989548805567779e+02 2.996858607573186006e+00 1.216458769734329508e+03
1.989794431830446513e+02 6.214089938741673702e-01 1.215680652130724411e+03 1.217324537278971093e+03 2.151837446338280984e+02 2.247598737093131831e+02 2.211000349108573459e+00 1.216520485697816639e+03
1.981975362110896981e+02 6.229580152362804712e-01 1.215696072394527619e+03 1.214605871823427833e+03 1.717176672423814807e+02 2.361327155788710570e+02 2.057797440967544134e+00 1.215064880094060300e+03
2.035304045278519425e+02 7.979551334692344122e-01 1.215641625351393714e+03 1.211581746472351824e+03 6.643313980113994432e+01 3.122621335217980345e+02 1.860632440649012453e+00 1.212293956315322703e+03
1.957371068198020225e+02 6.712136320244312948e-01 1.215684541908491155e+03 1.218369159834483298e+03 3.245794885232733691e+02 2.463139299479028637e+02 2.916633579328153036e+00 1.216842829550921124e+03
1.928073599252802524e+02 6.353285282768029729e-01 1.215754997240588409e+03 1.212220616187954874e+03 1.578154028545954759e+02 2.384217802763728002e+02 2.055093660763387842e+00 1.213628307826724267e+03
1.923002615519826861e+02 4.929960712063077288e-01 1.215734187110647099e+03 1.212587017901318859e+03 1.425502854117777929e+02 1.869246819238958892e+02 1.713336033329366348e+00 1.213948668750416118e+03
1.956699806239566328e+02 6.395518829951560846e-01 1.215667597738713766e+03 1.213076826657009406e+03 3.314591279174132978e+02 2.452724157837974701e+02 2.947470745702109429e+00 1.214565794501328128e+03
1.904404459193522143e+02 5.825286899226890247e-01 1.215695824166352395e+03 1.210223384943313704e+03 2.397334977020755176e+01 2.166378593486597595e+02 1.263445944779826080e+00 1.210768632606839219e+03
1.947155113222876537e+02 5.611017305263951149e-01 1.215695475006487641e+03 1.215646709067313168e+03 2.805644866093186920e+02 1.999635454687727645e+02 2.467846700115918779e+00 1.215675181892570436e+03
2.035780939307191488e+02 7.515844199506638290e-01 1.215701573840198762e+03 1.216562605279783156e+03 2.950782410549539350e+02 3.012909497428940426e+02 2.929436951113226772e+00 1.216136574481066646e+03
2.041383716567891611e+02 6.038902881923118304e-01 1.215742612495587991e+03 1.215377845546539220e+03 3.363924736073769282e+02 2.482575560752072192e+02 2.863988896049078470e+00 1.215587722994672504e+03
2.057559002859909185e+02 7.749313875465141388e-01 1.215737357720497130e+03 1.211942917547695060e+03 2.558501320227137796e+02 2.696115804617585354e+02 2.553811150757307580e+00 1.213790450861918089e+03
1.908049289954342385e+02 5.508257672466099208e-01 1.215665050600699715e+03 1.211355045162601073e+03 2.984465103051364281e+02 2.161530055931589516e+02 2.696992780048199201e+00 1.213854670682363121e+03
2.008318383590599865e+02 8.931470829234460229e-01 1.215740448594358668e+03 1.213008837537479621e+03 3.704951111451412658e+02 3.026297823242327922e+02 3.351684170046376643e+00 1.214512345358899893e+03
