weight logl A T phi m0
0.000000000000000000e+00 -3.030156007416589091e+03 1.910112214568125744e+00 2.060144762669657723e+02 5.894322102258890972e+00 1.887208830770865475e+01
0.000000000000000000e+00 -3.025975357134278966e+03 1.248003448475377697e-01 1.540279781572396303e+02 4.174951371357620289e+00 1.897608345723826062e+01
0.000000000000000000e+00 -3.020718359683190101e+03 1.128530305380764487e+00 2.853839747674992964e+02 1.013682129096271645e+00 1.886467322367329658e+01
0.000000000000000000e+00 -3.004442933591281417e+03 3.335595583617846360e-01 6.812235079823608430e+01 6.217046748347059726e+00 1.124952886118950879e+01
0.000000000000000000e+00 -3.003146964642284729e+03 2.585635065695985446e+00 2.139578194056720690e+02 3.906886453684471072e-01 1.893803338750040410e+01
0.000000000000000000e+00 -2.993212337256266437e+03 2.592527109237010574e+00 1.964511046878926379e+02 3.192131025756341778e+00 1.799375629591272840e+01
0.000000000000000000e+00 -2.947721561276148350e+03 1.623611195495216819e+00 1.497075442169264647e+02 3.681182947808940398e+00 1.912572131079925342e+01
0.000000000000000000e+00 -2.946009099135334509e+03 1.029285992984834586e+00 1.386818059195468038e+02 1.191872056151134895e+00 1.143688539309251695e+01
0.000000000000000000e+00 -2.937651563196750885e+03 1.025186958961608941e+00 1.226053825352851305e+02 3.879244804877407304e+00 1.867948733718445808e+01
0.000000000000000000e+00 -2.937117527175372743e+03 2.413627191248691517e+00 2.709843730040655032e+02 4.024926373223146392e+00 1.195685020543393939e+01
0.000000000000000000e+00 -2.933132379816714547e+03 6.700874904448407277e-01 1.868561089742583476e+02 3.714258370365445039e+00 1.114574008337094213e+01
0.000000000000000000e+00 -2.920414573094697971e+03 1.854069323888990928e+00 2.674430363127629562e+02 4.670463172555307629e+00 1.843537352178618960e+01
0.000000000000000000e+00 -2.903484878601027958e+03 2.382152693239156793e-01 7.787620163484848490e+01 2.956634483881910747e+00 1.885471517635832939e+01
0.000000000000000000e+00 -2.885177246459202252e+03 1.825745159208131518e+00 2.133557958169861308e+02 4.054872758772373409e+00 1.106200577272064933e+01
0.000000000000000000e+00 -2.875190634745238640e+03 1.793192214003725748e+00 4.178729633057662340e+01 1.175078106290757818e+00 1.130328651258483497e+01
0.000000000000000000e+00 -2.857890869022112383e+03 8.195664837370280065e-01 5.867683393562386129e+01 6.272120919526914307e+00 1.884682851654125102e+01
0.000000000000000000e+00 -2.848694993256940961e+03 3.711080303149953963e-01 1.757105693457903612e+02 3.744052793568410475e+00 1.882614266108723911e+01
0.000000000000000000e+00 -2.840942232287189654e+03 2.094669836529401419e+00 1.706213141448955639e+02 6.133091181579882978e+00 1.857599747911287480e+01
0.000000000000000000e+00 -2.840639088799926867e+03 2.638440841293281824e+00 7.443084737521286343e+01 5.530582512509925941e+00 1.171515649668300441e+01
0.000000000000000000e+00 -2.827217951075820565e+03 2.781769159147717385e+00 9.310115324804372960e+01 2.616206133796897149e+00 1.265061605448792825e+01
0.000000000000000000e+00 -2.818739227754787407e+03 9.804883196341034335e-01 1.860446613963151776e+02 1.971059348856859239e-01 1.165663806413367354e+01
0.000000000000000000e+00 -2.818700314276551580e+03 2.679086785144302318e-02 7.432198639065686052e+01 2.683702221904070928e+00 1.880596293787563411e+01
0.000000000000000000e+00 -2.818207554372766481e+03 2.062410805100111322e+00 1.484693834480849546e+02 5.706551412970795489e+00 1.122694437982409887e+01
0.000000000000000000e+00 -2.794855288727871539e+03 7.814531625382195035e-01 9.029481145221635074e+01 2.610851560581062270e-01 1.898602681923467372e+01
0.000000000000000000e+00 -2.784265846305864216e+03 7.985425412074140805e-01 1.434489099398951240e+01 5.222248872150193399e+00 1.858204811833161330e+01
0.000000000000000000e+00 -2.770810453429671725e+03 1.031662816425767959e-01 1.895055162799368418e+02 5.521005605202759625e+00 1.878344282289428691e+01
0.000000000000000000e+00 -2.763924884910036781e+03 8.199215561460567736e-01 9.010748162703337982e+01 4.291749576234949792e+00 1.853855668543288715e+01
0.000000000000000000e+00 -2.733170683444341194e+03 1.347085086450553471e-01 8.036861766853292011e+01 1.301489714920321505e+00 1.871972667067247187e+01
0.000000000000000000e+00 -2.727236849210544278e+03 2.423351632454560534e+00 4.565413711155913035e+01 3.593921857778336282e+00 1.849588299814754322e+01
0.000000000000000000e+00 -2.713244051927168584e+03 1.796376993929981625e+00 2.212079155875804304e+02 3.509305822334346736e+00 1.831454219775510239e+01
0.000000000000000000e+00 -2.708332517667780849e+03 1.740771968863195740e+00 2.162562996722080868e+02 9.330625675279226039e-01 1.202551152234154408e+01
0.000000000000000000e+00 -2.703854313062951860e+03 1.120716205251282682e+00 2.823760657317205869e+02 4.098464065550595947e+00 1.860535538511046383e+01
0.000000000000000000e+00 -2.695467014896534238e+03 2.505855697396019544e+00 1.212275275232301937e+02 4.131874058221715273e+00 1.789679536269441940e+01
0.000000000000000000e+00 -2.687737079304571125e+03 6.381759379615562500e-01 1.204451353661353323e+02 5.651976783207981470e+00 1.157435566627635737e+01
0.000000000000000000e+00 -2.682693798233183315e+03 1.045147432263048959e+00 2.591512146277310649e+02 3.497023306476137794e+00 1.169902215316506044e+01
0.000000000000000000e+00 -2.662642833076914940e+03 1.113195795903386909e+00 2.526425490762974562e+02 5.874719344729469661e+00 1.838936677271345843e+01
0.000000000000000000e+00 -2.658122918084665343e+03 2.151875699003016784e+00 1.113144267547118602e+02 3.970251254628535786e+00 1.819727451007831220e+01
0.000000000000000000e+00 -2.631405661415608847e+03 1.330855925691214914e+00 1.006298107522076037e+02 4.283509779093236602e+00 1.825988606704087047e+01
0.000000000000000000e+00 -2.621316432130297017e+03 2.721999983271832235e+00 1.830853133363971352e+01 3.978529705194858490e+00 1.738125895090296780e+01
0.000000000000000000e+00 -2.591490711148515402e+03 1.676577950428678854e+00 2.246039294665914099e+02 4.841041351532491710e+00 1.807891222155028288e+01
0.000000000000000000e+00 -2.539106505703551647e+03 9.006640098848186504e-01 2.664391646811606620e+02 2.084770737688603770e+00 1.171045384656370025e+01
0.000000000000000000e+00 -2.533526141912996536e+03 1.601310359801219052e-01 2.330481469863130428e+02 4.472470837845941016e-01 1.860372303590160215e+01
0.000000000000000000e+00 -2.524906248646086169e+03 1.473747712740249405e+00 2.107376698955702352e+02 5.033911189651308682e+00 1.824613514886476295e+01
0.000000000000000000e+00 -2.519162911835038813e+03 1.318933405858486729e+00 2.183571672135946784e+01 2.047832685301168798e+00 1.153616866690805942e+01
0.000000000000000000e+00 -2.503919438796024679e+03 2.922243373521516752e+00 1.752392282174321849e+02 6.244814656152887444e+00 1.799836605931535161e+01
0.000000000000000000e+00 -2.503257645542416867e+03 1.980709097022190335e+00 2.556896490034563385e+02 4.520820909112643449e+00 1.167493856212907666e+01
0.000000000000000000e+00 -2.479669365398569425e+03 2.210500232075710780e+00 3.068664981808225534e+01 1.558717207360663659e+00 1.848948193873487611e+01
