weight logl A T phi m0
0.000000000000000000e+00 -3.675942447033837198e+03 6.538462648544466349e-01 1.262382790582825542e-01 4.130039938109126840e-01 8.935651314850064919e-01
0.000000000000000000e+00 -3.666898735067635243e+03 4.293520375638577580e-01 2.279603971207289081e-02 9.557284838145116979e-01 9.032794936663817165e-01
0.000000000000000000e+00 -3.660387753672704093e+03 1.461398915271893140e-01 9.276769953806335289e-01 8.492069125552477171e-01 9.282523754925243731e-01
0.000000000000000000e+00 -3.656206429809080419e+03 1.606262822414733504e-01 2.985540657891108118e-01 1.489187138679444189e-01 9.465538892090071821e-01
0.000000000000000000e+00 -3.639967607323563243e+03 3.059002921105546946e-02 5.314588149204237943e-01 5.135220735465203523e-01 9.363600492730552727e-01
0.000000000000000000e+00 -3.630514598369644773e+03 3.079343478979978954e-01 1.214421657937025945e-02 8.292186757144243137e-01 9.243399654417784328e-01
0.000000000000000000e+00 -3.614473125278510452e+03 7.472192575234698486e-01 2.301042236815206143e-01 3.370755680777426377e-02 8.809530292205614010e-01
0.000000000000000000e+00 -3.611114501856377501e+03 1.864585124276594286e-01 4.827114756392734130e-01 5.170186963624728849e-01 9.592745311489980775e-02
0.000000000000000000e+00 -3.577845325933249114e+03 8.230074972101998343e-01 2.518918046677864897e-02 9.304006974230942806e-01 9.188357907160160654e-01
0.000000000000000000e+00 -3.567439524734981205e+03 7.533891945743956819e-01 2.926078002359450148e-01 4.553745082236571040e-01 8.804442124463973673e-01
0.000000000000000000e+00 -3.560705185705131044e+03 5.767878475337019362e-01 7.828101129260112145e-02 3.659556531412082592e-01 8.921932752986139192e-02
0.000000000000000000e+00 -3.528831343286711672e+03 4.951793748415984631e-01 6.395801855946424697e-01 6.696912802879387838e-01 8.960834081458654010e-01
0.000000000000000000e+00 -3.517158525980595186e+03 3.017828853759522145e-01 8.847629028258022776e-01 9.530169130328016713e-01 9.060061715969986995e-01
0.000000000000000000e+00 -3.508956271687424305e+03 6.831797594425186304e-01 8.073032605112570037e-01 4.097269330247110819e-01 1.656349459809435265e-01
0.000000000000000000e+00 -3.502753355072265549e+03 4.638776973338850640e-01 6.242201800444830972e-01 1.857006135849847972e-01 1.236370273387987773e-01
0.000000000000000000e+00 -3.484302253571756410e+03 3.716052694722193905e-02 9.418999783887237465e-01 8.495937361521597175e-01 8.882623070082573680e-02
0.000000000000000000e+00 -3.478210965988358112e+03 2.475263974116747034e-01 7.233258987090245284e-01 8.382817432657452272e-03 9.321894975049704879e-02
0.000000000000000000e+00 -3.473478965292977591e+03 6.773204847446401278e-02 9.934265665249202293e-01 9.786928447012923638e-01 9.218904036588881912e-01
0.000000000000000000e+00 -3.463312335055084077e+03 6.422155309708391657e-01 3.185540237391589757e-01 6.209558235890306754e-01 1.667519026717936281e-01
0.000000000000000000e+00 -3.458410279066943076e+03 2.016960924292143797e-02 5.730466048200965057e-01 6.955022019290846291e-02 9.199820993527896285e-02
0.000000000000000000e+00 -3.456681565160189621e+03 7.238029889572693554e-01 8.286540530111495828e-01 3.770445083866178493e-01 9.419965093337162587e-01
0.000000000000000000e+00 -3.432186990242062166e+03 8.417403615526681815e-01 4.146515012715167314e-01 5.221840642748111216e-01 9.015281750049928267e-01
0.000000000000000000e+00 -3.427990909830529290e+03 9.284352464373979430e-03 5.500214433365295807e-01 2.320237918393404097e-01 9.215625556832287568e-01
0.000000000000000000e+00 -3.425045949239034599e+03 3.887665707099927648e-01 1.320091794110610506e-01 7.493845599034310023e-01 9.105009314433386569e-01
0.000000000000000000e+00 -3.417902121231673846e+03 3.861539287614681459e-01 4.520011067742847333e-01 1.464655270511914242e-01 9.871184663940546500e-02
0.000000000000000000e+00 -3.411111678475691861e+03 3.626111081846806750e-01 9.545153786179038091e-01 1.789701583121693362e-01 9.438327775129740083e-02
0.000000000000000000e+00 -3.380262823238118017e+03 7.837749623026900592e-01 3.328800183693024772e-01 2.230882763819347359e-01 7.106462885835507226e-02
0.000000000000000000e+00 -3.376754192467517441e+03 6.762970361342588443e-01 4.235755535448830766e-01 4.720135755100856034e-01 9.309216234939059476e-01
0.000000000000000000e+00 -3.363974361167993720e+03 2.122657026836057836e-01 4.153717844056304953e-01 4.574261898538178883e-02 9.135246530235353601e-01
0.000000000000000000e+00 -3.354449751234930773e+03 7.079075395112303104e-01 3.213019880305585385e-01 9.423375656622201557e-02 7.799109896719347290e-02
0.000000000000000000e+00 -3.350716943658260334e+03 5.664652350302890049e-01 8.092680950326130995e-01 1.028227052419377063e-01 9.094155486198340910e-01
0.000000000000000000e+00 -3.343673271452665176e+03 4.260284243762406664e-01 9.046999835063623818e-01 4.033585563753185887e-01 1.267769399031538624e-01
0.000000000000000000e+00 -3.338730765474119835e+03 1.379048847202125616e-01 1.747782374991256882e-01 1.719413772898739090e-01 9.150856436908560987e-01
0.000000000000000000e+00 -3.317748758679957064e+03 4.164160638043226115e-01 5.421642560106078035e-01 9.657572732371733082e-01 1.239249725785317446e-01
0.000000000000000000e+00 -3.314548497943685106e+03 9.006292771144418507e-01 9.497945559632670065e-02 4.657180777550934403e-01 8.906228670120539537e-01
0.000000000000000000e+00 -3.313674607364405347e+03 9.746223754371459158e-01 9.258762922036070098e-01 6.099895566539814684e-02 1.292906307538660426e-01
0.000000000000000000e+00 -3.311177089223969688e+03 8.670111233337041146e-02 2.301411629891866317e-01 7.589453068486610166e-01 1.046616135149388560e-01
0.000000000000000000e+00 -3.305219088371870384e+03 8.226236093821548412e-01 4.681526868922791795e-01 6.345249839171515083e-01 1.783510219290118659e-01
0.000000000000000000e+00 -3.296617400425182041e+03 7.805961632238078707e-02 9.636241051873006835e-02 9.956112763254554299e-02 9.128071107286278574e-01
0.000000000000000000e+00 -3.244241484832803053e+03 5.621911657794110839e-01 4.182407278793346395e-01 1.999080795195500304e-01 9.248657775532962422e-01
0.000000000000000000e+00 -3.230752000649948968e+03 7.730106810803801798e-01 2.385531564299560037e-01 6.782697042927622322e-01 8.981855120534874004e-01
0.000000000000000000e+00 -3.225232458098890675e+03 4.487977898328683324e-01 2.553131525803793433e-01 6.027816899771657466e-01 8.942138326728377162e-02
0.000000000000000000e+00 -3.219139162328060138e+03 2.680138674168407453e-01 8.384802910858439873e-01 4.077098694819295543e-01 9.204194535351081230e-01
0.000000000000000000e+00 -3.209073740252472817e+03 6.119342574430196580e-01 7.433278903556495010e-02 8.242808057899353447e-01 8.370953099470448411e-01
0.000000000000000000e+00 -3.190512483664198044e+03 4.390608001686817641e-01 2.197105605603246747e-01 4.491881458124102888e-02 1.077710778374164624e-01
0.000000000000000000e+00 -3.169845265083861705e+03 5.287524728074405322e-01 9.203736146943413132e-01 4.603474563785947549e-01 9.166186590613487617e-01
0.000000000000000000e+00 -3.140636532182125848e+03 1.666820657872725153e-02 5.031074708169890330e-01 8.473533168276622396e-01 9.029828630256658828e-01
0.000000000000000000e+00 -3.108555758774940841e+03 5.039967015178460352e-01 6.623722779108314196e-01 6.360898254531528462e-01 8.574055996145993896e-01
0.000000000000000000e+00 -3.102022867100726216e+03 6.607540041371822159e-01 5.933928106120027746e-01 5.700775979548805550e-01 8.577728535205998428e-01
0.000000000000000000e+00 -3.076583566125872039e+03 1.832893527739748452e-01 2.589160931216061279e-01 7.363381998459849198e-01 1.132591692459217203e-01
0.000000000000000000e+00 -3.043742317743028252e+03 3.512758677228158266e-01 1.972448532037329727e-01 7.344009709929443241e-01 8.842274020719403937e-01
0.000000000000000000e+00 -3.030156007416589091e+03 6.367040715227085812e-01 6.759119871274681390e-01 9.381104987503147141e-01 8.872088307708655419e-01
0.000000000000000000e+00 -3.025975357134278966e+03 4.160011494917925656e-02 4.966482005422055979e-01 6.644641479198524214e-01 8.976083457238263064e-01
0.000000000000000000e+00 -3.020718359683190101e+03 3.761767684602548290e-01 9.495999129913768044e-01 1.613325215695884385e-01 8.864673223673297242e-01
0.000000000000000000e+00 -3.004442933591281417e+03 1.111865194539282120e-01 2.004218993042623520e-01 9.894737214328293007e-01 1.249528861189509454e-01
0.000000000000000000e+00 -3.003146964642284729e+03 8.618783552319950747e-01 7.033028255368002357e-01 6.218002912026487916e-02 8.938033387500402549e-01
0.000000000000000000e+00 -2.993212337256266437e+03 8.641757030790034877e-01 6.429348437513539016e-01 5.080434317461240967e-01 7.993756295912727294e-01
0.000000000000000000e+00 -2.947721561276148350e+03 5.412037318317389767e-01 4.817501524721602424e-01 5.858784625693874704e-01 9.125721310799252972e-01
0.000000000000000000e+00 -2.946009099135334509e+03 3.430953309949448249e-01 4.437303652398165710e-01 1.896923292695541496e-01 1.436885393092517393e-01
0.000000000000000000e+00 -2.937651563196750885e+03 3.417289863205362765e-01 3.882944225354659773e-01 6.174009861597944404e-01 8.679487337184458307e-01
0.000000000000000000e+00 -2.937117527175372743e+03 8.045423970828972093e-01 8.999461138071224164e-01 6.405869278793986377e-01 1.956850205433939838e-01
0.000000000000000000e+00 -2.933132379816714547e+03 2.233624968149469092e-01 6.098486516353736064e-01 5.911425795641083170e-01 1.145740083370941909e-01
0.000000000000000000e+00 -2.920414573094697971e+03 6.180231079629969759e-01 8.877346079750446650e-01 7.433273004408329498e-01 8.435373521786189155e-01
0.000000000000000000e+00 -2.903484878601027958e+03 7.940508977463855977e-02 2.340558677063740989e-01 4.705629930257608784e-01 8.854715176358329831e-01
0.000000000000000000e+00 -2.885177246459202252e+03 6.085817197360438024e-01 7.012268821275383646e-01 6.453530431672936940e-01 1.062005772720648888e-01
0.000000000000000000e+00 -2.875190634745238640e+03 5.977307380012418792e-01 1.096113666571607581e-01 1.870194891352376931e-01 1.303286512584834744e-01
0.000000000000000000e+00 -2.857890869022112383e+03 2.731888279123426688e-01 1.678511515021512412e-01 9.982390480127923960e-01 8.846828516541250798e-01
0.000000000000000000e+00 -2.848694993256940961e+03 1.237026767716651321e-01 5.714157563647943583e-01 5.958845092934321741e-01 8.826142661087240660e-01
0.000000000000000000e+00 -2.840942232287189654e+03 6.982232788431338433e-01 5.538666004996398717e-01 9.761117779817514162e-01 8.575997479112875688e-01
0.000000000000000000e+00 -2.840639088799926867e+03 8.794802804310939415e-01 2.221753357765960946e-01 8.802195450435488233e-01 1.715156496683004628e-01
0.000000000000000000e+00 -2.827217951075820565e+03 9.272563863825724617e-01 2.865557008553232254e-01 4.163821383411127064e-01 2.650616054487928697e-01
0.000000000000000000e+00 -2.818739227754787407e+03 3.268294398780344778e-01 6.070505565390178493e-01 3.137038384980617156e-02 1.656638064133673094e-01
0.000000000000000000e+00 -2.818700314276551580e+03 8.930289283814341061e-03 2.217999530712305711e-01 4.271244744027354878e-01 8.805962937875634333e-01
0.000000000000000000e+00 -2.818207554372766481e+03 6.874702683667037739e-01 4.774806325796032702e-01 9.082258653823418459e-01 1.226944379824098652e-01
0.000000000000000000e+00 -2.794855288727871539e+03 2.604843875127398345e-01 2.768786601800563574e-01 4.155299315456650877e-02 8.986026819234672613e-01
0.000000000000000000e+00 -2.784265846305864216e+03 2.661808470691380268e-01 1.498238273789487263e-02 8.311467220587787086e-01 8.582048118331613296e-01
0.000000000000000000e+00 -2.770810453429671725e+03 3.438876054752559863e-02 6.189845388963339801e-01 8.786953329060803730e-01 8.783442822894285129e-01
0.000000000000000000e+00 -2.763924884910036781e+03 2.733071853820189245e-01 2.762326952656323220e-01 6.830531595703394077e-01 8.538556685432885374e-01
0.000000000000000000e+00 -2.733170683444341194e+03 4.490283621501844902e-02 2.426504057535617820e-01 2.071385215128308532e-01 8.719726670672474089e-01
0.000000000000000000e+00 -2.727236849210544278e+03 8.077838774848534742e-01 1.229453003846866510e-01 5.719904287514299135e-01 8.495882998147542553e-01
0.000000000000000000e+00 -2.713244051927168584e+03 5.987923313099938749e-01 7.283031571985532082e-01 5.585233684456799574e-01 8.314542197755104835e-01
0.000000000000000000e+00 -2.708332517667780849e+03 5.802573229543985800e-01 7.112286195593382487e-01 1.485015198360842836e-01 2.025511522341544302e-01
0.000000000000000000e+00 -2.703854313062951860e+03 3.735720684170942274e-01 9.392278128680020544e-01 6.522908151168831381e-01 8.605355385110462496e-01
0.000000000000000000e+00 -2.695467014896534238e+03 8.352852324653399219e-01 3.835431983559661751e-01 6.576081805991558227e-01 7.896795362694419840e-01
0.000000000000000000e+00 -2.687737079304571125e+03 2.127253126538520833e-01 3.808452943659839107e-01 8.995400432881800468e-01 1.574355666276358034e-01
0.000000000000000000e+00 -2.682693798233183315e+03 3.483824774210163566e-01 8.591421194059692956e-01 5.565685453332414045e-01 1.699022153165059557e-01
0.000000000000000000e+00 -2.662642833076914940e+03 3.710652653011289326e-01 8.366984450906809201e-01 9.349906229912754441e-01 8.389366772713457987e-01
0.000000000000000000e+00 -2.658122918084665343e+03 7.172918996676722614e-01 3.493600922576270973e-01 6.318851124909307115e-01 8.197274510078311760e-01
0.000000000000000000e+00 -2.631405661415608847e+03 4.436186418970716749e-01 3.125165888007158665e-01 6.817417551251612196e-01 8.259886067040870250e-01
0.000000000000000000e+00 -2.621316432130297017e+03 9.073333277572773747e-01 2.865010804703349567e-02 6.332026688197028852e-01 7.381258950902966909e-01
0.000000000000000000e+00 -2.591490711148515402e+03 5.588593168095595809e-01 7.400135498847979498e-01 7.704756608086658076e-01 8.078912221550280659e-01
0.000000000000000000e+00 -2.539106505703551647e+03 3.002213366282728835e-01 8.842729816591746728e-01 3.318015681164784292e-01 1.710453846563700919e-01
0.000000000000000000e+00 -2.533526141912996536e+03 5.337701199337396840e-02 7.691315413321139216e-01 7.118158416775322017e-02 8.603723035901603700e-01
0.000000000000000000e+00 -2.524906248646086169e+03 4.912492375800830979e-01 6.921988617088629114e-01 8.011718489186091530e-01 8.246135148864762732e-01
0.000000000000000000e+00 -2.519162911835038813e+03 4.396444686194955764e-01 4.081281628054989064e-02 3.259226944908307777e-01 1.536168666908059866e-01
0.000000000000000000e+00 -2.503919438796024679e+03 9.740811245071722135e-01 5.697904421290764798e-01 9.938931212194468401e-01 7.998366059315352716e-01
0.000000000000000000e+00 -2.503257645542416867e+03 6.602363656740634079e-01 8.472056862188149795e-01 7.195109945184733347e-01 1.674938562129076880e-01
0.000000000000000000e+00 -2.479669365398569425e+03 7.368334106919035564e-01 7.133327523476640231e-02 2.480775484338444414e-01 8.489481938734878552e-01
0.000000000000000000e+00 -2.479626813718096400e+03 7.064849790042614375e-01 8.564618729160998756e-01 6.971382986767805656e-01 1.840320061915963201e-01
0.000000000000000000e+00 -2.464250278299025922e+03 7.217535684298999055e-01 9.577637921478086014e-01 8.158676553033331613e-01 1.861116146246588610e-01
0.000000000000000000e+00 -2.460715723854326370e+03 9.035337239206483462e-01 8.085928228815945085e-01 1.195720041165032610e-01 2.059892577585962226e-01
0.000000000000000000e+00 -2.453236275197920804e+03 5.667958455915653726e-01 5.179312060046784572e-01 4.617523930504110474e-01 1.817535903802544039e-01
0.000000000000000000e+00 -2.430627873196051041e+03 6.806675793815778475e-01 2.138563576271887978e-01 5.134639082447335356e-01 8.312858796189370736e-01
0.000000000000000000e+00 -2.425371136645567276e+03 2.506719159643542305e-01 6.635777885897100603e-01 8.707300898385221810e-01 8.491923463384588588e-01
0.000000000000000000e+00 -2.416613372592610176e+03 8.329018243155905665e-03 2.592960511790806111e-01 3.482793692369527960e-01 8.497430323405610331e-01
0.000000000000000000e+00 -2.415306317750412745e+03 3.539993724652867879e-02 7.055640617479796983e-02 9.540280463110891729e-01 1.690535213574270168e-01
0.000000000000000000e+00 -2.410641581940932156e+03 3.091724464595734245e-01 6.592956598909767152e-01 5.406349102979691734e-01 8.268565410160431117e-01
0.000000000000000000e+00 -2.409390844436460156e+03 6.572757954288406257e-01 5.994215044748109067e-01 4.425034096944842066e-01 1.551203720352504201e-01
0.000000000000000000e+00 -2.387341003855501185e+03 6.869681362735498009e-01 9.814046423241796768e-01 9.076419117041789608e-01 1.819930760202760345e-01
0.000000000000000000e+00 -2.382585719960188271e+03 7.279455168113657670e-01 1.731322842521221261e-01 3.335111982702877453e-01 2.435823174166511507e-01
0.000000000000000000e+00 -2.365623932676111963e+03 8.666390458755534043e-01 2.283740409691635831e-01 1.334038630825153948e-01 7.502843371637231140e-01
0.000000000000000000e+00 -2.364721170440810965e+03 8.815518657159463478e-01 3.753033320361409686e-02 4.503185328359229356e-01 8.285456971290332540e-01
0.000000000000000000e+00 -2.354789862941534921e+03 9.431801754955031480e-01 3.001567624103106402e-01 9.126579849568638991e-01 1.644743198080912405e-01
0.000000000000000000e+00 -2.344577022867996675e+03 7.481076439882762275e-01 5.505949960203254667e-01 9.649373960757918756e-01 2.499166867742413922e-01
0.000000000000000000e+00 -2.317857052095833751e+03 5.868425964182188981e-02 7.490000497258602064e-01 5.309207777396871553e-01 1.735379393324479880e-01
0.000000000000000000e+00 -2.298939397064766126e+03 8.289140049023806522e-01 7.328650599184624026e-01 7.338211677357378004e-01 7.411420462728717240e-01
0.000000000000000000e+00 -2.295988221858403449e+03 7.343842719226301163e-02 1.852687597915079198e-01 5.781324409517252239e-02 1.736734060696845106e-01
