weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -2.161990038554432431e+03 9.712587535359505919e-01 3.249417762318355107e-01 4.557930398481868650e-02 9.816497261791472528e-01 8.977323542796693534e-01 3.818164378628963185e-02
0.000000000000000000e+00 -2.141698729343046580e+03 8.805750641442303683e-01 7.703231721443777325e-01 9.796215806838166618e-01 6.541196570062075555e-01 3.069175406142596874e-01 8.998314961760912611e-01
0.000000000000000000e+00 -2.125018338502175538e+03 9.064904203769639235e-01 1.564184237699282054e-01 8.207820858618908311e-02 2.591987996772965319e-01 4.730577730684343285e-01 5.887687484913575187e-01
0.000000000000000000e+00 -2.114795920318481876e+03 1.759151133931970978e-01 7.849190602941905626e-01 5.219212615044821479e-02 1.635744171615033382e-01 4.952498889073621013e-01 9.142953058224992935e-01
0.000000000000000000e+00 -2.082043967615543806e+03 3.987763912304302938e-01 5.608370174557493204e-01 1.875940586645152841e-02 9.395886033721729813e-01 7.143874381087145231e-02 4.021762989874119176e-01
0.000000000000000000e+00 -2.075821193486321135e+03 2.518516912934509744e-02 1.367046479308900997e-01 1.680156088915608636e-01 2.151255281766248917e-01 2.080639000821925544e-01 6.509788036731396499e-01
0.000000000000000000e+00 -2.014662831238043509e+03 8.667034405486764292e-01 8.863837827143434822e-01 9.292099826447083322e-01 1.914046519129630752e-02 7.034207499377737038e-01 8.409527278118023030e-02
0.000000000000000000e+00 -1.949302521875191815e+03 4.226952101354851665e-01 2.225562738029792653e-01 9.934328680024628877e-02 2.046718158307598845e-01 3.178744516791721653e-01 1.682159477357424437e-01
0.000000000000000000e+00 -1.895565616520188996e+03 9.936682723549337126e-01 7.756044171187619352e-01 8.365757095867102366e-01 1.118493467106461692e-01 1.600185945476838567e-01 4.400660556815628732e-01
0.000000000000000000e+00 -1.819166760698364669e+03 2.541318913490898668e-01 3.930981920257641260e-01 1.046519583341972703e-01 8.949331071493906720e-01 2.062549676209365357e-01 5.187236632244680568e-01
0.000000000000000000e+00 -1.817149058148417680e+03 8.717777623875031523e-01 5.749943391667700077e-01 9.872520119384076143e-01 6.008777486163638937e-01 3.953567063242224844e-02 4.418572211688828189e-01
0.000000000000000000e+00 -1.809556038193113636e+03 8.671594163448336223e-01 7.916690992714038311e-01 8.680490561752023382e-01 6.072642903224707567e-01 4.635996340518721004e-01 3.816234552149502246e-01
0.000000000000000000e+00 -1.802426570300116509e+03 7.476375519548082993e-01 9.947417379806667848e-01 9.078233202742134189e-01 9.792296247115895858e-01 6.533572444043962424e-01 9.561142424688992003e-01
0.000000000000000000e+00 -1.782979738619747877e+03 9.409210467513150489e-01 7.939708582980441465e-01 8.126253378313919029e-01 2.800777903651677780e-01 3.621613721170481304e-01 1.586188480401012901e-01
0.000000000000000000e+00 -1.751371144447175539e+03 3.262416249026017789e-01 3.966630489435596374e-01 7.756840216219884621e-02 2.474463305114527056e-01 2.896956525757019563e-01 2.488463428929873489e-01
0.000000000000000000e+00 -1.735401862288865232e+03 7.445729563284489982e-01 9.415822703371480307e-01 8.940825836548542682e-01 9.143263299193059579e-01 1.854269084980768589e-01 3.335255358199298303e-01
0.000000000000000000e+00 -1.708717852022975421e+03 6.674935445375137499e-01 9.462841175583334152e-01 9.454222139992136675e-01 4.333912628678593393e-02 1.847941135287921588e-01 2.166912801780661590e-01
0.000000000000000000e+00 -1.699261966233618296e+03 5.922116870864091442e-02 5.832643121072080827e-01 1.680770851202479932e-01 6.927516416237310404e-01 5.678675322810444737e-01 1.358251154228595770e-02
0.000000000000000000e+00 -1.696591137658018852e+03 7.644522127829624925e-01 7.050030023505116095e-01 9.437119281609552823e-01 8.586903788797682902e-01 4.612426173681156705e-01 3.506680853681408694e-01
0.000000000000000000e+00 -1.617160772212568190e+03 2.716825755549139298e-01 6.585625473400091856e-01 4.907197908109039997e-02 7.235007871704267624e-01 3.300675688220436887e-01 7.379011494477324407e-01
0.000000000000000000e+00 -1.603629837234100705e+03 8.500630166713205593e-01 9.759484624455416757e-01 7.412386978100949930e-01 3.939704696028670794e-01 2.392702069122665254e-02 8.292063629765045185e-02
0.000000000000000000e+00 -1.596943241893424783e+03 2.619337831203443212e-01 2.495175416218113895e-01 1.500060609680371471e-01 8.185215044153224540e-01 8.705932824926473357e-01 2.817665387994453541e-01
0.000000000000000000e+00 -1.579055886066125822e+03 5.389594648332931559e-01 2.976038600911400378e-01 7.804911050601892608e-02 3.961494697231995321e-01 4.348464376089308248e-01 6.266168296472048871e-01
0.000000000000000000e+00 -1.528366944989844342e+03 9.634612581341742699e-01 6.501386040350460860e-01 7.861622607221033787e-01 8.854448284891190957e-01 9.889642459724801160e-02 9.623800874204648803e-01
0.000000000000000000e+00 -1.510501652151393500e+03 8.396985822782280229e-01 6.536670587502604324e-01 8.516655069224277064e-01 7.621558836256497882e-01 5.260414407210408649e-01 2.925773789583048234e-01
0.000000000000000000e+00 -1.505925268059065274e+03 8.477035244913302403e-01 4.559916045242624616e-01 9.691589795024226905e-01 7.279843997517421172e-01 2.110207678876850901e-01 2.873283813507199191e-01
0.000000000000000000e+00 -1.475353670416488967e+03 2.806887067133309044e-01 2.857209007396995792e-01 1.366172731090643522e-01 6.248061994777069916e-01 7.164235670507951292e-01 9.134923344859532390e-01
0.000000000000000000e+00 -1.465476700496463309e+03 1.282893173417720689e-01 2.404121144858581971e-01 1.910451969341655509e-01 7.711115108852528710e-01 8.052967295112893886e-01 8.456051024644646308e-01
0.000000000000000000e+00 -1.454114577569600442e+03 4.573956996818178133e-01 4.430653033935956220e-01 9.007670106855403258e-02 9.841909724539432691e-01 2.529143973310877813e-01 6.096229539353500426e-01
0.000000000000000000e+00 -1.438447356370275884e+03 9.921894535492271627e-01 9.977864969479464108e-01 5.694213406114086995e-01 3.151268857511967392e-01 7.847753088787934317e-01 9.993891734887626610e-01
