weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -1.819166760698364669e+03 2.541318913490898623e+01 8.468865648489519060e+00 1.046519583341972748e+01 7.898662142987813439e+00 2.152208844831977785e+01 8.468865648489519060e+01
0.000000000000000000e+00 -1.817149058148417680e+03 8.717777623875031168e+01 1.192489244416863059e+01 9.872520119384076054e+01 2.017554972327278762e+00 1.039585605168897189e+02 1.192489244416863130e+02
0.000000000000000000e+00 -1.809556038193113636e+03 8.671594163448335735e+01 1.604171288615667379e+01 8.680490561752023382e+01 2.145285806449415134e+00 1.391072238353101795e+02 1.604171288615667379e+02
0.000000000000000000e+00 -1.802426570300116509e+03 7.476375519548082593e+01 1.990009302163266725e+01 9.078233202742134722e+01 9.584592494231792159e+00 1.487805683036640971e+02 1.990009302163266796e+02
0.000000000000000000e+00 -1.782979738619747877e+03 9.409210467513150888e+01 1.608544630766283845e+01 8.126253378313919029e+01 -4.398444192696643995e+00 1.513513497726819423e+02 1.608544630766283774e+02
0.000000000000000000e+00 -1.751371144447175539e+03 3.262416249026017567e+01 8.536597929927633999e+00 7.756840216219885065e+00 -5.051073389770945887e+00 2.784993579799778018e+01 8.536597929927634709e+01
0.000000000000000000e+00 -1.735401862288865232e+03 7.445729563284490382e+01 1.889006313640581425e+01 8.940825836548542327e+01 8.286526598386117826e+00 1.406503015470473201e+02 1.889006313640581425e+02
0.000000000000000000e+00 -1.708717852022975421e+03 6.674935445375137988e+01 1.897939823360833600e+01 9.454222139992137386e+01 -9.133217474264281321e+00 1.266862580014025781e+02 1.897939823360833600e+02
0.000000000000000000e+00 -1.699261966233618296e+03 5.922116870864090998e+00 1.208202193003695335e+01 1.680770851202479932e+01 3.855032832474620363e+00 7.155114590602177138e+00 1.208202193003695299e+02
0.000000000000000000e+00 -1.696591137658018852e+03 7.644522127829624480e+01 1.439505704465972080e+01 9.437119281609552957e+01 7.173807577595365359e+00 1.100433321092709491e+02 1.439505704465971974e+02
0.000000000000000000e+00 -1.617160772212568190e+03 2.716825755549139387e+01 1.351268839946017408e+01 4.907197908109040441e+00 4.470015743408534803e+00 3.671161987036347796e+01 1.351268839946017408e+02
0.000000000000000000e+00 -1.603629837234100705e+03 8.500630166713204972e+01 1.954302078646529139e+01 7.412386978100950330e+01 -2.120590607942657968e+00 1.661279920461300890e+02 1.954302078646529139e+02
0.000000000000000000e+00 -1.596943241893424783e+03 2.619337831203443301e+01 5.740833290814416401e+00 1.500060609680371471e+01 6.370430088306449079e+00 1.503718182126235980e+01 5.740833290814416046e+01
0.000000000000000000e+00 -1.579055886066125822e+03 5.389594648332931826e+01 6.654473341731661051e+00 7.804911050601893052e+00 -2.077010605536009358e+00 3.586491391007112384e+01 6.654473341731660696e+01
0.000000000000000000e+00 -1.528366944989844342e+03 9.634612581341743009e+01 1.335263347666587563e+01 7.861622607221033832e+01 7.708896569782382358e+00 1.286474504883299801e+02 1.335263347666587492e+02
0.000000000000000000e+00 -1.510501652151393500e+03 8.396985822782279740e+01 1.341967411625494755e+01 8.516655069224276531e+01 5.243117672512996208e+00 1.126848133005510988e+02 1.341967411625494719e+02
0.000000000000000000e+00 -1.505925268059065274e+03 8.477035244913302847e+01 9.663840485960987436e+00 9.691589795024226817e+01 4.559687995034842345e+00 8.192071640071138461e+01 9.663840485960987792e+01
0.000000000000000000e+00 -1.475353670416488967e+03 2.806887067133309088e+01 6.428697114054291895e+00 1.366172731090643566e+01 2.496123989554138944e+00 1.804462678795621855e+01 6.428697114054291717e+01
0.000000000000000000e+00 -1.465476700496463309e+03 1.282893173417720689e+01 5.567830175231305745e+00 1.910451969341655598e+01 5.422230217705056532e+00 7.142931322553434548e+00 5.567830175231306100e+01
0.000000000000000000e+00 -1.454114577569600442e+03 4.573956996818178311e+01 9.418240764478316152e+00 9.007670106855403702e+00 9.683819449078864494e+00 4.307862824240378075e+01 9.418240764478315441e+01
0.000000000000000000e+00 -1.438447356370275884e+03 9.921894535492270961e+01 1.995794344201098269e+01 5.694213406114086951e+01 -3.697462284976065661e+00 1.980206099769525849e+02 1.995794344201098340e+02
0.000000000000000000e+00 -1.399712012700589185e+03 7.372071735540333748e+01 1.277946550945298121e+01 8.911715224629035959e+01 9.084609777052104818e+00 9.421113647755086618e+01 1.277946550945298156e+02
0.000000000000000000e+00 -1.396432027295077205e+03 1.054619973836705782e+01 1.291045110488030723e+01 1.679453613100234577e+01 2.876140151844621684e+00 1.361561960644893965e+01 1.291045110488030616e+02
0.000000000000000000e+00 -1.384513363608490181e+03 5.221708999905325754e+01 1.512383082875589579e+01 9.704183718088100363e+01 -4.924170561740135454e+00 7.897224355156028253e+01 1.512383082875589650e+02
0.000000000000000000e+00 -1.379494742973925895e+03 5.181450367774604615e+01 1.890129330591124202e+01 9.334032121622563238e+01 9.502911477418003017e+00 9.793611315132947936e+01 1.890129330591124130e+02
0.000000000000000000e+00 -1.372965080647822106e+03 6.336108545633280187e+01 6.029990119407206528e+00 1.314593152250201946e+01 7.563379892942812432e+00 3.820667192566024539e+01 6.029990119407206350e+01
0.000000000000000000e+00 -1.368345462981897072e+03 6.303725957326221874e+01 1.755163349164761755e+01 8.490971612322239537e+01 2.255371887347525472e+00 1.106406876347753467e+02 1.755163349164761826e+02
0.000000000000000000e+00 -1.365260263084303006e+03 7.711455108683908577e+01 1.100264239631881225e+01 2.514378088008528689e+00 9.073383214778136363e+00 8.484638291611486238e+01 1.100264239631881225e+02
0.000000000000000000e+00 -1.363379198635762805e+03 9.660309655319936439e+01 1.207865922338141473e+01 7.661696925451650486e+01 3.045546409323684145e+00 1.166835883189506831e+02 1.207865922338141473e+02
0.000000000000000000e+00 -1.352143159727345846e+03 3.848881618083310485e+01 5.558959014528989329e+00 1.509559601728988021e+01 -6.202160666163319291e+00 2.139577516669914203e+01 5.558959014528988973e+01
0.000000000000000000e+00 -1.347867202883069695e+03 8.160286535944069897e+01 9.150160215979083134e+00 9.431321047713531414e+01 4.836787936166651036e+00 7.466792921218520007e+01 9.150160215979083489e+01
0.000000000000000000e+00 -1.342221195714182613e+03 7.055096186620384913e+01 1.843452929912359295e+01 7.925364639858948124e+01 9.814267331087709323e+00 1.300573773603886139e+02 1.843452929912359366e+02
0.000000000000000000e+00 -1.335499305178806026e+03 9.442375223116302152e+01 1.474206155630842474e+01 6.819428570621272456e+01 -3.973665867841891242e-01 1.392000767769420122e+02 1.474206155630842545e+02
0.000000000000000000e+00 -1.331210271275913328e+03 7.943861148920386483e+01 1.773318422829550300e+01 7.159066371275272900e+01 -2.814367047423729673e+00 1.408699532378043955e+02 1.773318422829550229e+02
