A w B x0 f sigma_v
5.211338284377963248e+01 5.388994063716873839e+00 4.857573876754880615e+01 -1.587509488759769383e+00 2.808387107853332054e+01 5.388994063716873484e+01
5.096521852928950125e+01 4.729709905769590605e+00 4.966618309602321091e+01 -1.074543289115382549e+00 2.410506989276924372e+01 4.729709905769590250e+01
5.402134424458574813e+01 4.966861730720191659e+00 4.972436609143506558e+01 -5.772812555612265584e-01 2.683165473704944404e+01 4.966861730720191304e+01
4.483708088279901460e+01 5.605938543395308393e+00 5.151103957060080063e+01 -2.225756083391817519e+00 2.513539198942159558e+01 5.605938543395308216e+01
5.053031766514170187e+01 4.581869462435640195e+00 4.937654953930287860e+01 -2.220309781542386673e-01 2.315233194370849645e+01 4.581869462435640372e+01
5.857657478224778203e+01 5.234580725023931791e+00 5.009390114437003660e+01 -6.088002636182849869e-01 3.066238092930771586e+01 5.234580725023931791e+01
5.676825417571726717e+01 4.835084475046608432e+00 4.861226979437940088e+01 -1.220892575530832858e+00 2.744793044405103544e+01 4.835084475046608077e+01
5.239673735066633498e+01 5.417359996742839634e+00 5.021828592479946707e+01 -3.330597909704309245e-01 2.838519888833412352e+01 5.417359996742839456e+01
4.269404964001844860e+01 5.386874539377627613e+00 4.814032295934590167e+01 -8.446003615715405033e-01 2.299874889887399476e+01 5.386874539377627968e+01
5.674162208619968339e+01 4.894171473947895201e+00 4.902914253673356626e+01 1.044305598209671615e-01 2.777032281998103258e+01 4.894171473947895379e+01
5.454818920568893503e+01 5.464557377468658217e+00 4.667177707104927009e+01 -5.066378816295156184e-01 2.980817097515036806e+01 5.464557377468658217e+01
5.022537554082596500e+01 5.508590408615739342e+00 4.753700182027190380e+01 -1.106184491582077101e+00 2.766710219733174725e+01 5.508590408615739165e+01
6.026333970508083127e+01 5.109439403220390474e+00 4.806978253227750741e+01 -1.333025474787453035e+00 3.079118824587958514e+01 5.109439403220390830e+01
5.223003675371982268e+01 5.147908191293675273e+00 5.135761852296494112e+01 -2.356659157786182845e-01 2.688754340360440054e+01 5.147908191293674918e+01
5.284590422273922883e+01 5.236840485207649998e+00 4.922086079410507153e+01 -6.978355459229170776e-01 2.767455707110466889e+01 5.236840485207650175e+01
4.999822780897689256e+01 5.455635761211579116e+00 4.949600489008556536e+01 -1.502711278907735704e-01 2.727721196318575991e+01 5.455635761211578938e+01
4.963903229710771825e+01 5.543373322995648778e+00 4.832945048502181606e+01 -9.016877230871838123e-01 2.751676874151063501e+01 5.543373322995648778e+01
5.834020110093125311e+01 4.891378709797827185e+00 4.916861159137696546e+01 -1.268951865711507310e-01 2.853640175904188681e+01 4.891378709797827185e+01
5.548185579953165103e+01 4.968641618888343992e+00 5.009406799748730066e+01 -6.002905976814005840e-01 2.756694578187146050e+01 4.968641618888344169e+01
5.058997324303714294e+01 5.860603089480124872e+00 4.757942956411375945e+01 -5.115600770902890559e-01 2.964877534848603347e+01 5.860603089480125050e+01
5.868089205786326801e+01 4.293352452466893787e+00 5.179394767112938069e+01 -8.539664183462498670e-01 2.519377518295723206e+01 4.293352452466893965e+01
5.402030855040250401e+01 5.229094898409016423e+00 5.038586808842956088e+01 -5.021219084972994295e-01 2.824773198513906891e+01 5.229094898409016423e+01
5.193812749609113411e+01 5.126532544353251453e+00 4.973482947973450763e+01 -6.349804997321939481e-01 2.662625009014796618e+01 5.126532544353251808e+01
5.633914850252866557e+01 4.327989381246192480e+00 4.836631046513986121e+01 -2.388525544307835702e-01 2.438352364673963990e+01 4.327989381246192124e+01
5.091141262516164545e+01 4.866397771862727595e+00 5.184561340788889083e+01 -6.257988787781840756e-01 2.477551849614705759e+01 4.866397771862727950e+01
5.156646886062513602e+01 5.457253546637695685e+00 4.911743813848746498e+01 -4.027785671122803279e-01 2.814112950772288357e+01 5.457253546637695507e+01
5.519950105783776451e+01 4.802165478511892793e+00 4.984740882310015309e+01 -1.218774170146909697e+00 2.650771384110292317e+01 4.802165478511892616e+01
5.022537554082596500e+01 5.508590408615739342e+00 4.753700182027190380e+01 -1.106184491582077101e+00 2.766710219733174725e+01 5.508590408615739165e+01
5.933363900221912957e+01 4.464598749240797915e+00 5.020981378854195754e+01 -2.252296765722263672e-01 2.649008904772125561e+01 4.464598749240798270e+01
5.029509787878296834e+01 5.527527026864424542e+00 4.874395339006129291e+01 -2.430140254926484999e-01 2.780075128437644594e+01 5.527527026864424897e+01
5.309320156052434214e+01 4.571150417063616800e+00 4.980723810403012664e+01 -1.020356112322859943e+00 2.426970104566334996e+01 4.571150417063616800e+01
5.830770404374410987e+01 5.102879418291069058e+00 4.769884310718316556e+01 -3.867308474878772273e-01 2.975371828926287776e+01 5.102879418291068703e+01
5.576601749321314117e+01 5.074488419474404211e+00 4.782034343385856090e+01 -2.870118459124810784e-01 2.829840099695170963e+01 5.074488419474404566e+01
4.737876539757127858e+01 5.124150973572416667e+00 4.793124878184104176e+01 -2.733865629172029799e-01 2.427759468386239661e+01 5.124150973572416490e+01
5.991134756682401274e+01 5.485364622951553137e+00 4.569805932928230874e+01 -1.179935227328078540e+00 3.286355864564110618e+01 5.485364622951553315e+01
5.554884905115164884e+01 4.914390792616767811e+00 5.065929107287097111e+01 -5.055924623632286341e-01 2.729887523174383546e+01 4.914390792616767811e+01
5.542186757360843075e+01 5.343397557116438712e+00 4.901724300135045098e+01 -5.244859567458810545e-01 2.961410718036500356e+01 5.343397557116438890e+01
5.025790230433331374e+01 5.108110552440848551e+00 4.951723562961881697e+01 -8.082092203649189344e-01 2.567229211043062520e+01 5.108110552440848551e+01
4.640299010935709845e+01 5.116176652183860085e+00 5.151014008136143474e+01 -5.185873532992264501e-01 2.374058945890113748e+01 5.116176652183860085e+01
5.503533063936790626e+01 4.666795240390770871e+00 5.174972330367397433e+01 -7.362387306377478069e-01 2.568386190811344960e+01 4.666795240390770516e+01
5.223003675371982268e+01 5.147908191293675273e+00 5.135761852296494112e+01 -2.356659157786182845e-01 2.688754340360440054e+01 5.147908191293674918e+01
5.140341775623183906e+01 5.127491583821287335e+00 4.974199013557420557e+01 -9.814031149544213406e-01 2.635705919247284967e+01 5.127491583821287691e+01
5.820764114081528362e+01 4.849505184205908925e+00 4.977012405302173903e+01 -4.700455909625169681e-01 2.822782574727808580e+01 4.849505184205909103e+01
4.495753373726036983e+01 5.007976752975504375e+00 5.149839509760013812e+01 1.303847218484577297e-02 2.251462838273118905e+01 5.007976752975504553e+01
5.280047078593673859e+01 4.557092012714301532e+00 4.998128147373717667e+01 -3.283477625757331708e-01 2.406166036861471369e+01 4.557092012714301177e+01
5.476649601353844332e+01 4.878632655235899840e+00 5.057201928506770372e+01 -1.096444492089961642e+00 2.671856158644953894e+01 4.878632655235900017e+01
4.872020312506911921e+01 4.976591191702636863e+00 5.238266784956648792e+01 -2.237274333344174693e-01 2.424605337301822416e+01 4.976591191702637218e+01
