H0 sigma
7.342977768392725579e+01 1.006859186717337025e+03
7.920019070296021368e+01 1.039481083882636085e+03
7.489125393175825707e+01 1.174776905181270649e+03
7.732578813467527823e+01 1.019137904218584254e+03
7.878340978923968407e+01 1.036155218689220646e+03
7.415712487307411038e+01 9.862188760842852844e+02
7.969340919722714034e+01 1.207122067466408225e+03
7.105368407397041608e+01 9.192288891288985724e+02
7.722274556573086102e+01 1.292382949669897926e+03
7.580732331066558061e+01 9.713276158963846001e+02
7.104712269690730864e+01 1.262313028966627598e+03
7.246599701165729357e+01 1.039999912000840368e+03
7.533330670666700257e+01 9.736530062060612636e+02
7.673688608355141128e+01 1.002571747021301576e+03
7.831061503204308849e+01 1.044010457752598541e+03
7.772095982020354654e+01 9.209901756948709135e+02
7.569206149100794789e+01 1.236032458944797554e+03
7.811783976763724979e+01 1.001883225814703678e+03
7.221613597617908908e+01 1.102122117976052323e+03
7.285655632669347881e+01 8.093643807009808597e+02
7.648798138853064188e+01 1.021176308343087726e+03
7.381643938514014280e+01 1.026904128472126786e+03
7.726753360829005146e+01 1.048733856261289930e+03
7.706533478239633439e+01 9.745709334227769887e+02
7.486479632518465621e+01 9.492122223437772846e+02
7.338895028471395676e+01 1.087903447920010422e+03
7.380315759082552063e+01 9.375706467591483033e+02
7.772241030793853156e+01 1.234343577255730679e+03
7.320705691219694700e+01 1.193815670929379621e+03
7.717598175851182418e+01 1.079175702938677887e+03
7.376392680131220914e+01 1.067457599538727891e+03
7.685042023239384434e+01 1.000788803195722153e+03
6.968430498207754908e+01 8.800769947117770471e+02
7.583492242560791396e+01 1.008460137305419607e+03
7.256184739105057702e+01 1.149424469917469878e+03
7.386835634782325144e+01 1.033397865878710491e+03
7.080428876362913115e+01 9.841508113886752653e+02
7.585047066006559646e+01 1.126903063603979035e+03
7.615887989371793765e+01 8.641009125398586548e+02
7.514665738622065305e+01 1.090421866246619857e+03
7.297178463314364194e+01 1.038910790258248426e+03
7.632941292965486468e+01 9.382214303953786612e+02
7.353370629869561981e+01 1.121889239527010432e+03
7.753289384499797166e+01 9.681415904632676757e+02
7.668204635480438469e+01 1.151881156161195804e+03
7.772095982020354654e+01 9.209901756948709135e+02
6.856292475242774742e+01 9.863636564469272798e+02
7.672803883017802207e+01 1.051681995717962991e+03
7.106366008773673570e+01 9.397694752174403447e+02
7.333133927221128090e+01 9.174036907709282787e+02
7.641816109119270095e+01 9.562379709427306125e+02
6.850464721975660609e+01 1.027096455030740344e+03
7.170885113180752057e+01 1.084566751734021636e+03
7.759631843468237378e+01 1.201691498988672038e+03
7.756511580630611036e+01 1.122242318089007767e+03
7.651267091872566084e+01 1.032489227709766055e+03
7.502411746312230889e+01 9.820063726014219583e+02
7.731483894822602565e+01 9.883841062908416006e+02
7.197682116424367393e+01 1.459221472835495888e+03
7.332204946497078879e+01 9.929948650676124089e+02
7.479801485755236001e+01 1.028099665110453770e+03
7.548250550082241261e+01 1.057015352292288981e+03
7.556084755203919201e+01 1.116596172072207992e+03
7.444254987622481678e+01 8.355415774329184160e+02
7.250584586199481407e+01 9.250401644079398693e+02
7.248583720289775556e+01 9.370282576671901325e+02
7.080428876362913115e+01 9.841508113886752653e+02
7.595640162692170350e+01 1.253262998275567270e+03
7.475360163009150938e+01 1.027192870472261347e+03
7.572148583077814976e+01 1.119654136126773210e+03
7.600540584838741154e+01 8.569549997212055814e+02
7.322931967880830939e+01 9.087361947389334773e+02
7.444219527042375262e+01 1.159871014921795677e+03
7.344672232349316232e+01 1.033535141278566925e+03
7.372925592316016719e+01 1.017403098398217821e+03
7.495347728307109492e+01 9.930028826298944296e+02
7.334193315940363789e+01 9.945181371500459591e+02
7.546348474822802643e+01 1.160051524006639511e+03
7.472321686781305061e+01 1.048692864516292957e+03
7.587667452703885829e+01 9.434322006490735930e+02
7.693434581643559511e+01 1.078719463342968538e+03
7.578943094160673866e+01 9.735384478319080017e+02
7.613007388970063971e+01 9.044198167814480485e+02
7.643646343002365029e+01 1.115233940252714092e+03
7.460275197632898880e+01 1.001630468385380027e+03
7.704352748543895757e+01 1.012075585755464658e+03
7.337327199552498769e+01 1.029318447250260078e+03
7.587416502067847546e+01 9.169661766125584563e+02
7.378802338587152576e+01 9.987556541476869825e+02
7.350931702822228431e+01 1.087392695217223491e+03
7.579981966494423773e+01 8.684601717164734964e+02
7.106650304454723255e+01 9.749219933570087733e+02
7.118226224721232143e+01 1.361058612215609855e+03
7.350466559783126286e+01 9.755261502802592304e+02
7.165561062466308329e+01 1.089512992773195037e+03
7.486676431521541986e+01 9.412269315641083267e+02
7.285008030310399363e+01 9.361666336386473404e+02
7.507113946679790217e+01 9.369820430366344226e+02
7.854326111217955031e+01 1.193489404151989447e+03
7.483667763222049985e+01 1.172909094550380132e+03
7.278497618860286877e+01 1.055404315369361029e+03
7.306592097705343747e+01 1.026609839013585770e+03
7.334216535227039913e+01 8.604226780512568666e+02
7.466858494147757597e+01 9.008445825486691092e+02
7.535729415941915477e+01 8.066903625153983057e+02
7.704874928005018830e+01 9.444647398818132160e+02
7.415097112465410589e+01 1.042203864273456247e+03
6.987337967702700325e+01 1.131428795013908029e+03
7.674895328509575165e+01 1.097793640499638286e+03
8.295811410675896980e+01 1.154676610189804023e+03
7.726753360829005146e+01 1.048733856261289930e+03
7.455467011360865115e+01 8.884473087593531773e+02
7.618910239438825727e+01 9.888926424161344357e+02
7.464626950801937255e+01 9.652105764396151244e+02
7.641955736195795623e+01 9.720017774677480702e+02
7.506973585588474407e+01 1.019397501703257035e+03
7.548259346922493762e+01 9.117434182057724001e+02
7.955339898382203501e+01 1.048227854628233899e+03
7.407984903990632120e+01 1.028855327806767491e+03
7.864951207655741428e+01 1.179729647033382435e+03
7.215228251166554685e+01 1.156491999026898384e+03
7.414354507733933985e+01 9.167677047873305582e+02
7.419211024436478397e+01 1.098074107807717610e+03
7.425735929421534820e+01 1.137322544198037576e+03
7.334193315940363789e+01 9.945181371500459591e+02
7.505394321851899520e+01 8.956454920076874942e+02
7.525521011363258594e+01 1.136160950923378095e+03
7.110152804175181984e+01 8.982683094964919519e+02
7.524618972419007434e+01 9.285949303230960368e+02
7.454772206338301999e+01 9.366440593981627671e+02
7.564605425031039942e+01 1.016050242066376768e+03
7.685297083936458762e+01 1.214581435181601364e+03
7.465507563583638273e+01 9.450342574856913416e+02
7.497940265788419367e+01 1.041317420985057879e+03
