m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
1.635708241633909665e+01 -6.801954698049758719e+00 6.993943557984970028e+00 -8.943229665905503722e+00 8.871427243454562017e+00 -7.738649867121898396e+00 1.491573739887864036e+01 1.506882973195717490e+01 1.598140270254673467e+01 1.286430454107335919e+01
1.128917497140732706e+01 -3.907176272430685771e+00 8.787780036878164225e+00 -6.243783122300356148e+00 9.488962289302282471e+00 -3.718007530983210351e+00 1.516297497613652823e+01 1.509884001983675716e+01 1.588189769648160521e+01 1.257782254680691736e+01
1.249324939251940592e+01 -4.177640599654869114e+00 7.831727025265898590e+00 -6.544951353293711804e+00 8.997588639350457385e+00 -4.157605724420121440e+00 1.499290002608709038e+01 1.502774104968198365e+01 1.601290862714858676e+01 1.299279538229770203e+01
1.225450311085155519e+01 -4.607367415263611932e+00 8.761150430481677631e+00 -7.172896941311491581e+00 9.814686621732924721e+00 -4.711312443961800156e+00 1.514649746975078237e+01 1.508727469339457627e+01 1.599556192029283608e+01 1.262113496948516378e+01
1.458224890515836059e+01 -5.994095440541197028e+00 7.994251271456668917e+00 -8.372551814509680668e+00 9.405000289503490762e+00 -6.303016232877009628e+00 1.506549633165919033e+01 1.509864352710960311e+01 1.610138309981113025e+01 1.293734934593359753e+01
1.116566377548651623e+01 -2.382488980880338225e+00 6.894348193790818868e+00 -4.442534105619299289e+00 8.225462066508136161e+00 -2.722846360137044286e+00 1.500337336180271919e+01 1.520282615738171117e+01 1.595168440470494886e+01 1.290637079172137724e+01
1.443313897709576565e+01 -6.294803526547433137e+00 8.336202206548502858e+00 -8.387923227103552648e+00 9.463475706286295974e+00 -6.419200513839857791e+00 1.507324852819853334e+01 1.512061279925904067e+01 1.597389348849664614e+01 1.270913983097868183e+01
1.241738839346326095e+01 -5.179128647691564780e+00 9.261519560256324723e+00 -7.636721699057202883e+00 9.937341900397232308e+00 -4.850265340696850558e+00 1.519669318795763502e+01 1.506803392575758593e+01 1.597686525748576436e+01 1.266205648189059652e+01
1.624129018461335505e+01 -7.913302432208206838e+00 8.379265277115507615e+00 -9.683084519060100703e+00 9.021527719577370874e+00 -7.261129762499910711e+00 1.508807441937793747e+01 1.505868404233476099e+01 1.603173382795158375e+01 1.323196120722065316e+01
1.324437239361096630e+01 -5.056204256629534655e+00 8.061073152050276747e+00 -7.311533836086843152e+00 9.574701986219039895e+00 -5.559034408229043933e+00 1.503807291234703669e+01 1.519286055534939095e+01 1.604745839436885646e+01 1.259103406120783220e+01
1.320889806645153541e+01 -5.543007588932838736e+00 8.852846121794350154e+00 -8.034698758226054949e+00 9.884472199521109559e+00 -5.453228566052990445e+00 1.510358694762327758e+01 1.505077861632686975e+01 1.604905399304790237e+01 1.276001347734822389e+01
1.294007854289684545e+01 -4.655826137685535215e+00 7.929862262351861091e+00 -7.264461746188030311e+00 9.775229612110749144e+00 -5.491096834886128875e+00 1.490185362360639054e+01 1.504106115712632885e+01 1.600013939268205121e+01 1.248135114225482312e+01
