weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -3.166652550080884248e+04 1.852436769903869873e+01 -6.803334483615999240e+00 -5.162402755617732097e+00 9.723491692824875798e+00 9.415312365510072112e+00 -2.090046233910136664e+00 1.638413547135724357e+01 2.962379126491234516e+01 3.179536531628474449e+01 2.340129720907366107e+01
0.000000000000000000e+00 -3.160661975455653010e+04 1.460738913159927677e+01 8.577811276625794790e+00 -6.753387447344656458e+00 -8.678330002450277192e+00 -2.147385025916277002e+00 -8.381297764778331327e+00 7.409309226611483723e+00 5.570629407756957363e-01 1.294136094358631084e+00 3.677006438831060819e+00
0.000000000000000000e+00 -3.147004777704059961e+04 1.784614371994148740e+01 8.469886348768099538e+00 -7.505724141787717407e+00 7.438789686706265059e+00 5.982368212678627728e+00 7.097631712851320884e+00 2.087799241172095321e+01 2.646780579614841145e+01 3.172359982945766887e+01 2.949845614748512190e+01
0.000000000000000000e+00 -3.098692948995217012e+04 1.205357348134084106e+01 8.476538588809908958e+00 -7.145336965737238977e+00 2.113043519679218107e+00 -8.416105185750485163e+00 -7.661539726885120416e+00 1.010703474058037266e+01 4.838423328614336327e+00 -6.007151336190048596e-01 -5.031566945477905506e-01
0.000000000000000000e+00 -3.063120544128003530e+04 1.823878084982906955e+01 -1.912681824093908745e+00 2.779834209168456027e+00 6.923391402832713482e+00 2.867669845460838474e+00 6.104790027798191687e+00 2.451367904746842541e+01 2.915489676375270989e+01 2.936340384755236954e+01 2.705011923262843254e+01
0.000000000000000000e+00 -2.999083001983442227e+04 1.941497704566398852e+01 4.862316510803960767e+00 8.203720247423454737e+00 8.003116026568989128e+00 -5.630911108204699644e+00 1.066913087451561992e+00 3.467176796155467144e+01 2.978101466381284013e+01 2.044958494016431416e+01 1.824244010340789046e+01
0.000000000000000000e+00 -2.981435513619764970e+04 1.917372869034346650e+01 7.485546544524162016e-01 -7.351680457143210390e+00 4.478434198294564794e+00 9.242760055971682931e+00 3.612434475774007225e+00 1.628337930251644039e+01 2.538935634441554967e+01 3.233722259497869089e+01 2.891685200047712812e+01
0.000000000000000000e+00 -2.965828174632586524e+04 1.977406654806899411e+01 -2.424827139895562311e-01 9.589906197677045441e+00 6.861625221674749753e+00 -5.883758088279016363e-01 -6.298532228129996469e+00 3.322908723820867749e+01 3.121016582506906900e+01 2.082238283594022832e+01 1.415373923615410057e+01
0.000000000000000000e+00 -2.943891595725227307e+04 1.061415140515519440e+01 -7.437483073696114388e+00 -7.573778753433836997e+00 -8.662724793908903820e+00 8.120773175956234269e+00 -3.879740939030611457e-01 -5.630179912725417068e+00 1.224135036964916878e+00 1.213777574734010756e+01 1.389267082988684443e+01
0.000000000000000000e+00 -2.891835062278573241e+04 1.394810518650139386e+01 9.320405736680935860e+00 7.801350860097382878e+00 -8.974715067490663500e+00 -6.004049129229906967e+00 -6.763030435918255812e+00 2.107143786506774319e+01 6.409611834207472825e+00 -4.420307219573818003e-01 2.418631093157495471e+00
0.000000000000000000e+00 -2.882589515151243540e+04 1.711659397173499997e+01 6.459198849111643881e+00 -4.913651580861369439e+00 -5.965062763085065001e+00 -7.410688493078991357e+00 -8.679498539833815585e+00 1.140330293169730602e+01 3.375956205565993073e+00 2.302948396272128662e-01 3.082583274121024175e+00
0.000000000000000000e+00 -2.863419783020333489e+04 1.819298312637298665e+01 5.938279653161249172e+00 7.521184763962253328e+00 3.288253607794917599e-01 2.072666515307483692e+00 8.584484559790482194e+00 2.989122914809055942e+01 2.630621584089121257e+01 2.675569538644274559e+01 2.816465003479768114e+01
