A T phi m0 m_100 m_200 m_300 m_400
1.499653384214093332e+00 9.823843474852942848e+01 7.887458752048125410e-01 1.503881136099453464e+01 1.621484622645738227e+01 1.631200934043813078e+01 1.639302772304199607e+01 1.645687402420650258e+01
1.505858456454143290e+00 1.007201447026960039e+02 1.136135830640012667e+00 1.503300288943762197e+01 1.636898015935017270e+01 1.633642831127386685e+01 1.630124631790639000e+01 1.626350517199704271e+01
1.396692767107330591e+00 9.949719385527778570e+01 9.887390406009435306e-01 1.495149719009814682e+01 1.614198902053388807e+01 1.616457654690624679e+01 1.618594117044986902e+01 1.620606135353127542e+01
1.464760832760076514e+00 9.952347746220645774e+01 1.093459843282520882e+00 1.513117955759230071e+01 1.645186481986489113e+01 1.647032247485964973e+01 1.648756822167282721e+01 1.650358645311165162e+01
1.509201103501055519e+00 9.957200243900575742e+01 9.989152346410015149e-01 1.505973805750700301e+01 1.635039597667503841e+01 1.637104889545070918e+01 1.639074539764839855e+01 1.640947111744371512e+01
1.577141655742616777e+00 1.016010880010869784e+02 1.238517826000047561e+00 1.498096483721818828e+01 1.641368159826988915e+01 1.634148933381734636e+01 1.625596968413119825e+01 1.615796038004190649e+01
1.532399866604943206e+00 9.866741632970185094e+01 8.529884683747595009e-01 1.506713048546000522e+01 1.630268458287186562e+01 1.637506736254225714e+01 1.643803715757427497e+01 1.649114078576647202e+01
1.454858948547550490e+00 9.931390999266828601e+01 9.480693309948039493e-01 1.503356696926443092e+01 1.625104331724535811e+01 1.628445742939814522e+01 1.631551512070661403e+01 1.634415788485586063e+01
1.411288197689566370e+00 1.021170999158819797e+02 1.418170124171747037e+00 1.500385291243164154e+01 1.635904641307741514e+01 1.629639442882644573e+01 1.621184084660394831e+01 1.610681839297336992e+01
1.500019731556498925e+00 9.889438029703589450e+01 8.418188061390305954e-01 1.497677036251330307e+01 1.616293882334394283e+01 1.622445821917973419e+01 1.627982364450693709e+01 1.632876202045182978e+01
1.477555567937999470e+00 1.004351053096446122e+02 9.830114300797283544e-01 1.499924545335427872e+01 1.620606940156648079e+01 1.618242028374905317e+01 1.615789456983725358e+01 1.613251043055655387e+01
1.446166351636832159e+00 9.949854162009698655e+01 9.632376966204813096e-01 1.517278923663587520e+01 1.638569866958901500e+01 1.641002551931267561e+01 1.643311182424702110e+01 1.645493443635179176e+01
1.358466560939324941e+00 9.997737741598187711e+01 1.059021940461632338e+00 1.506506209531693941e+01 1.625042238648187620e+01 1.625136464167562167e+01 1.625230449894177553e+01 1.625324195638055969e+01
1.572570849787476854e+00 1.000359618497376033e+02 1.026542773232897332e+00 1.503498466577069870e+01 1.637849848490235516e+01 1.637664903407901207e+01 1.637479273822847858e+01 1.637292960682137277e+01
1.517757761176310449e+00 1.009348795863298420e+02 1.185048418774718559e+00 1.507312397955212191e+01 1.644375743594162742e+01 1.640352134415626040e+01 1.635878074447873587e+01 1.630968712126231068e+01
1.346210190895831049e+00 1.005049747105853442e+02 1.086642716154766930e+00 1.509838843763841254e+01 1.626950587896538636e+01 1.624796706187311202e+01 1.622528266197037539e+01 1.620147528480850951e+01
1.484365968719208784e+00 1.000979620132271606e+02 1.009081791612897128e+00 1.507978818071020299e+01 1.633118572802045421e+01 1.632625302003696532e+01 1.632127318141388983e+01 1.631624640044613628e+01
1.440064211064952415e+00 9.951967074477826714e+01 1.006682333449783862e+00 1.511994355044780747e+01 1.635967430148778590e+01 1.638132054882499133e+01 1.640180686670623444e+01 1.642111441644681946e+01
1.495270387186129479e+00 9.793733718179356629e+01 6.672919716885643560e-01 1.509794849598403133e+01 1.617019640012638604e+01 1.629833050120884863e+01 1.640547494923521299e+01 1.648975623662109058e+01
1.463751184292465535e+00 9.938549422530704192e+01 8.887695972189749716e-01 1.500794076688779910e+01 1.617922589598165928e+01 1.621243821031379539e+01 1.624383284673376693e+01 1.627336242835630387e+01
1.455379763052863984e+00 9.999819764586119675e+01 1.013370903231052056e+00 1.507982620663594275e+01 1.631497758915867280e+01 1.631506475453646843e+01 1.631515190407239047e+01 1.631523903776532336e+01
1.528352045612339394e+00 1.000621609155452347e+02 1.097364596027776473e+00 1.506023828401568210e+01 1.641775483293298521e+01 1.641500384147298774e+01 1.641223220960003459e+01 1.640943997954109079e+01
1.476829852319986758e+00 9.805491722918516473e+01 8.795109730760827249e-01 1.512384333000021641e+01 1.636985227300021251e+01 1.645874024794268564e+01 1.652691810355768354e+01 1.657332810159867975e+01
1.491041659501797012e+00 9.997562392245903595e+01 1.013773542257159432e+00 1.508729060092653107e+01 1.635414177901357036e+01 1.635534490300035060e+01 1.635654505095988398e+01 1.635774222007551870e+01
1.375175278216461239e+00 1.012751429583473026e+02 1.258479398422137185e+00 1.511896769465143109e+01 1.639013200923096392e+01 1.634469476759219830e+01 1.629159028654687447e+01 1.623115074833908267e+01
