weight logl A T phi m0 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -4.374777312789768075e+03 1.476879632642222884e+00 8.682153806120334139e+01 4.029139828794705558e+00 1.963227805823809646e+01 1.820908682293895708e+01 1.913054853428697655e+01 2.047480776250078094e+01 2.110908392246159337e+01
0.000000000000000000e+00 -4.328831042782238001e+03 1.830284425318732922e+00 2.700757089672894153e+02 4.743247773596674044e+00 1.994579571419831154e+01 2.124144787376212307e+01 1.999817778053343176e+01 1.857829977042919012e+01 2.176898080967094273e+01
0.000000000000000000e+00 -4.323200647915669833e+03 2.224275468443387194e+00 9.641283048914567644e+01 3.355611718955947342e+00 1.150980834203765468e+01 1.054674688503296842e+01 1.010848951457123945e+01 9.746466732368059382e+00 9.480373312518036499e+00
0.000000000000000000e+00 -4.318238733961934486e+03 1.580540720604850513e+00 1.081324587636399173e+02 4.149606948046002941e+00 1.999144716714615555e+01 1.918498831659293558e+01 1.989206691487639489e+01 2.062092736390495773e+01 2.121182032563454811e+01
0.000000000000000000e+00 -4.316149630252408315e+03 1.018621116522867354e+00 4.779503374727468668e+01 9.206461591501428066e-01 1.069202681981876779e+01 1.170812362105469973e+01 1.158136146374186382e+01 1.116397932900369128e+01 1.059237085381834653e+01
0.000000000000000000e+00 -4.313371389024579003e+03 1.816150887939653291e+00 1.267154313228973592e+02 6.069470051480129413e+00 1.084622161130252671e+01 9.031023681992067509e+00 1.034692312801834291e+01 1.241812685781055237e+01 1.211146082410518865e+01
0.000000000000000000e+00 -4.300828589401913632e+03 1.486310284829795991e+00 7.207605861779134671e+01 1.149823868086423673e+00 1.985102278114055707e+01 1.921460709077675233e+01 1.946194917246974754e+01 2.107890250616999239e+01 1.837349151077292930e+01
0.000000000000000000e+00 -4.280473851159138576e+03 7.673610514116568915e-02 2.261514767009498428e+02 7.187746630166053086e-01 1.060589954461481277e+01 1.057919153669920931e+01 1.060530147011032831e+01 1.063372563462815634e+01 1.055447759007484265e+01
0.000000000000000000e+00 -4.275564709554850197e+03 7.120232971014125445e-01 2.324630819422903016e+02 3.886952669653458869e+00 1.063553064951648963e+01 1.085046117039197533e+01 1.072929890651559148e+01 1.025082390418195644e+01 1.123831003920608929e+01
0.000000000000000000e+00 -4.230656798151690964e+03 1.715139378088667454e+00 6.712036252835738992e+01 1.373503951605329565e+00 1.077516876425544368e+01 9.118116382045313273e+00 1.240068346136115274e+01 9.187786638638151260e+00 1.231797813990727164e+01
0.000000000000000000e+00 -4.183556310456101528e+03 2.724036610366914246e+00 9.091956727288940954e+01 5.977000468903368890e+00 1.056746160393004708e+01 1.142780959685574516e+01 1.278142653578289867e+01 1.329145572611190218e+01 1.276356058635548507e+01
0.000000000000000000e+00 -4.183038861062649630e+03 1.197162875061613674e+00 2.406483007123242430e+02 6.118899406527115836e+00 1.044594686364726854e+01 1.121253505772535952e+01 9.319410204143590448e+00 1.162258368595802338e+01 9.542837981632668942e+00
0.000000000000000000e+00 -4.142868752122363730e+03 2.976444986248440561e+00 5.945630853173214803e+01 4.320961691195682519e+00 1.112169202878055074e+01 1.329641688011024847e+01 1.206840424434736470e+01 8.161374890234133872e+00 1.263148377874582629e+01
0.000000000000000000e+00 -4.137855219790504634e+03 3.876186715177138975e-01 1.093578848288858012e+02 8.449362544718448664e-02 1.077167321982332915e+01 1.060196825869805437e+01 1.044743843540064177e+01 1.038440145700173645e+01 1.043064515122559222e+01
0.000000000000000000e+00 -4.057923171142855608e+03 8.833832678514546011e-01 6.749836227011388701e+01 5.544245743925301895e+00 1.088382458225380311e+01 1.155043989774679858e+01 1.015453640379277900e+01 1.166596145891197445e+01 1.005937509145497977e+01
0.000000000000000000e+00 -4.046240731540599882e+03 1.698543014598705048e+00 2.877428079814976627e+02 5.712652865546992587e+00 1.088776416888982546e+01 1.258478905059853759e+01 9.852948871052676694e+00 1.038113433084799553e+01 1.250537878312600526e+01
0.000000000000000000e+00 -4.025579406687906157e+03 2.605454467695925702e-01 2.309170219783451330e+02 2.366558924297848865e+00 1.082590051678338838e+01 1.058347444982993224e+01 1.108617654260664054e+01 1.059314829720960915e+01 1.099055337379771835e+01
0.000000000000000000e+00 -3.969339894846682000e+03 6.368748280679170648e-02 1.787403956027593779e+02 5.280139813923919512e+00 1.079702079140716009e+01 1.083451005399167855e+01 1.078091181703601542e+01 1.078952630355478881e+01 1.082708443909800167e+01
0.000000000000000000e+00 -3.966674706187009178e+03 3.469234913756238381e-01 6.782618063355155869e+01 4.870448863459610145e+00 1.977216246148469381e+01 2.011908432839434013e+01 1.942990416979154134e+01 2.010089146305603691e+01 1.946547800789677041e+01
0.000000000000000000e+00 -3.943361078980457478e+03 6.363141016260986937e-01 1.031110224991929982e+02 5.484382294355985898e+00 1.091047222333511790e+01 1.037906458188868797e+01 1.032263044356365356e+01 1.028725906469031415e+01 1.027421782514931081e+01
0.000000000000000000e+00 -3.922428600026156346e+03 2.280381908667481472e+00 2.085078300576488459e+02 2.668326258377950566e+00 1.958868780148407751e+01 1.829835198328260759e+01 2.110879641900671899e+01 1.786375075026366943e+01 2.149014776929183057e+01
0.000000000000000000e+00 -3.921016460658346659e+03 1.981011516256170335e+00 2.635035804475594432e+02 5.841725234519041798e+00 1.071027615787657084e+01 1.255563122456703162e+01 8.874198005806452016e+00 1.153392094057804229e+01 1.134906987055386907e+01
0.000000000000000000e+00 -3.902020721435083487e+03 2.383672542492027979e-01 1.064774084814383741e+02 5.125864989235083158e+00 1.975913365930262700e+01 1.952088276325639526e+01 1.953529834344157123e+01 1.958201983660408274e+01 1.965430397934747120e+01
0.000000000000000000e+00 -3.891323444733783163e+03 2.860303002010966988e+00 2.513740311335772333e+02 5.385586852678161840e+00 1.870405253018714831e+01 2.156296868634798969e+01 1.636111065403077802e+01 1.959790160274826576e+01 1.961528764768688049e+01
0.000000000000000000e+00 -3.869495873529961955e+03 2.731937430221303753e+00 1.763212860425328898e+01 5.012980750853350820e+00 1.892393313192162196e+01 1.944754981325078447e+01 2.103733436047771477e+01 1.639821888133332450e+01 1.920322775941964366e+01
0.000000000000000000e+00 -3.847782404920241333e+03 1.346434685391812991e-01 1.036776252919561045e+02 1.416946707894559010e+00 1.081055414939671877e+01 1.093575566106868102e+01 1.092171055556682191e+01 1.090216674256573626e+01 1.087809101934517564e+01
0.000000000000000000e+00 -3.829376387880645780e+03 8.714314224740820070e-01 3.211600583247338392e+01 5.200974876025686200e+00 1.083273110321729504e+01 1.051944871774793455e+01 1.112887243473459264e+01 1.159344593159057268e+01 1.168593455335674314e+01
0.000000000000000000e+00 -3.824703107435867423e+03 2.373097318810670764e+00 2.908637983427452127e+02 4.608795719655520706e+00 1.168001636121139875e+01 1.278803590618979413e+01 1.280860655402380388e+01 9.317343446377735816e+00 1.317800892034973259e+01
0.000000000000000000e+00 -3.803190920507329338e+03 7.326243838006079034e-01 2.464046568359759419e+02 2.004982901907356452e-01 1.952214688036411161e+01 1.980146024893028667e+01 1.891256589388559561e+01 2.025476639517162880e+01 1.891554528490584985e+01
0.000000000000000000e+00 -3.792125751815027343e+03 1.778245289664278861e+00 2.347400825760475129e+02 1.004738137762673400e+00 1.966152769282828672e+01 1.874757006355102362e+01 1.979453261440160006e+01 2.033771239107100115e+01 1.831970721976984606e+01
0.000000000000000000e+00 -3.785192377075833065e+03 1.561419951842377474e+00 4.284207310320353912e+01 3.001786407002667634e+00 1.089834109630854719e+01 9.453546804765206701e+00 1.213843531934175068e+01 1.109198107345724793e+01 9.462879869422774703e+00
0.000000000000000000e+00 -3.759899203830716033e+03 7.362615079573742172e-02 2.918571208403837431e+02 2.932146313689854011e+00 1.091410919940399360e+01 1.084553461986564393e+01 1.097419504769514553e+01 1.091662260668443096e+01 1.085125999441522637e+01
0.000000000000000000e+00 -3.753768542661284755e+03 1.550659413818237464e+00 2.756062092289066641e+02 3.148116272127648774e+00 1.136565245788003864e+01 1.019526485183645015e+01 1.289974041097409163e+01 1.053849049197037502e+01 1.090861945955985846e+01
0.000000000000000000e+00 -3.752134897572524096e+03 6.324772805155948197e-01 3.271752078127779839e+01 4.945691491446117638e+00 1.105278881775253375e+01 1.052656685396179448e+01 1.068123336279216140e+01 1.088218077645942827e+01 1.110437910817427110e+01
0.000000000000000000e+00 -3.752043843480651049e+03 3.767462143327694468e-01 2.937040953958772889e+02 3.617462930183291903e+00 1.098398508858587164e+01 1.079468854351475926e+01 1.136039805928497692e+01 1.076798716597875938e+01 1.084014317647717895e+01
0.000000000000000000e+00 -3.702143487719550649e+03 9.743853846751066028e-01 2.175359490445870563e+02 5.526548666359721196e+00 1.078463759240006858e+01 1.160971900678829449e+01 9.856005038793016482e+00 1.175758091629425195e+01 9.829450589484551415e+00
0.000000000000000000e+00 -3.690743441495143088e+03 1.525906353762306766e+00 1.712428748078554577e+02 4.856429740349411439e+00 1.975802402415960302e+01 2.095253147202350164e+01 1.920394454444395649e+01 1.952100059468224558e+01 2.072169482428331122e+01
0.000000000000000000e+00 -3.663126499445642366e+03 1.880315933385401150e+00 2.655402030996203280e+02 6.238292245553270554e+00 1.081858682147286821e+01 1.219375146058477810e+01 8.938853875883189914e+00 1.212820384948074270e+01 1.082782226049229735e+01
0.000000000000000000e+00 -3.659400152355435239e+03 2.395612520977264959e-01 1.802255172213171193e+02 5.279606376307238946e+00 1.101923484070167447e+01 1.116590200976494174e+01 1.094520093683888184e+01 1.101192576894935371e+01 1.110702701313288188e+01
0.000000000000000000e+00 -3.652111768806628788e+03 1.699005866644954565e+00 2.870839758801032531e+02 2.217273615162185685e+00 1.947940754857935985e+01 1.785957929958734169e+01 1.999986174038134834e+01 2.049627422100786234e+01 1.778088323721600261e+01
0.000000000000000000e+00 -3.648968367954696078e+03 7.871662855414103266e-01 8.006584741059465671e+01 4.210273794053951413e+00 1.107985635087483267e+01 1.069655943442745638e+01 1.176490838901938929e+01 1.147200303391536913e+01 1.039987021491281638e+01
0.000000000000000000e+00 -3.645650038717440566e+03 9.945194869432891771e-01 1.648802297079332675e+02 4.928073314589584974e+00 1.968199204863354623e+01 2.031192706576907980e+01 1.966530201045557291e+01 1.907823836613868806e+01 2.064577861429583194e+01
0.000000000000000000e+00 -3.593633680193632244e+03 2.103510174177274372e+00 1.419329625146733349e+02 3.616383003160794196e+00 1.958002418371775732e+01 2.164596967341454814e+01 1.937787162019568754e+01 1.762795410446027233e+01 2.088180555040101893e+01
0.000000000000000000e+00 -3.588594210818673673e+03 2.785063293086661229e+00 2.438254173671764420e+02 3.405695392530442955e+00 1.950167938428859316e+01 1.867711998569341247e+01 2.162181694882194449e+01 1.674420835394187179e+01 2.204036457864625120e+01
0.000000000000000000e+00 -3.541343927020215233e+03 1.421539731632915693e+00 1.307039635177773107e+02 1.130053803801989609e+00 1.984197447131054659e+01 1.935995253411639538e+01 1.846503034700955581e+01 2.006332123315173988e+01 2.126082269682991921e+01
0.000000000000000000e+00 -3.534506448149100834e+03 1.257888632391873429e+00 1.298276670559517356e+02 3.497126648372899993e+00 1.927348894622999609e+01 2.038761060749918030e+01 1.999411940081966321e+01 1.834226759399010831e+01 1.831650895629306675e+01
0.000000000000000000e+00 -3.531437781821668068e+03 1.516973196325009265e+00 1.524329915737977217e+02 4.913707639079166078e+00 1.134003423050872605e+01 1.191555969769746604e+01 1.218553402344318215e+01 9.823061456416684933e+00 1.218365363635955845e+01
0.000000000000000000e+00 -3.531230740398810667e+03 8.224259521556761543e-01 2.307974201172450819e+02 4.560404346279733900e+00 1.934735836487678640e+01 2.003922819660193255e+01 1.889638199408653563e+01 1.947934131955399550e+01 1.955722559556309292e+01
0.000000000000000000e+00 -3.525879781957196428e+03 2.274886153551235690e+00 3.886238806026224779e+01 1.366903423508753157e+00 1.898730949298165882e+01 1.678651657593728430e+01 2.070395641431853306e+01 1.811141122054229768e+01 1.884050693754353389e+01
0.000000000000000000e+00 -3.519516577631635755e+03 2.733697860902156052e+00 1.811536500237514247e+01 6.099050462995863953e+00 1.198663975361712630e+01 1.214337609991195244e+01 1.217621182076688235e+01 1.145380166476213546e+01 1.285419248725621877e+01
0.000000000000000000e+00 -3.500518709040224167e+03 1.595039650076687798e-02 1.360854261316428548e+01 4.719316093562729186e+00 1.949552160914950960e+01 1.950485057380740983e+01 1.950066418927998413e+01 1.948023506015546502e+01 1.950808821439487417e+01
0.000000000000000000e+00 -3.495566127793912528e+03 1.966284258314144440e+00 2.384296913047774638e+02 5.189934661461171883e-01 1.099897903588811410e+01 1.097413192772471291e+01 1.006714792051049834e+01 1.265363111882968994e+01 9.036766207248675187e+00
0.000000000000000000e+00 -3.490408805552538979e+03 9.414624255352322946e-01 8.868907625692496310e+01 3.985091417707508743e+00 1.089170682405845092e+01 9.952822743497744540e+00 1.028848473079390402e+01 1.099119919573160331e+01 1.163337389938266675e+01
0.000000000000000000e+00 -3.464829594821193950e+03 4.969885686048240991e-01 4.479980905075495912e+01 2.630667858770826761e+00 1.950652859653618876e+01 1.910292720798637589e+01 1.917317897887103584e+01 1.983552295817651157e+01 1.991351049061998424e+01
0.000000000000000000e+00 -3.456161586799862562e+03 1.032569650934719752e+00 1.936800675125720659e+02 3.293228654781917619e+00 1.093894603854640124e+01 1.119855622925591021e+01 1.057842686002672750e+01 1.139658888330563435e+01 1.038898461264464501e+01
0.000000000000000000e+00 -3.441366352123501656e+03 8.994398014691696863e-01 1.688422368689570163e+01 3.007348634822832878e+00 1.123821521422316039e+01 1.176082543017791515e+01 1.204214211391564504e+01 1.213746172027437531e+01 1.202473103993068371e+01
0.000000000000000000e+00 -3.427870976923323724e+03 4.555812770460265781e-02 1.399428443797159503e+02 5.362458792408837382e+00 1.110332774871202233e+01 1.108443934372616013e+01 1.114793251972834298e+01 1.110252461674513924e+01 1.105907753400085625e+01
0.000000000000000000e+00 -3.409396059005550796e+03 1.260784934861506557e+00 1.740220632373638807e+02 6.096022212276178465e+00 1.941124556140013624e+01 1.906062495608965790e+01 2.027137213684171257e+01 1.822734569816757499e+01 2.066327157455053509e+01
0.000000000000000000e+00 -3.401673315891886887e+03 2.561274274072867563e+00 2.886948020861591431e+02 6.083279327222215649e+00 1.874403105523560598e+01 2.109738862567915163e+01 1.657326170740153870e+01 1.886217038194447682e+01 2.078029464377102187e+01
0.000000000000000000e+00 -3.369635470539599737e+03 2.818620985189572714e+00 6.084786871713085077e+01 2.969344091542450936e+00 1.245607911897255526e+01 1.433369359658077613e+01 9.642448019202346288e+00 1.407078824637361514e+01 1.326550760621578640e+01
0.000000000000000000e+00 -3.358837026138638066e+03 4.824381964997326300e-01 2.789668286938104416e+02 1.176872014287766444e+00 1.932548535623757857e+01 1.918864797130916600e+01 1.905240287011940836e+01 1.980638800687971113e+01 1.899266337507321722e+01
0.000000000000000000e+00 -3.277103553166534766e+03 1.136186573956988966e+00 2.073730696427372493e+02 1.788065901510053735e+00 1.944424975833688762e+01 1.831438889458823382e+01 2.058041500843518534e+01 1.831594072078774005e+01 2.055063990036604693e+01
0.000000000000000000e+00 -3.275645355130832286e+03 1.025053811042865970e+00 2.426673650111178233e+02 1.238130886780618001e+00 1.127764844871218486e+01 1.062852502315068648e+01 1.141396520940910264e+01 1.169468426517700621e+01 1.043130274472048136e+01
0.000000000000000000e+00 -3.270528122135119247e+03 2.379663662903551025e+00 6.300861761383114157e+01 2.820011576978653234e-01 1.133651133915932618e+01 9.581817768781938582e+00 1.367132387703352769e+01 9.103338814631769083e+00 1.281596348000107888e+01
0.000000000000000000e+00 -3.264184927558364961e+03 2.414809616184507846e+00 1.686985278289554060e+02 5.605992784497934034e-01 1.873319841305184497e+01 1.653549376256788150e+01 2.111882361339544545e+01 1.694756262611449671e+01 1.932909572328102854e+01
0.000000000000000000e+00 -3.222997299143223245e+03 1.998734349482238049e+00 8.289596306843989737e+01 1.390561389855792029e+00 1.157992246117745339e+01 1.245759615424873701e+01 1.008917296179465239e+01 9.894416391854203852e+00 1.215730162320159380e+01
