weight logl A w B x0 k f sigma_v
0.000000000000000000e+00 -1.067414121710312793e+04 1.815862060821354973e+01 1.568640245148337797e+01 6.882150200144410590e+00 -3.888707040375900092e+00 -5.334631409745378416e-01 2.848434308242375934e+01 1.568640245148337726e+02
0.000000000000000000e+00 -9.427333346992427323e+03 7.378836664504441956e+01 8.827637072932938977e+00 3.278492048986236806e+00 -6.100875133178504939e-01 -3.022309605673780819e-01 6.513769209469623434e+01 8.827637072932938622e+01
0.000000000000000000e+00 -8.696362407177181012e+03 8.031700001600268024e+01 3.029864563042061754e+00 1.952770415396571835e+01 -4.084520062144294528e+00 9.817349021004306842e-01 2.433496321583352184e+01 3.029864563042061576e+01
0.000000000000000000e+00 -8.248537040915769467e+03 2.563421835451078579e+01 1.343234556970157811e+01 5.702120572923230490e+00 6.817691502558965055e+00 -8.263422739677359630e-01 3.443276793469758701e+01 1.343234556970157882e+02
0.000000000000000000e+00 -5.844505856150974068e+03 5.851701415765112557e+01 4.439679423526436075e+00 9.585003409336446012e+00 8.464796938783774038e-01 -3.983145655899476001e-01 2.597967836819288578e+01 4.439679423526435897e+01
0.000000000000000000e+00 -5.730815552815271985e+03 4.524052212869909084e+01 7.378555541017817632e+00 5.396664690600228020e+00 -8.168426006924667249e+00 5.607020661677135642e-01 3.338097052312518542e+01 7.378555541017817632e+01
0.000000000000000000e+00 -5.573377783934025501e+03 6.243205696712011843e+01 8.106186647309243654e+00 1.074606250506426974e+01 -2.384251300946374386e+00 6.903739447476349156e-01 5.060859065509191623e+01 8.106186647309243654e+01
0.000000000000000000e+00 -5.059192139698290703e+03 2.305825600233610828e+01 2.005686174604298877e+00 7.149604626216476966e+00 -8.231604752811065850e-01 -1.611208175208649340e-01 4.624762527437211723e+00 2.005686174604299055e+01
0.000000000000000000e+00 -4.824131154050272016e+03 8.278718076383252367e+01 8.806444822439152276e+00 9.666000072470881221e+00 -7.060192628118828750e+00 -4.059877011332213570e-01 7.290607394019870924e+01 8.806444822439152631e+01
0.000000000000000000e+00 -4.231242553349506125e+03 9.579452791516364130e+01 5.427646230770237779e+00 4.038249029375206689e+00 -6.966651833967121732e+00 -9.626526259110468331e-02 5.199388083671522054e+01 5.427646230770237423e+01
0.000000000000000000e+00 -3.983152191030163522e+03 6.890661762071566443e+01 6.559738729878375807e+00 1.141405165813730349e+01 -2.800602926123691994e+00 4.958214195996819562e-01 4.520094083515282790e+01 6.559738729878375807e+01
0.000000000000000000e+00 -3.947632263532361321e+03 3.194593188744607914e+01 1.502495583118837352e+00 2.229907568825030140e+01 3.755478217691818443e+00 9.285747004866524712e-01 4.799862155950295417e+00 1.502495583118837352e+01
0.000000000000000000e+00 -3.640267355245368890e+03 4.956587507367405721e+01 2.568755995225772804e+00 1.973764177011852894e+01 -3.882138111860715668e-01 8.141259507639519999e-01 1.273226387541119209e+01 2.568755995225772892e+01
0.000000000000000000e+00 -3.513657474345201990e+03 3.225089094537177914e+01 1.245826438484822418e+01 3.930684221358093922e+00 -1.141467908774584927e+00 3.844721300769626815e-01 4.017901260443493072e+01 1.245826438484822347e+02
0.000000000000000000e+00 -3.504727102150754945e+03 9.642110443506931006e+01 9.786689644390520471e+00 1.389502064801890668e+01 -3.113511777470847619e+00 -6.285494549477999016e-01 9.436434242753897195e+01 9.786689644390520471e+01
0.000000000000000000e+00 -3.149353633341977911e+03 9.724967482044986866e+01 1.277618374931521039e+01 3.314642317520910542e+00 -1.349583302469770985e+00 -6.763826646660440201e-01 1.242479715067220241e+02 1.277618374931521004e+02
0.000000000000000000e+00 -3.035289285155331527e+03 8.355202630598004987e+01 1.373060043236618011e+00 1.818205794224926208e+01 -1.479878155441820553e-01 -6.484799247593480143e-01 1.147219488521960074e+01 1.373060043236618100e+01
0.000000000000000000e+00 -3.023480077903815982e+03 6.648013660521958457e+01 2.345537252308591558e+00 1.193030660343722360e+01 2.988854043899635826e+00 -2.101929385319427634e-01 1.559316369461065577e+01 2.345537252308591647e+01
0.000000000000000000e+00 -2.833326983252653008e+03 6.905616852023095475e+01 1.466290604643661677e+00 2.367620301161629115e+01 -7.160776126638026540e+00 -8.741544709181230388e-01 1.012564110939040418e+01 1.466290604643661766e+01
0.000000000000000000e+00 -2.809683878723908492e+03 1.609446022043351476e+01 1.343269355224252770e+01 8.805098817290701874e+00 -5.632980042939543353e+00 -1.306558290959536350e-01 2.161919520298411257e+01 1.343269355224252877e+02
0.000000000000000000e+00 -2.775006687974449960e+03 4.137283360919649056e+01 5.487136739207755909e+00 1.189935391871106418e+01 6.932194565681708553e+00 4.062122542739776687e-01 2.270183953021514611e+01 5.487136739207755909e+01
0.000000000000000000e+00 -2.578834592330702435e+03 4.154005456613618641e+00 3.574734706137384421e+00 1.755156948333329581e+01 -1.867641630724712343e-01 3.197258889920517877e-01 1.484946747524077626e+00 3.574734706137384421e+01
0.000000000000000000e+00 -2.441248418007815417e+03 5.777961697961930554e+01 4.097638971768925664e+00 1.221259547810034007e+01 4.833896005764298565e+00 2.506967226569312146e-01 2.367600103095696085e+01 4.097638971768925842e+01
0.000000000000000000e+00 -2.387954399991996979e+03 1.456840301326595188e+01 9.907220590435208862e+00 1.491755051869155757e+01 -7.300468888729088057e+00 -1.831996790576129186e-01 1.443323823027867903e+01 9.907220590435208862e+01
0.000000000000000000e+00 -2.360162522836697462e+03 8.454636966626082994e+01 2.815208819581990873e+00 1.523928275925744380e+01 5.412902174652337806e+00 3.811886095816467979e-01 2.380156855480968048e+01 2.815208819581990696e+01
0.000000000000000000e+00 -2.322765295692785003e+03 6.634889861509788034e+01 1.048640524290328280e+00 2.020247468552687309e+01 -1.658916846776110177e+00 -4.082074465781895256e-01 6.957614382982207246e+00 1.048640524290328280e+01
0.000000000000000000e+00 -2.168107193687354084e+03 2.985182501598388072e+01 1.003992890900847534e+01 1.071228570996438734e+01 -7.536576563904285209e+00 -4.804951738034923814e-02 2.997102009646389575e+01 1.003992890900847499e+02
0.000000000000000000e+00 -2.050812589183540695e+03 2.475295940855881671e+00 3.864075162331710445e+00 2.939068159536111224e+01 9.957658380486581251e+00 -9.209675716792846689e-01 9.564729564481714297e-01 3.864075162331710089e+01
0.000000000000000000e+00 -1.996993554564844089e+03 9.133582473344421260e+01 1.786209629893989970e+01 9.935798251839635498e+01 2.173076684832322414e+00 -3.663988970941374212e-01 1.631449296931877200e+02 1.786209629893990041e+02
0.000000000000000000e+00 -1.953334742972656386e+03 1.824382050807324873e+01 1.996227480177952174e+01 9.066075703648845519e+00 4.741832360952962233e-01 4.172122140178573524e-01 3.641881584164990926e+01 1.996227480177952316e+02
0.000000000000000000e+00 -1.898738583868258502e+03 1.609405308048406091e+00 1.706189895176397187e+01 2.347953526159981408e+01 3.085981476497911657e+00 5.750158690820093010e-01 2.745951073835446898e+00 1.706189895176397044e+02
0.000000000000000000e+00 -1.839719416536378048e+03 6.545063441507785740e+01 9.955605227286770997e+00 1.673312612514277209e+00 -9.160505917840310985e+00 4.618203694342701837e-01 6.516006781119844504e+01 9.955605227286770287e+01
0.000000000000000000e+00 -1.822750369845189198e+03 1.223858479237051000e+01 5.701386473612544137e+00 2.871385873449121462e+01 1.043038487426493077e-01 -8.999147732199481720e-01 6.977690179138141602e+00 5.701386473612544137e+01
0.000000000000000000e+00 -1.818495058949571103e+03 4.161175040128372160e+01 5.295372285707363957e+00 1.821546642286538997e+01 -3.521052947810900946e-01 -4.268876100207523727e-01 2.203497098347300920e+01 5.295372285707364313e+01
0.000000000000000000e+00 -1.755413986751194898e+03 1.381169542658167160e+01 1.036177028129375444e+01 1.862420333945576800e+01 -6.004337455239538990e+00 4.572523959743812760e-02 1.431136152054348187e+01 1.036177028129375515e+02
0.000000000000000000e+00 -1.698332721824655891e+03 9.881760296439003355e+01 5.008387628050565255e+00 1.456114742832950171e+01 -5.648667726194567251e+00 5.264510885899353898e-01 4.949168601204639373e+01 5.008387628050564899e+01
0.000000000000000000e+00 -1.680249395761940832e+03 7.757931536577789444e+00 1.122521051368849498e+00 2.683431958107684778e+01 -5.334748144447090112e-01 7.178432792718314470e-01 8.708441464886854666e-01 1.122521051368849498e+01
0.000000000000000000e+00 -1.674812433226959911e+03 2.627661593334933343e+01 9.621365427230916367e+00 1.932542044225485967e+01 -1.307573921205250400e+00 -5.489947938764290214e-01 2.528169240857523192e+01 9.621365427230915657e+01
0.000000000000000000e+00 -1.650952489594919825e+03 8.839483768176629042e+01 1.487402133945473182e+01 9.323317521088962678e+01 -9.735682437940596401e+00 -4.743894979417853097e-01 1.314786701976229040e+02 1.487402133945473111e+02
0.000000000000000000e+00 -1.645419088821627156e+03 9.691419689164088425e+01 1.734139396312465919e+01 8.056737353081705066e+01 -2.313759774083297138e+00 -8.789754824751321305e-01 1.680627268917775723e+02 1.734139396312465919e+02
0.000000000000000000e+00 -1.623742388656193725e+03 8.013024260724770897e+01 1.647541261716642680e+01 9.893602252760967986e+01 5.123906572796013137e+00 6.129387779839696737e-01 1.320178810068055668e+02 1.647541261716642680e+02
0.000000000000000000e+00 -1.606354865898883872e+03 1.049348398386109693e+01 1.399873965713650925e+01 1.993476778387631754e+01 -1.584860367948277116e+00 4.589924775700147119e-01 1.468955503864031265e+01 1.399873965713650819e+02
0.000000000000000000e+00 -1.586447052613044434e+03 2.523894559641043500e+01 1.616614312808745524e+01 1.089217662875637771e+01 3.872273168443669533e+00 -4.340610505673658803e-01 4.080164069135837224e+01 1.616614312808745524e+02
0.000000000000000000e+00 -1.579656948477262631e+03 9.114805455217512176e+00 1.292079608009020220e+01 2.235898499683535334e+01 -5.919566543780376833e+00 -4.122529434035193674e-02 1.177705425965592312e+01 1.292079608009020149e+02
0.000000000000000000e+00 -1.562596259668476705e+03 8.526177790010494562e+01 1.766778521311228900e+01 8.774763682981597412e+01 -2.823578872802876560e-01 -3.223428196015662994e-01 1.506386778827138357e+02 1.766778521311229042e+02
0.000000000000000000e+00 -1.561870479449000413e+03 1.240763549346270977e+01 9.357683077669758376e+00 2.104405508431780447e+01 2.131738254752164607e-01 8.823967701336399294e-02 1.161067206910706595e+01 9.357683077669759086e+01
0.000000000000000000e+00 -1.556055513455716209e+03 3.387713816057801353e+01 1.936195581544788880e+01 2.935600033471041925e+00 -8.188239323634320499e+00 2.766914186992184277e-01 6.559276522189350089e+01 1.936195581544788809e+02
0.000000000000000000e+00 -1.543276012289317805e+03 9.935353788261463137e+01 1.779096270305777239e+01 7.646494032502278060e+01 -5.869166999265964080e+00 -1.101248184311809375e-02 1.767595086886434501e+02 1.779096270305777239e+02
0.000000000000000000e+00 -1.512955850406624450e+03 5.316448944676157851e+01 3.665663529371456342e+00 2.856724207381875402e+01 -3.677852712966920734e+00 -7.911202300222455186e-01 1.948831300226476060e+01 3.665663529371456519e+01
0.000000000000000000e+00 -1.504268301268244613e+03 7.488839472875442027e+01 1.823456458448137951e+01 9.078336819943831415e+01 -2.237504971780916563e+00 -6.221892087277007821e-01 1.365557270309607532e+02 1.823456458448137880e+02
0.000000000000000000e+00 -1.501906269644381609e+03 8.700913312839124103e+01 1.563564733620306235e+01 9.013885851068641841e+01 1.557215796538343966e+00 1.075645470076136423e-01 1.360444120624268294e+02 1.563564733620306129e+02
0.000000000000000000e+00 -1.495112813522608121e+03 4.008510753948930727e+01 1.100228481983018192e+01 1.528737267887759721e+01 1.479738114848537123e+00 -6.801182918021306811e-01 4.410277701829836161e+01 1.100228481983018156e+02
0.000000000000000000e+00 -1.491385555389919318e+03 9.824883260415657560e+01 1.347176174902695367e+00 2.906201233405799655e+01 4.679842818862713472e+00 -6.287585555671497684e-01 1.323584864963228824e+01 1.347176174902695323e+01
0.000000000000000000e+00 -1.476292296219584387e+03 4.277573463933514830e+01 1.463921888161202567e+01 3.876900509471004064e+00 2.354121131697795022e-01 -3.439854452378341421e-01 6.262033422069806932e+01 1.463921888161202673e+02
0.000000000000000000e+00 -1.465023007670706647e+03 5.412575463870204118e+01 3.734421115180668771e+00 2.047132023240872911e+01 -1.637819959196455954e-01 5.473428885691296042e-01 2.021283609978569373e+01 3.734421115180668949e+01
0.000000000000000000e+00 -1.452489284365748972e+03 1.596417206084202967e+01 4.435340018770849824e+00 2.850334698418506463e+01 2.458905163918938541e-01 -5.732633757141254449e-01 7.080653120799615508e+00 4.435340018770850179e+01
0.000000000000000000e+00 -1.445818147802317981e+03 6.320212029409633914e+01 1.961099137929170766e+01 9.736527236499445337e+01 -3.995259925722542960e-01 9.706696105623802140e-03 1.239456236240480820e+02 1.961099137929170695e+02
0.000000000000000000e+00 -1.439958017813807601e+03 4.233481103516086819e+01 2.621910664538994240e+00 2.720093137180146314e+01 -3.081758178078737309e+00 -4.623362865302129698e-01 1.109980925343313807e+01 2.621910664538994240e+01
0.000000000000000000e+00 -1.410057705454970346e+03 8.353104215326088422e+01 3.771787405998940912e+00 2.392941882972746725e+01 4.328519189289723457e+00 -6.028355353965022534e-01 3.150613328036360627e+01 3.771787405998941267e+01
0.000000000000000000e+00 -1.406732757120689712e+03 7.085939883240503434e+01 1.665142871463432783e+01 9.600220533327691896e+01 2.781321990875992967e+00 3.743920959925934877e-01 1.179910228419635416e+02 1.665142871463432925e+02
0.000000000000000000e+00 -1.395288271248167803e+03 2.828152765112229616e+01 7.085741463238763416e+00 2.271736296247511788e+01 -3.705596717953747898e+00 -3.249868447691475204e-01 2.003955931212908581e+01 7.085741463238763060e+01
0.000000000000000000e+00 -1.368384507060067335e+03 6.342501910115751684e+01 2.520255925165910238e+00 2.847603216527031478e+01 8.770097629035152664e+00 6.432385321740592410e-01 1.598472801934532583e+01 2.520255925165910327e+01
0.000000000000000000e+00 -1.357976165295300234e+03 7.840829955581804711e+01 1.356778352507113716e+01 5.572403546948367925e+00 -3.417987638190669308e+00 -5.503177108777286275e-01 1.063826834942270523e+02 1.356778352507113823e+02
0.000000000000000000e+00 -1.344327144715492977e+03 7.008138383707070318e+01 4.475124769078555609e+00 2.791862739874985166e+01 7.560929741093577405e+00 9.227890903531101863e-01 3.136229366605766700e+01 4.475124769078555431e+01
0.000000000000000000e+00 -1.341507917530518171e+03 9.789490894093312079e+00 3.445845456440440824e+00 3.043901182510460046e+01 4.550707553378430248e-01 8.987923355806974879e-01 3.373307271827651110e+00 3.445845456440440557e+01
0.000000000000000000e+00 -1.334470189572417439e+03 7.161611641454709343e+01 1.424806406527521574e+01 9.405592941923832484e+01 -7.834531173494450051e+00 -2.453278542772430182e-01 1.020391014780674936e+02 1.424806406527521574e+02
0.000000000000000000e+00 -1.330839695217940971e+03 9.498027806178963317e+01 1.550559477734645952e+01 7.104169082125525847e+01 -8.945124389521923902e+00 -7.021867688949658959e-01 1.472725703465799825e+02 1.550559477734645952e+02
0.000000000000000000e+00 -1.321386901985377335e+03 5.343076642559111633e+01 3.105375226233734409e+00 2.447742145897566957e+01 3.920998458519434848e+00 -1.910229497227957651e-01 1.659225783767118401e+01 3.105375226233734409e+01
0.000000000000000000e+00 -1.320160635068663396e+03 6.336605439786993088e+01 3.397308790142181678e+00 2.172361612231117434e+01 1.046881024590810227e+00 4.563388071045033634e-01 2.152740536025111595e+01 3.397308790142182033e+01
0.000000000000000000e+00 -1.319802879970478898e+03 9.028569049111268896e+01 1.114052555414498613e+01 9.088376622756368306e+01 -2.257019294928824138e+00 -7.101362270258984033e-01 1.005830042089865799e+02 1.114052555414498613e+02
0.000000000000000000e+00 -1.316840450349536695e+03 8.905046217099445016e+01 1.638499289170017192e+01 7.687177977201027090e+01 -6.127838737450743700e+00 -2.296736227434799105e-01 1.459091189674359157e+02 1.638499289170017050e+02
0.000000000000000000e+00 -1.314271043951332103e+03 3.958199913052835939e+01 6.213708350719682194e+00 2.505323754872069841e+01 -6.143812305103062421e+00 -3.903264493065312646e-01 2.459509985355432704e+01 6.213708350719682016e+01
0.000000000000000000e+00 -1.311331131821227245e+03 6.219546621712337497e+01 8.328865922627297635e+00 2.068471302072221363e+01 -9.530772078519706980e+00 -2.148650150517255053e-01 5.180176991177162193e+01 8.328865922627298346e+01
0.000000000000000000e+00 -1.304201131360618092e+03 4.916513978562465326e+01 5.535198709100236591e+00 2.356211290940623115e+01 1.903745377189141053e+00 -5.875524555591520315e-01 2.721388182741223005e+01 5.535198709100236414e+01
0.000000000000000000e+00 -1.288807804434474747e+03 7.852368247033311377e+01 1.536273972465960203e+00 2.806289583867269499e+01 1.414169833316869074e+00 7.399615784875617219e-01 1.206338896013543405e+01 1.536273972465960114e+01
0.000000000000000000e+00 -1.280746916870848509e+03 8.836648358377276224e+01 1.288728275009158075e+01 8.959311453563864802e+01 5.837723263947037111e+00 7.550986023646313328e-01 1.138803859575405539e+02 1.288728275009158040e+02
0.000000000000000000e+00 -1.277970318019893966e+03 9.950679607277351124e+01 1.730732902356862013e+01 6.793577432776373826e+01 -3.152737668156477824e+00 3.137613223365429693e-01 1.722196859712636865e+02 1.730732902356862155e+02
0.000000000000000000e+00 -1.271506879040911372e+03 8.635074466449817976e+01 1.672078671382600135e+01 7.931656177125363172e+01 -3.014003706432504259e+00 7.143868368826564730e-01 1.443852384115122618e+02 1.672078671382600135e+02
0.000000000000000000e+00 -1.265143104113223671e+03 6.084707350932749392e+00 6.607288476106349506e+00 3.215617913800733163e+01 7.288961616924709119e+00 -4.903359333065464565e-01 4.020341676029755007e+00 6.607288476106349151e+01
0.000000000000000000e+00 -1.264360903694112494e+03 6.277644023723409106e+01 1.769807575799521615e+01 9.534750032094420646e+01 7.070515816433456280e+00 -2.457504310416098736e-01 1.111022195135828099e+02 1.769807575799521544e+02
0.000000000000000000e+00 -1.260548912352240222e+03 1.742715658755803432e+01 2.598558061784028705e+00 3.371243831921334788e+01 9.358295115907182549e-01 -6.938917751982975890e-01 4.528547824457157311e+00 2.598558061784028794e+01
0.000000000000000000e+00 -1.259130909386924031e+03 3.474898723351613938e+01 1.893170145213725064e+01 6.289214243714069674e+00 9.807274256711060900e+00 -8.631150479119287233e-02 6.578574520690563077e+01 1.893170145213724993e+02
0.000000000000000000e+00 -1.257657303437938026e+03 8.054972190807001198e+01 1.396707955146065849e+01 8.905567097451256586e+01 3.391208313616422387e+00 -3.922411023135576880e-01 1.125044373738047199e+02 1.396707955146065956e+02
0.000000000000000000e+00 -1.245575634620929122e+03 7.456495605138957217e+01 2.479734079164770844e+00 2.621750452012712174e+01 -5.928969301922631274e+00 3.182141929330348784e-01 1.849012626320541486e+01 2.479734079164770932e+01
0.000000000000000000e+00 -1.238363123388988242e+03 2.189131877228467360e+01 1.040364430774614846e+01 2.139165348807353695e+01 2.074059316577482548e+00 5.836102853533524648e-01 2.277494939343358382e+01 1.040364430774614846e+02
0.000000000000000000e+00 -1.235447582089182106e+03 8.080264666393692607e+01 1.666748391032054144e+01 7.996347326033546210e+01 -9.764878287543865554e-01 -2.740449769119570611e-01 1.346776813182484602e+02 1.666748391032054144e+02
0.000000000000000000e+00 -1.233929188404745219e+03 5.468352415769736297e+01 1.912733954048515628e+01 9.655148785561222269e+01 -5.241853925003752579e+00 3.650092435973391058e-01 1.045950333834600059e+02 1.912733954048515557e+02
0.000000000000000000e+00 -1.232388242542192529e+03 4.358678015538246342e+01 1.810495363791098100e+00 3.758721744324773084e+01 9.410822920654908330e+00 -9.328326144810608067e-01 7.891366339390178730e+00 1.810495363791098100e+01
0.000000000000000000e+00 -1.228801936517729700e+03 9.175911004054567854e+01 1.919815139421416816e+01 6.605832915533306959e+01 -7.423958916219262072e+00 -1.993661660138832392e-01 1.761605286356753481e+02 1.919815139421416745e+02
0.000000000000000000e+00 -1.227380106462265758e+03 9.866757597981809624e+01 1.016857403151492889e+01 7.283189151364483394e+01 -9.215831508297389618e+00 -9.639514095863566112e-01 1.003308550860904518e+02 1.016857403151492889e+02
0.000000000000000000e+00 -1.222339534242564696e+03 2.379403642622810366e+01 1.987750261588757539e+01 1.720268069473730321e+01 -8.536124569765021874e+00 -1.739192920654450969e-01 4.729660213048733652e+01 1.987750261588757610e+02
0.000000000000000000e+00 -1.187407872906744160e+03 9.910435732993953195e+01 1.356928700761669049e+01 6.860218267579571716e+01 -4.667161333116716548e+00 -6.874816733871673691e-01 1.344775468315350508e+02 1.356928700761669120e+02
0.000000000000000000e+00 -1.175067789369708407e+03 9.136511101219294062e+01 1.239538043321628003e+01 8.487339944790761592e+01 2.768724349097173132e+00 7.148400730961703697e-01 1.132505309319169555e+02 1.239538043321628038e+02
0.000000000000000000e+00 -1.171728744423320677e+03 6.273031757055269964e+01 1.306467716159294667e+01 9.962308283237871365e+01 4.101853403432700773e+00 4.839094404692787510e-01 8.195513473034725394e+01 1.306467716159294810e+02
0.000000000000000000e+00 -1.170122208254226280e+03 6.354969751870919836e+00 1.126798382107438634e+01 3.580306522830704807e+01 6.503597157753361557e+00 -8.695832548779358628e-01 7.160769634749863499e+00 1.126798382107438670e+02
0.000000000000000000e+00 -1.168902291508411508e+03 6.214755776782231322e+01 1.467423435380253771e+01 8.933152064754426647e+01 -6.599233161731524078e+00 -8.297126563227337215e-01 9.119678272015059406e+01 1.467423435380253807e+02
0.000000000000000000e+00 -1.166172193146750942e+03 1.456136032853623163e+01 1.075975200514641550e+01 3.011218307377649950e+01 -6.355559019861873438e+00 -4.738682195812362608e-01 1.566766259926271765e+01 1.075975200514641585e+02
0.000000000000000000e+00 -1.165497581890394940e+03 7.625074768595088415e+01 9.349583553173339112e+00 9.998458852490026061e+01 -4.368030189012994668e+00 -5.963282653164236891e-02 7.129127364817364310e+01 9.349583553173339112e+01
0.000000000000000000e+00 -1.160516341593624020e+03 5.756314839491416535e+01 1.849497945951239686e+01 9.486139500383848144e+01 8.755402370290532588e+00 4.229738386079870960e-01 1.064629247188801457e+02 1.849497945951239615e+02
0.000000000000000000e+00 -1.156517937685035577e+03 6.332514042245153973e+01 1.432179610467943220e+01 9.722767279443812072e+01 9.392013538319716304e+00 6.000235384790741922e-01 9.069297494305445184e+01 1.432179610467943291e+02
0.000000000000000000e+00 -1.151774216385480031e+03 7.674321443923369657e+01 1.334105355099253742e+01 8.468664570160396465e+01 -9.580168100531949449e-01 -8.448684761972604651e-01 1.023835333509120460e+02 1.334105355099253813e+02
0.000000000000000000e+00 -1.148984621926199907e+03 8.944017977025325195e+01 1.927646671834155256e+01 6.755439221141926964e+01 4.946657802911483159e+00 -5.003273423320888647e-01 1.724090648623772211e+02 1.927646671834155256e+02
0.000000000000000000e+00 -1.146168926071599344e+03 6.905316002224527949e+01 1.956560082869848216e+01 8.283584423908389738e+01 5.995744266879245998e+00 -2.732903740577801166e-01 1.351066564955491174e+02 1.956560082869848145e+02
0.000000000000000000e+00 -1.143955969893168003e+03 7.875315958508438996e+01 8.017762890737589743e+00 9.877790410937188881e+01 -9.387026394464260903e+00 5.841128098929537771e-02 6.314241604496250204e+01 8.017762890737589032e+01
0.000000000000000000e+00 -1.143062788638304482e+03 8.217835306207169310e+01 1.540952029131627654e+00 3.188421314344423863e+01 -7.748624174160958944e+00 5.900432809589162275e-02 1.266328999016946888e+01 1.540952029131627654e+01
