weight logl A w B x0 k f sigma_v
0.000000000000000000e+00 -1.320160635068663396e+03 6.336605439786993088e-01 1.261741468495884977e-01 2.172361612231117345e-01 5.523440512295405558e-01 7.281694035522516817e-01 6.002613202956975647e-01 2.070058332675210888e-01
0.000000000000000000e+00 -1.319802879970478898e+03 9.028569049111269118e-01 5.337118712707887846e-01 9.088376622756367818e-01 3.871490352535588153e-01 1.449318864870507984e-01 1.742352100824882122e-01 7.987853097253873047e-01
0.000000000000000000e+00 -1.316840450349536695e+03 8.905046217099444883e-01 8.097364679842196100e-01 7.687177977201027357e-01 1.936080631274628150e-01 3.851631886282600448e-01 5.384825973334733673e-01 5.175366323352883491e-01
0.000000000000000000e+00 -1.314271043951332103e+03 3.958199913052835583e-01 2.744057026694569634e-01 2.505323754872069708e-01 1.928093847448468789e-01 3.048367753467343677e-01 9.669573944504047391e-01 9.869822591825235802e-01
0.000000000000000000e+00 -1.311331131821227245e+03 6.219546621712337409e-01 3.857297854014366534e-01 2.068471302072221185e-01 2.346139607401465099e-02 3.925674924741372473e-01 6.521381954328275832e-03 2.795805121323368114e-01
0.000000000000000000e+00 -1.304201131360618092e+03 4.916513978562465637e-01 2.386946689000124522e-01 2.356211290940622982e-01 5.951872688594570526e-01 2.062237722204239843e-01 5.845702743124054912e-01 7.434585387404460954e-01
0.000000000000000000e+00 -1.288807804434474747e+03 7.852368247033311155e-01 2.822494591926105745e-02 2.806289583867269677e-01 5.707084916658434759e-01 8.699807892437808610e-01 4.775399047250517004e-01 9.834036089948487991e-01
0.000000000000000000e+00 -1.280746916870848509e+03 8.836648358377275914e-01 6.256464605311358174e-01 8.959311453563865157e-01 7.918861631973518334e-01 8.775493011823156664e-01 9.307952274678392701e-01 5.826312245568585624e-01
0.000000000000000000e+00 -1.277970318019893966e+03 9.950679607277351790e-01 8.582804749246643050e-01 6.793577432776374270e-01 3.423631165921761088e-01 6.568806611682714847e-01 4.654409698468229273e-01 8.994035506966380211e-02
0.000000000000000000e+00 -1.271506879040911372e+03 8.635074466449818020e-01 8.274098270434736557e-01 7.931656177125363527e-01 3.492998146783747870e-01 8.571934184413282365e-01 6.343159183363353826e-01 5.889726543045727958e-01
0.000000000000000000e+00 -1.265143104113223671e+03 6.084707350932749836e-02 2.951204461108605237e-01 3.215617913800733474e-01 8.644480808462354782e-01 2.548320333467267718e-01 8.304443363468956285e-01 4.967234361220446148e-01
0.000000000000000000e+00 -1.264360903694112494e+03 6.277644023723408795e-01 8.788460925260640488e-01 9.534750032094420069e-01 8.535257908216729028e-01 3.771247844791950632e-01 6.768779952880640272e-01 9.382631550394922026e-01
0.000000000000000000e+00 -1.260548912352240222e+03 1.742715658755803476e-01 8.413463483073835292e-02 3.371243831921334477e-01 5.467914755795358905e-01 1.530541124008512055e-01 5.216989810620074053e-01 7.324474067094740581e-01
0.000000000000000000e+00 -1.259130909386924031e+03 3.474898723351613761e-01 9.437737606388025835e-01 6.289214243714069674e-02 9.903637128355530228e-01 4.568442476044035638e-01 4.210453636722089055e-02 4.133848000585321758e-01
0.000000000000000000e+00 -1.257657303437938026e+03 8.054972190807001553e-01 6.824778711295083067e-01 8.905567097451256853e-01 6.695604156808211416e-01 3.038794488432211560e-01 9.592810755972293046e-01 3.839252969972531959e-01
0.000000000000000000e+00 -1.245575634620929122e+03 7.456495605138957483e-01 7.788074100867214966e-02 2.621750452012712174e-01 2.035515349038684585e-01 6.591070964665174392e-01 6.886268752081535771e-01 2.331934014307853742e-01
0.000000000000000000e+00 -1.238363123388988242e+03 2.189131877228467360e-01 4.949286477761131176e-01 2.139165348807353650e-01 6.037029658288741718e-01 7.918051426766762324e-01 5.666420866379868748e-01 1.744995819320949160e-02
0.000000000000000000e+00 -1.235447582089182106e+03 8.080264666393692785e-01 8.246044163326600174e-01 7.996347326033546032e-01 4.511756085622806722e-01 3.629775115440214694e-01 6.362383366960825404e-01 6.260865144385436842e-01
0.000000000000000000e+00 -1.233929188404745219e+03 5.468352415769736075e-01 9.540705021307976930e-01 9.655148785561221692e-01 2.379073037498123933e-01 6.825046217986695529e-01 9.438110982262675197e-01 9.801295861992459502e-01
0.000000000000000000e+00 -1.232388242542192529e+03 4.358678015538246520e-01 4.265765072584726258e-02 3.758721744324773351e-01 9.705411460327454387e-01 3.358369275946959664e-02 4.156582537179497328e-01 8.617742421600104175e-01
0.000000000000000000e+00 -1.228801936517729700e+03 9.175911004054567721e-01 9.577974418007456636e-01 6.605832915533307315e-01 1.288020541890368964e-01 4.003169169930583804e-01 4.025743158463890303e-01 9.948543211720709545e-01
0.000000000000000000e+00 -1.227380106462265758e+03 9.866757597981808958e-01 4.825565279744699065e-01 7.283189151364483083e-01 3.920842458513051909e-02 1.802429520682169439e-02 2.406041839507858660e-01 2.609445779664297804e-01
0.000000000000000000e+00 -1.222339534242564696e+03 2.379403642622810455e-01 9.935527692572407865e-01 1.720268069473730455e-01 7.319377151174888407e-02 4.130403539672774516e-01 3.491688323331021415e-01 9.672705752455525996e-01
0.000000000000000000e+00 -1.187407872906744160e+03 9.910435732993952973e-01 6.615414214535100257e-01 6.860218267579571982e-01 2.666419333441641948e-01 1.562591633064163155e-01 1.558274390971225998e-03 9.802575144451783906e-01
0.000000000000000000e+00 -1.175067789369708407e+03 9.136511101219293440e-01 5.997568649061200130e-01 8.487339944790761592e-01 6.384362174548586788e-01 8.574200365480851849e-01 7.063813744688758334e-01 9.347414057679989119e-01
0.000000000000000000e+00 -1.171728744423320677e+03 6.273031757055269608e-01 6.349830085048919770e-01 9.962308283237870654e-01 7.050926701716350165e-01 7.419547202346393755e-01 6.406353303108229813e-01 4.375374867339543172e-01
0.000000000000000000e+00 -1.170122208254226280e+03 6.354969751870920280e-02 5.404202011091782110e-01 3.580306522830705163e-01 8.251798578876680113e-01 6.520837256103206858e-02 1.590251780268108206e-01 6.975585464074650632e-01
0.000000000000000000e+00 -1.168902291508411508e+03 6.214755776782231456e-01 7.196965449369756573e-01 8.933152064754427135e-01 1.700383419134238183e-01 8.514367183863313926e-02 2.703146350548401022e-01 5.840080965346123865e-01
0.000000000000000000e+00 -1.166172193146750942e+03 1.456136032853623252e-01 5.136711581656008274e-01 3.011218307377649950e-01 1.822220490069063059e-01 2.630658902093818696e-01 8.968827441663740352e-01 7.901787431160773867e-01
0.000000000000000000e+00 -1.165497581890394940e+03 7.625074768595088148e-01 4.394517659564914913e-01 9.998458852490026416e-01 2.815984905493502666e-01 4.701835867341788155e-01 7.789188862240933320e-01 6.701427931665950855e-01
