A w B x0 k f sigma_v
5.693823219794929003e+01 5.100095597558613747e+00 5.961447176257291858e+01 -1.603351688676220022e-01 6.100473190184949601e-01 2.903904273655313162e+01 5.100095597558613747e+01
5.966046700809110348e+01 4.297131687431418712e+00 5.975881238163683662e+01 1.533874883936228173e-01 4.726740464979324319e-01 2.563688832674250051e+01 4.297131687431418356e+01
5.262557120781495001e+01 5.442310579211082633e+00 5.709174316170560814e+01 -1.667629181874978883e-01 5.788082994296233075e-01 2.864047029213174511e+01 5.442310579211082455e+01
5.410952046049725084e+01 5.683933514428316514e+00 5.837432336918545417e+01 -5.943153265899123738e-01 5.391732138673517305e-01 3.075549167950650187e+01 5.683933514428316869e+01
5.575637670570503701e+01 4.491001110764013760e+00 6.079000538632008954e+01 -4.136714155264247239e-01 6.980360174269089057e-01 2.504019497174980913e+01 4.491001110764013760e+01
5.755457977706934969e+01 5.343698082552841733e+00 5.961943018958928064e+01 -3.574272999062131362e-01 7.504074127432083241e-01 3.075542975968600601e+01 5.343698082552841555e+01
5.522446372407296877e+01 5.177984725974380531e+00 6.106893362409027048e+01 -1.035710170318596468e+00 6.288417462171358441e-01 2.859514296633760821e+01 5.177984725974380353e+01
5.057822090433779039e+01 4.842710800638423407e+00 5.919778034024925972e+01 -3.222406613599844150e-01 5.646743439785857355e-01 2.449356966505127176e+01 4.842710800638423052e+01
5.595674271566601021e+01 4.991991678387135423e+00 5.787197450984512415e+01 -9.048844736894103846e-01 4.309359180912355480e-01 2.793355939862546933e+01 4.991991678387135778e+01
5.181954305897251345e+01 4.936162298520383018e+00 5.906186677277764119e+01 -6.822021863289347010e-01 7.170926204673058191e-01 2.557896747742537258e+01 4.936162298520383018e+01
5.667181909507207394e+01 4.571595535431738355e+00 5.778262136115903758e+01 -7.667004263261354424e-01 4.403517698507100064e-01 2.590806351598266133e+01 4.571595535431738710e+01
5.395690892779239078e+01 5.320821497378742215e+00 5.671292800967500369e+01 -3.730505241687218643e-01 5.373224117330501759e-01 2.870950809551047200e+01 5.320821497378742038e+01
4.163368217807011717e+01 5.201821584803601795e+00 6.091885785982415058e+01 -8.870106357586760026e-01 6.674358422064419205e-01 2.165709866087381741e+01 5.201821584803602150e+01
4.568167004081995231e+01 5.204202337102265652e+00 5.937604904003435280e+01 -1.050094185768674748e+00 6.880780386084754952e-01 2.377366539891697528e+01 5.204202337102265830e+01
5.390426004103305502e+01 5.400563981676933523e+00 5.732960675089005065e+01 -1.496284226652649707e+00 5.780144602955876731e-01 2.911134052365503067e+01 5.400563981676933167e+01
5.363505544523943058e+01 4.963036399745284655e+00 5.815611049280068556e+01 -1.348319142993368303e-01 4.944421973389678815e-01 2.661927324770798009e+01 4.963036399745284655e+01
5.408152243316505547e+01 4.884169097433861850e+00 5.918566584596375435e+01 1.986445154969889160e-01 6.291503508912872356e-01 2.641433006102409564e+01 4.884169097433861850e+01
5.111784931834210965e+01 5.149578672889314035e+00 5.908606533179223419e+01 -5.643058197864512238e-01 5.075482202397849640e-01 2.632353866537041043e+01 5.149578672889313680e+01
5.640479648355787390e+01 5.146205652039379075e+00 5.932425595893248982e+01 -6.111340727091132408e-01 6.412835190396233287e-01 2.902706824658164209e+01 5.146205652039378720e+01
5.628218454200271026e+01 4.607799858077186173e+00 6.010055416759253433e+01 -3.705928829865818841e-01 6.504763865262674916e-01 2.593370419449140485e+01 4.607799858077186173e+01
5.796623231909055818e+01 4.422749702711346487e+00 6.001669372409133274e+01 -1.118136573308406767e+00 5.826683115765964871e-01 2.563701367565546008e+01 4.422749702711346487e+01
4.724508645205290946e+01 5.183394568945989711e+00 5.726341937445904762e+01 -2.362141496476262148e-01 6.342790808129523672e-01 2.448899245249548073e+01 5.183394568945989533e+01
5.349370196896732210e+01 4.977695991918277940e+00 5.753777302460424181e+01 -6.355542092173269708e-01 6.035977991592995640e-01 2.662753858837995224e+01 4.977695991918277940e+01
5.583054724953656489e+01 4.756090769095121296e+00 5.931146179466448842e+01 1.502673014766369164e-01 6.216056674600818344e-01 2.655351504070498692e+01 4.756090769095121118e+01
5.289019635964229593e+01 4.758568056040918925e+00 6.035844877123858510e+01 -2.187096587076009513e-01 5.036670847880113655e-01 2.516815988747255162e+01 4.758568056040918748e+01
5.511493109179561856e+01 5.250071698353406369e+00 5.814333737100578503e+01 -1.526416826008158978e-01 6.352746179842729823e-01 2.893573398817343900e+01 5.250071698353406191e+01
4.898620623448523759e+01 5.200544161828262624e+00 5.942350007329903150e+01 -2.078803211300481735e-01 6.592831262463167974e-01 2.547549288428674430e+01 5.200544161828262446e+01
5.298409868855886629e+01 5.651390644783073292e+00 5.797304605507458319e+01 -6.866220939663651990e-01 6.224625739745659470e-01 2.994338396507847122e+01 5.651390644783073469e+01
5.410890696373198239e+01 4.542039975570695276e+00 6.150742394409444103e+01 -7.992181827321847010e-01 6.442221170716762035e-01 2.457648184637062272e+01 4.542039975570695276e+01
5.450883881905902228e+01 5.096840007024555419e+00 6.029963143802999070e+01 -4.323983649316875955e-01 5.756535689077255658e-01 2.778228304294331608e+01 5.096840007024555064e+01
5.859722608299531288e+01 5.226288068015283450e+00 5.762345220583728889e+01 -4.742631526421572374e-01 5.404994611681475103e-01 3.062459834963523164e+01 5.226288068015283272e+01
4.916166395977587200e+01 4.966250612926375041e+00 6.201229695704316924e+01 -5.264635531295809301e-01 5.515297983909284163e-01 2.441491437727173874e+01 4.966250612926374686e+01
4.599443665520376356e+01 5.504620943889959150e+00 5.860578384771795157e+01 -2.284723256145664294e-01 5.104652952082282535e-01 2.531819393146546560e+01 5.504620943889959506e+01
5.117617003066396819e+01 4.863899455332965971e+00 6.132151610021512056e+01 -9.862611024008884897e-01 6.441685100819807275e-01 2.489157455381737094e+01 4.863899455332965971e+01
5.336877128759706324e+01 5.750191560544819502e+00 5.721097639176549166e+01 -6.063611517925178163e-01 6.990287752484507511e-01 3.068806582545873241e+01 5.750191560544819680e+01
5.655436928575088018e+01 4.707624175189758731e+00 5.920007331647803284e+01 -2.734502782322394410e-01 6.379440715982844790e-01 2.662367160622100215e+01 4.707624175189758375e+01
5.370378494425725080e+01 5.406951901121760606e+00 5.839565733568672101e+01 -9.296532977032789802e-01 5.917815433120252600e-01 2.903737821017859488e+01 5.406951901121760784e+01
5.414978095609264130e+01 5.097132354413039579e+00 6.065182909103384645e+01 -5.176692474215798256e-01 6.613336722250555688e-01 2.760086004956788841e+01 5.097132354413039934e+01
5.605731645214952863e+01 5.290475576371720834e+00 5.827903765765133670e+01 -7.735424195559659211e-02 5.671915292930811425e-01 2.965698635670377215e+01 5.290475576371720479e+01
5.886762777555293269e+01 4.536048139691888359e+00 6.021977083256855678e+01 -6.453531020754077474e-02 6.855983312947753205e-01 2.670263934593714339e+01 4.536048139691888537e+01
4.858289218169966261e+01 5.183539646433136916e+00 6.022657291382233069e+01 4.145308703237322590e-01 5.517083479157047776e-01 2.518313477622266561e+01 5.183539646433136738e+01
4.929885449467949599e+01 5.490561020473576193e+00 5.822179621164635677e+01 7.184141553204366204e-01 5.051289942846517445e-01 2.706783688424857814e+01 5.490561020473576548e+01
