weight logl C sigma mu1 a1 W lam0
1.213436945788518653e-105 -4.666784942832975389e+02 2.796819282879754951e+02 2.377625396737574448e+00 1.213858297504299344e+03 4.126016450727959750e+01 1.475253147739882531e-01 1.213858297504299344e+03
3.358861143271284188e-105 -4.656578490964476487e+02 2.794415584578927678e+02 2.237505177292166691e-01 1.218822918767036072e+03 1.852110319122963347e+02 6.627898618029092193e-01 1.218822918767036072e+03
4.945159214908119433e-105 -4.652685419058061598e+02 2.793547782856120421e+02 2.897674710659628783e+00 1.219270966950325601e+03 2.513951595846353655e+02 8.999135834634237607e-01 1.219270966950325601e+03
9.325085747340560490e-104 -4.623291578136058888e+02 2.786130175044553994e+02 2.814743138780182896e+00 1.218630789602784262e+03 2.940518877123213315e+02 1.055413312508339807e+00 1.218630789602784262e+03
1.233493957215930590e-101 -4.574417599374539805e+02 2.773882480742299776e+02 2.096003430485478436e+00 1.214954008993280013e+03 2.946551788654819006e+02 1.062248241989802056e+00 1.214954008993280013e+03
3.432235615091435924e-101 -4.564158988638514529e+02 2.771963123840201888e+02 4.623726770224552141e-01 1.215059125333041720e+03 3.474469824810525438e+02 1.253432917244977629e+00 1.215059125333041720e+03
4.624750024363273598e-101 -4.561151883748192404e+02 2.770895348447420474e+02 1.220521908981529347e+00 1.215766916678225016e+03 3.341444475309328936e+02 1.205907858332360583e+00 1.215766916678225016e+03
6.506843341090403639e-100 -4.534686711577628557e+02 2.763403932801586507e+02 1.802962325991750214e+00 1.215720794919092441e+03 2.643061314083950037e+02 9.564513109034946670e-01 1.215720794919092441e+03
1.272806627814788648e-99 -4.527952161042494481e+02 2.761193385842461225e+02 1.424626552739239660e+00 1.218422467515254084e+03 2.764571828426057891e+02 1.001223544356190098e+00 1.218422467515254084e+03
2.016629367552099291e-99 -4.523325130217736501e+02 1.003163514015307953e+02 6.954106417753611602e-01 1.212772392571530418e+03 1.493419447236881012e+02 1.488709892626828513e+00 1.212772392571530418e+03
2.804574993640155953e-99 -4.520001884994726424e+02 1.002267205989442118e+02 1.518174954766690732e+00 1.210749353397730147e+03 5.160548724367344420e+01 5.148875163757183904e-01 1.210749353397730147e+03
8.832763688929833047e-99 -4.508504725553495973e+02 1.006213560685047952e+02 2.772573018815317702e+00 1.215008993012696919e+03 3.763773844672999189e+02 3.740531823195222483e+00 1.215008993012696919e+03
1.038408181583437908e-98 -4.506861664705891144e+02 2.755964424342554935e+02 1.932966748470924312e+00 1.217959723402180771e+03 3.474947897859253203e+02 1.260882712115637849e+00 1.217959723402180771e+03
1.627134825834829812e-98 -4.502345347239975126e+02 2.754244594542875575e+02 1.945724826076461911e+00 1.214040009939170432e+03 1.414556588968001165e+02 5.135914913914086943e-01 1.214040009939170432e+03
4.707808160207603505e-98 -4.491696329756060777e+02 1.007950109513660095e+02 1.771489369815512527e+00 1.217884527706707786e+03 2.690158428262323014e+02 2.668940062480210429e+00 1.217884527706707786e+03
1.022652538936193358e-97 -4.483913705434184749e+02 2.749331549959585459e+02 2.197758527610110146e+00 1.219689095561858494e+03 3.105460765002389394e+02 1.129533018688865909e+00 1.219689095561858494e+03
7.831284306673612227e-97 -4.463531438031673133e+02 2.743728215898325402e+02 6.190130480966521409e-01 1.215239054629473685e+03 5.858481047114659646e+01 2.135226445960694830e-01 1.215239054629473685e+03
1.185085767688858823e-96 -4.459363700808019075e+02 2.743068679381586321e+02 2.509144835954645103e+00 1.216161953985840455e+03 2.108910053065471004e+02 7.688141638294365698e-01 1.216161953985840455e+03
2.913205794859015087e-95 -4.427318460150395936e+02 2.734036892632017270e+02 2.713266580023891539e+00 1.210732605488347872e+03 1.676682411482025259e+02 6.132625408239855691e-01 1.210732605488347872e+03
6.068944170123477867e-95 -4.419954154899496643e+02 2.731778457676962262e+02 2.185333236262751999e+00 1.216822721896459370e+03 1.695034802403205987e+01 6.204876525179945507e-02 1.216822721896459370e+03
7.599054068500884152e-95 -4.417680763626973430e+02 1.015988823291830982e+02 2.339987805036660151e-01 1.217260702408548696e+03 2.149540541759753509e+01 2.115712783921366857e-01 1.217260702408548696e+03
