C sigma mu1 a1 W lam0
1.732699196993978035e+02 2.533541177543655820e+00 1.216406029828727014e+03 2.651176283331698755e+02 1.530084557049005811e+00 1.216406029828727014e+03
1.682360155847674434e+02 1.060498624094741826e+00 1.212923794361456430e+03 7.968713970310474792e+01 4.736627851421835733e-01 1.212923794361456430e+03
1.699222215810103762e+02 3.625392106360392219e-01 1.213565783904484533e+03 3.768521021092497563e+02 2.217791755562621425e+00 1.213565783904484533e+03
1.702402815227548842e+02 1.891641160571687408e+00 1.215966763565852716e+03 2.254575034972915262e+02 1.324348746845535052e+00 1.215966763565852716e+03
1.738943740107138183e+02 9.424041249246880581e-01 1.216328298273971768e+03 1.636581475728005159e+02 9.411353788979818225e-01 1.216328298273971768e+03
1.732937205060803194e+02 2.174632470312244159e+00 1.214895504769525587e+03 2.937373106540442222e+02 1.695025704314184534e+00 1.214895504769525587e+03
1.729887081748047137e+02 1.926651644993722323e+00 1.219508250547406305e+03 8.676679537161837175e+01 5.015749079063629434e-01 1.219508250547406305e+03
1.702160581952250311e+02 1.564780622466670490e+00 1.219835047618277713e+03 1.380066150215735661e+02 8.107731813604234228e-01 1.219835047618277713e+03
1.664611722371793689e+02 1.846986179808110196e+00 1.212431596856092028e+03 4.581982468091437255e+01 2.752583324093667572e-01 1.212431596856092028e+03
1.693430155865285940e+02 1.062263551084859703e+00 1.215678001531625114e+03 1.100973543646286572e+02 6.501440521966647124e-01 1.215678001531625114e+03
1.732658956446768173e+02 2.748823122522960904e+00 1.210096558529833828e+03 8.502622601465535013e+01 4.907268432618844822e-01 1.210096558529833828e+03
1.736529413098517693e+02 2.865975813127364713e+00 1.213665338387868360e+03 1.447620697280270576e+02 8.336286655215688901e-01 1.213665338387868360e+03
1.702355642215779312e+02 1.036447603714207299e-01 1.213715953141057525e+03 1.754886324915701934e+01 1.030857643019615355e-01 1.213715953141057525e+03
1.725967661224703988e+02 6.373032383995017591e-01 1.217030177056535194e+03 3.290365034355955345e+02 1.906388577420502495e+00 1.217030177056535194e+03
1.703934207001775576e+02 5.355618867559410745e-01 1.214374526299697436e+03 9.973033978937422717e+01 5.852945458783802568e-01 1.214374526299697436e+03
1.723253119228598393e+02 1.752789219691569533e+00 1.217075246838794783e+03 2.620606718557053796e+02 1.520732322672451620e+00 1.217075246838794783e+03
1.669383844522513982e+02 1.249103513104740548e+00 1.211514928523090475e+03 2.506936858401872712e+02 1.501713860852007976e+00 1.211514928523090475e+03
1.755260390496581522e+02 4.493528285191376037e-01 1.214559861980864525e+03 4.743726652117138620e+00 2.702577166214688298e-02 1.214559861980864525e+03
1.763514820403164549e+02 6.762240957329714863e-01 1.218261099042997557e+03 4.680288439333263284e+01 2.653954696146688663e-01 1.218261099042997557e+03
1.726269033134748270e+02 7.161831390351393045e-01 1.214197524921569311e+03 2.625693709225914176e+02 1.521022308126498856e+00 1.214197524921569311e+03
1.767357518951590407e+02 1.764739279843877462e+00 1.217299786059966209e+03 2.212718548761856994e+02 1.251992607627266052e+00 1.217299786059966209e+03
1.752215248557879477e+02 6.969887479190267632e-01 1.219933522884340164e+03 3.932599861528665031e+01 2.244358884997320336e-01 1.219933522884340164e+03
