weight logl H0 sigma
3.775230971948495200e-31 -4.485334801683137584e+02 6.109709508062510785e-02 5.309716247895941432e-01
3.875540298725573474e-31 -4.485047566487504014e+02 2.069750367340782438e-01 2.792804477418622255e-01
7.709200523972143488e-31 -4.478145272449552863e+02 9.590828536801957460e-01 7.908397679537585434e-01
1.131087089715851432e-30 -4.474286774442003889e+02 7.329931227806910643e-01 3.043205678694431704e-01
2.566249290519307041e-30 -4.466069112278860871e+02 9.676182221812817952e-01 8.495924742369553861e-01
6.338144369121713987e-30 -4.457002706014213800e+02 8.180259941523905232e-01 4.566757907480816225e-01
6.468357135003700091e-30 -4.456774344849028466e+02 8.515874394008452475e-01 5.268098501504583364e-01
1.620283971950009165e-29 -4.447566701225673569e+02 7.388038026276110282e-01 3.216261698859355089e-01
1.740161139711136593e-29 -4.446827938298092135e+02 9.540683647790051403e-01 8.453523336930546250e-01
2.219342404775347782e-29 -4.444370606098381131e+02 9.291558369042433041e-01 7.538237005358162657e-01
2.530835860941346554e-29 -4.443032219197823451e+02 1.720815538376628817e-01 3.453354982821782437e-01
3.384712184462586603e-29 -4.440100026717744868e+02 9.392485189798633893e-01 8.011068329311095138e-01
4.847259700839113158e-29 -4.436483580126423476e+02 7.844911513142605042e-02 5.310444928852764424e-01
9.266181613665821034e-29 -4.429979001609676175e+02 9.215043844678652007e-01 7.556880904435255841e-01
9.248742321830773975e-29 -4.429972839707043590e+02 9.555049340751856635e-01 9.135090401996680542e-01
1.108178490696730925e-28 -4.428139687867454199e+02 1.131378511017170352e-01 4.613838203883606770e-01
1.108296405502971716e-28 -4.428113623882416050e+02 6.574762837306735719e-02 5.693518810693153354e-01
2.139151521362639475e-28 -4.421512771897149037e+02 1.339392346257836097e-01 4.235714871114489855e-01
2.180052097474240372e-28 -4.421298376803435985e+02 1.378372584157098180e-01 4.161325092109099399e-01
2.584721053518781485e-28 -4.419570688623091996e+02 9.575804801759650875e-01 9.965969985143060539e-01
2.578472788637489937e-28 -4.419569891735051215e+02 4.358970967630401150e-01 8.281655458429515448e-02
3.973123784353175164e-28 -4.415221338220419511e+02 3.314001466603022639e-01 1.454355182450152162e-01
4.141781379185983333e-28 -4.414780604746642325e+02 8.661388352732971585e-01 6.031762539230847153e-01
5.510502676262339660e-28 -4.411900306059677064e+02 8.186620820450507541e-02 5.448808349367680881e-01
6.413240193363963762e-28 -4.410358218211832764e+02 8.517311520589366802e-01 5.693273363399141695e-01
9.485387212107637034e-28 -4.406419340286017245e+02 7.927000384541991185e-01 4.364378773694521652e-01
1.278605781827289330e-27 -4.403408311104502104e+02 9.202157785082104580e-01 8.214592703174556920e-01
