H0 sigma
7.220637815875609533e+01 4.288956821378504287e+02
7.165220128072584771e+01 4.793126069333778219e+02
7.429917922158026045e+01 4.558989496921030309e+02
7.231600602289586277e+01 5.153795133365039192e+02
7.542229397542305946e+01 5.037975544250357416e+02
7.327922897993317974e+01 4.344667378141922427e+02
7.336603178807322934e+01 4.880149593885001877e+02
7.333739712430183033e+01 4.195337889960705411e+02
7.417093272843364105e+01 4.523883651179880303e+02
7.337771957820771718e+01 6.583686973258101034e+02
7.137975476194864655e+01 5.517264503948639458e+02
7.458101692213604395e+01 4.574254329354832294e+02
7.212748004510943645e+01 4.823146712857803209e+02
7.360052515701369202e+01 5.538564654843446533e+02
7.372650937779062019e+01 3.846137273426016350e+02
7.296521873335977659e+01 5.174867802469761955e+02
7.413951383755602365e+01 3.987493017096813901e+02
7.330602106089602898e+01 5.047993045488710777e+02
7.333739712430183033e+01 4.195337889960705411e+02
7.507373851391261610e+01 6.632281182998852955e+02
7.393696656449945692e+01 5.143616794454652563e+02
7.189870461179405936e+01 4.861900985526803538e+02
7.270120546706503717e+01 4.666074589799112573e+02
7.390019116806723787e+01 5.180341494499800774e+02
7.394071520534714637e+01 5.138178498093989219e+02
7.390685816755414805e+01 5.329721394851577543e+02
7.253165144531730846e+01 4.549206286390783589e+02
7.312779038638345241e+01 4.752579848038867567e+02
7.189870461179405936e+01 4.861900985526803538e+02
7.232755851842119910e+01 4.863120022154983531e+02
7.161052205714352681e+01 5.240595738363463170e+02
7.455952105411981279e+01 5.468997851533279118e+02
7.273774794076129524e+01 5.033179619120915618e+02
7.355464386216912942e+01 4.772412587714671872e+02
7.419877393643055541e+01 5.025002226823654041e+02
7.063507583024329506e+01 5.963736066891244718e+02
7.349041554761565465e+01 4.464350688593010545e+02
7.389526020800951756e+01 5.484086231505846172e+02
7.454914328415166835e+01 5.148179242997919118e+02
7.351840392082561948e+01 5.376314732675414234e+02
7.311124778357103082e+01 5.092019635709452814e+02
7.337647991625867405e+01 4.556229490365802803e+02
7.277002741607086023e+01 4.987544480719010380e+02
7.612158329048595817e+01 4.723442631371083280e+02
7.429485166342328739e+01 5.556737145836095806e+02
7.272143288195947264e+01 4.178349985568445959e+02
7.231253142737102735e+01 5.232670125384473749e+02
7.341088821483756988e+01 5.218487401141744613e+02
7.328066396226060419e+01 5.407111590136876202e+02
7.363318599156700373e+01 5.590038731201659630e+02
7.155896109709996722e+01 4.199332591909353027e+02
7.488720001306211316e+01 4.992312023788310853e+02
7.373673652378558074e+01 5.788444974766237010e+02
7.257525350386777063e+01 5.165449882295968109e+02
7.485733837370716515e+01 4.108556874748610426e+02
7.288860216252852808e+01 4.409129786415909393e+02
7.438609888603859588e+01 4.468359327015437543e+02
7.216062863940396710e+01 4.148943770421203681e+02
7.246269324846224436e+01 4.494121688954505771e+02
7.424539088258555353e+01 4.376193117044593350e+02
7.255309272538150367e+01 4.701086932356555508e+02
7.352244379487171955e+01 5.566686413217983045e+02
7.390685816755414805e+01 5.329721394851577543e+02
7.181925831271573202e+01 4.285804140483999163e+02
7.363616786524491431e+01 4.851681731242287015e+02
7.189679535144556155e+01 5.004057528313658167e+02
7.156311325866690254e+01 4.669992761890000565e+02
7.264897443630513862e+01 4.549764399674559172e+02
7.608744866975186483e+01 4.649113486527814416e+02
7.416542339600390221e+01 4.746088256157934779e+02
7.281532315421048907e+01 4.832299028094964797e+02
7.274840454833073977e+01 6.020234526304902829e+02
7.335340012815413502e+01 4.711207185236152100e+02
7.316165624314194815e+01 4.426704842521139085e+02
7.145325689411549774e+01 5.105391064606443479e+02
7.242120936212435822e+01 4.553189827667663394e+02
7.351707317974646116e+01 4.710507210713259383e+02
7.145325689411549774e+01 5.105391064606443479e+02
7.441830321746313359e+01 6.343932227024758959e+02
7.313095956839941891e+01 5.021151814395717565e+02
7.354684584931102620e+01 4.786268810943727772e+02
7.252247095907938501e+01 4.808096076599328512e+02
7.106576442127628468e+01 6.251584613532094181e+02
7.075479447008729039e+01 5.433659000329701030e+02
7.332301481970461055e+01 3.921120087027788372e+02
7.353094978253933789e+01 4.392281974428549916e+02
7.238752588359155027e+01 4.941764107797599195e+02
7.374555864030045882e+01 5.086635777528188669e+02
7.186855888839770046e+01 4.337458217157511626e+02
7.257296555234489688e+01 5.299765146361216921e+02
7.299194048620199737e+01 4.706805260879426100e+02
7.459235353226699772e+01 4.738536596391661533e+02
7.330956978410399927e+01 4.958664994824954988e+02
7.303279991889449718e+01 4.274709397698089788e+02
7.420571767365886728e+01 5.144968993575890863e+02
7.195286143056159744e+01 4.650684824998187992e+02
7.495785752811391944e+01 5.540898570699491756e+02
7.402803541996101444e+01 5.374749092118888711e+02
7.330919134671094639e+01 4.672241017105414471e+02
7.351190984161910080e+01 5.416361115421289014e+02
7.479484747387269294e+01 4.352104251731354339e+02
7.305894451585118077e+01 5.489227339173111204e+02
7.315314786806386849e+01 4.763416111865790299e+02
7.325601203650552407e+01 5.163092747284432562e+02
7.427160687612982315e+01 5.322725810786681677e+02
7.271861251704248730e+01 5.032211808711568892e+02
7.568246448431952444e+01 4.671939741968942599e+02
7.352483357082331850e+01 4.571240101571263494e+02
7.287942912094649728e+01 6.042982507622784851e+02
7.237844497757998852e+01 5.533672693940467298e+02
7.415761942971650456e+01 4.625383701523481363e+02
7.453722633418081500e+01 4.621393685369021682e+02
7.613886151071977793e+01 4.513228443225787601e+02
7.140050010397094127e+01 5.690016111471691147e+02
7.289578340848143512e+01 4.824363063767353310e+02
7.351316103123173207e+01 5.488310328778449048e+02
