H0 sigma epsilon tau
7.330653827442259285e+01 5.019466778223044230e+02 1.846382241994303230e-01 3.778237585274153076e+01
7.429383015765368725e+01 4.306821890554717243e+02 1.284451941066673264e-01 2.579411040901910113e+01
7.326257302216416178e+01 4.157578133365587973e+02 1.117872675682807099e-01 3.148747632170099564e+01
7.327532113749225573e+01 5.256950134368323688e+02 1.505995405724852299e-01 4.005174110667137199e+01
7.267556567226255027e+01 3.821667729157563258e+02 1.776462605803176276e-01 3.648491693674500880e+01
7.304264614689458313e+01 4.439036138153935553e+02 1.091722306415213450e-01 4.130663888509978676e+01
7.414038529874713390e+01 3.873141035748737977e+02 3.040598308606159428e-01 3.382584908458672857e+01
7.224742383640307253e+01 5.600293538410693372e+02 6.731128626909234358e-02 2.826847742845956901e+01
7.270183116252728439e+01 4.396755334863022426e+02 9.246626319465299504e-02 2.004898311850350012e+01
7.151076038810393243e+01 5.512192786068733312e+02 1.580716767074553941e-01 4.399239700375808582e+01
7.031869332245410931e+01 4.477648852759865008e+02 1.285191711768010336e-01 3.130179827913304180e+01
7.286211323309478871e+01 4.810758695152413793e+02 4.649106738440676040e-02 4.586095719897039658e+01
7.313517720991973192e+01 6.573869877702657050e+02 1.459139449484734563e-01 3.346595637041319549e+01
7.026631884830780450e+01 5.793258954751520378e+02 1.535716610301472440e-01 4.377803055617495431e+01
7.143825955582506992e+01 4.886877408571914430e+02 8.118567965991761726e-02 4.650383464123731869e+01
7.242106064084484274e+01 5.707213495923519986e+02 1.387415248360269471e-01 2.237612547690986986e+01
7.378118247315880751e+01 4.689058305336150170e+02 1.360438363893737568e-01 3.982474145966633472e+01
7.255607617576637836e+01 5.116171918214645871e+02 9.319188928833417596e-02 4.232812772785995747e+01
7.086469222164545556e+01 4.473143027767027888e+02 1.726813572505858652e-01 4.628700405920079675e+01
7.240137552908929308e+01 3.681858618130344212e+02 2.095926345175226913e-01 3.719665455910312346e+01
6.951850248688296574e+01 6.307606942350464578e+02 4.561194438596485184e-02 4.602026533411319775e+01
7.023422768359364454e+01 4.198700793560469720e+02 1.541535016384022738e-01 2.552633927401750569e+01
7.150737447528344148e+01 4.753990579863498169e+02 1.115003719162602352e-01 4.872202291272756725e+01
7.148658944316851205e+01 4.495324006484490837e+02 1.500394279719489965e-01 3.091856524519750948e+01
7.125900623155169455e+01 4.626685895599341620e+02 1.160522325324529896e-01 2.308554034209233663e+01
7.089537547562646580e+01 5.019522947930715304e+02 2.112377561829565098e-01 2.129612283698596187e+01
7.198232066244395355e+01 3.837916623396285445e+02 1.496546448286541486e-01 3.433020631126667865e+01
7.506046256112648507e+01 4.860551417276191160e+02 4.517058836654300191e-02 2.269501275268821416e+01
6.851041612643936674e+01 6.250501421138854994e+02 1.394469843810379750e-01 3.440342151711531926e+01
7.108862283317421316e+01 4.309145053296253991e+02 2.798554621950047339e-01 3.887770567696482260e+01
7.127415132292971123e+01 4.017804055824008174e+02 1.286846500878592037e-01 4.657059925852472304e+01
7.153739427465387735e+01 4.566729483564324141e+02 6.951758231497721929e-02 3.879104664048208662e+01
7.123729548857193095e+01 5.675751298144259636e+02 2.012753163420009928e-01 3.324490737242022220e+01
7.257494361422668305e+01 7.123571588772417726e+02 1.323102386527054974e-01 4.802314824579365649e+01
7.308648622348850665e+01 4.452363018845854299e+02 9.114646416090151082e-02 2.891658045772684815e+01
7.353456054279760679e+01 4.589985074409560752e+02 1.027805160750368541e-01 2.644973212660716655e+01
7.026765215107067775e+01 5.097180828333699765e+02 1.276623353923885817e-01 4.313239656755298768e+01
7.023157066673351778e+01 4.895315225318457237e+02 1.506909405534259949e-01 3.048424003948497329e+01
7.384045779794973896e+01 4.307663889073580776e+02 2.313955292001965702e-01 3.420053335341574297e+01
7.427383843382764894e+01 4.609239344446605742e+02 1.959180678537863485e-01 3.159994141699193904e+01
7.035316048139978307e+01 4.274601703394406513e+02 1.672973793993934033e-01 4.260236284028489706e+01
7.268483913148111242e+01 4.794170850665075250e+02 6.475795466400652289e-02 3.793571513424843289e+01
7.117221372427712822e+01 4.033285228892337386e+02 1.506084389566224868e-01 3.563854522849083395e+01
7.423089059438041204e+01 5.409082559864290261e+02 7.027139601749046727e-02 4.609349530200799450e+01
7.259937759696384774e+01 4.832324145510876860e+02 1.057808338946021748e-01 4.755920249598221261e+01
