weight logl H0 sigma epsilon tau
1.225833043596509116e-47 -5.086868122776174346e+02 9.338487605669220093e-01 2.052521790336772067e-01 7.897722163652597382e-01 6.126618881460553778e-01
1.370312617437590790e-47 -5.085728940243638476e+02 6.527812397211241180e-02 3.049992814526620855e-01 1.306338176092455283e-01 7.122260467234101666e-01
8.702619449758597812e-47 -5.067218088595612926e+02 1.472151125391716331e-01 3.420145876643155836e-01 1.602835554684608477e-01 1.559195763661233025e-01
8.756374440954982796e-47 -5.067131509834092071e+02 9.928975932962800233e-01 1.240278502553360251e-02 9.592260259910985187e-01 5.831620910677807190e-01
9.783291182967504453e-47 -5.065997569768719018e+02 9.025660589313697635e-01 3.226641569742649818e-02 9.574947851554437284e-01 6.821703555958830156e-01
1.022968780294696739e-46 -5.065526388643818336e+02 1.420799683074774888e-01 1.070906877877627617e-01 6.377980668933820319e-01 3.718886934484798568e-01
5.770768246139553493e-46 -5.048200426165210501e+02 8.720744627971022123e-01 2.468169897586520722e-01 7.075092978881236672e-01 9.227460944955364619e-01
1.336628682920033238e-45 -5.039776122046170030e+02 2.983357289052644967e-01 4.852611006815854555e-02 6.402345980478117982e-01 1.905767550639699826e-01
3.268069470139298530e-45 -5.030810633056311758e+02 9.083614172459948399e-01 3.307350280387946206e-01 9.141696473349940621e-01 1.452200602502027316e-01
5.358199234989367458e-45 -5.025841347850826537e+02 3.370651109749922547e-02 3.226152093178139557e-01 2.817631119785344307e-01 8.997027193218979368e-01
2.927399634564983616e-44 -5.008835631148664334e+02 1.870916897731577100e-01 1.257211759505164617e-01 4.133557470549623636e-01 3.906751653613307340e-01
3.645655142509031524e-44 -5.006616415604778467e+02 2.036109282950138155e-02 3.192830580660740436e-01 4.355184210568526781e-01 7.113932518576373543e-01
1.323415516377968490e-43 -4.993698766469483985e+02 6.360363116029872366e-01 2.055478621525530514e-02 9.043161341654941676e-01 1.381816035230267747e-01
1.443503084989662251e-43 -4.992805196968294581e+02 8.473828049634227755e-01 2.586168888507888175e-01 5.609532154021261707e-01 6.629966859543998670e-01
4.182378870075346890e-43 -4.982142123617776406e+02 7.455025690346417377e-01 1.867646335367090238e-02 8.438479370356222198e-01 3.297529536378535076e-01
4.364968997876727970e-43 -4.981689814672748753e+02 6.649417642234471959e-01 8.178683707776379652e-02 4.138783235090744972e-01 4.943310110783224465e-01
4.807534058598906723e-43 -4.980699082711798269e+02 8.680010700640600207e-01 2.606459150963728044e-01 7.733013689181323924e-01 9.534617052674434490e-01
7.959509130981626655e-43 -4.975632252231147845e+02 1.352405443166153631e-01 7.173844773467696889e-02 7.835463642627320535e-01 3.976904264127765209e-01
1.585436794301040286e-42 -4.968716475117486766e+02 2.030711281684040026e-01 2.270107822901314965e-01 5.524525762619003633e-02 3.116003747481536079e-01
1.864085975081270498e-42 -4.967072366219430251e+02 6.106655067485978750e-01 1.804325186409351245e-01 3.584641639405119484e-01 9.715211493943487486e-02
4.897485277155186438e-42 -4.957387855964773280e+02 8.374955783450124258e-01 2.903221782590690303e-01 5.572473649274474194e-01 9.579427267862232753e-01
3.679110475902087502e-41 -4.937197513636619988e+02 5.837801755243402502e-01 2.307668126439356149e-01 2.905707246390905052e-01 1.114130684317649056e-04
1.718541066538374967e-40 -4.921758615613684924e+02 3.073965795680275725e-01 2.727969817511455286e-02 3.548156549577529129e-01 3.466923499629034344e-01
8.231192419365027772e-40 -4.906069063840097897e+02 9.604060316009449538e-01 2.790243937060365997e-02 9.887346385495372481e-01 5.496986853331802259e-01
8.650840967633992717e-40 -4.905546807372154490e+02 1.174412854247630644e-01 2.797108522642434147e-01 2.681439799539707680e-01 4.997830225856966235e-01
9.651066451982707948e-40 -4.904427688527217128e+02 5.438081101850533727e-02 3.859620771718217380e-01 6.186909185261368904e-01 3.385424925101613303e-01
1.375331153427499422e-39 -4.900860576411533884e+02 9.476452235130790047e-01 4.315136197566762366e-01 6.495989836566719022e-01 9.599064476381650168e-01
1.409567668067798462e-39 -4.900589691431498522e+02 6.185782126067151943e-01 1.064721020844745514e-01 1.479139405001725915e-01 6.207151523079101896e-01
2.092834465575635511e-39 -4.896612328313433409e+02 7.482812265996594547e-01 1.302966416466132538e-01 6.430624967841245265e-01 4.279716989126318705e-01
8.107583088486320903e-39 -4.883044523746358436e+02 9.198663960494889436e-01 3.046627015278303707e-01 9.032582048407215014e-01 8.032997414448876938e-01
1.213535186440603542e-38 -4.878986293475423395e+02 1.157787513899227738e-01 2.202590587067728700e-01 5.269356317510214271e-01 6.918309527888171218e-01
1.583114110828060700e-38 -4.876302732256638706e+02 8.360915543871823008e-01 1.530225738466725049e-01 9.347602511629357069e-01 6.818222638657349677e-01
3.132656770974385090e-38 -4.869452856360014721e+02 1.287656857580818937e-01 4.313461495172077331e-01 5.638509518730966397e-01 5.409174311900322163e-02
1.276701802182564769e-37 -4.855378019607056217e+02 8.757709206956910686e-01 4.183291046545394298e-01 2.260371390202017272e-01 2.410652482349251446e-01
2.370722768540871922e-37 -4.849163871218596569e+02 8.991144318226729215e-02 2.218841985542389095e-01 7.116742193621502510e-01 8.898560939712384377e-01
2.608785347997025396e-37 -4.848181972670424784e+02 1.972888392483912456e-01 6.288306772292229230e-02 7.273633670749183322e-01 8.002807275804373344e-01
2.880401608759666354e-37 -4.847166522642312430e+02 6.717268331990371433e-01 1.362590628282360772e-01 3.415406768026865159e-01 4.787830049701700119e-01
6.507153173361940987e-37 -4.838991799361253356e+02 4.567607130680317873e-01 6.537089513678850938e-02 4.910967351467454556e-03 9.113477170398580629e-01
1.522443095947505490e-36 -4.830466805586496548e+02 9.331907468018493246e-01 3.988816196130072766e-01 7.388872879294114959e-01 5.704723117710741587e-01
