weight logl H0 sigma epsilon tau
2.082993942934733698e-53 -5.219971372296298568e+02 8.907583400370583604e+01 2.288979607475341993e+02 7.122962659922528472e-02 1.985317327509539709e+01
1.237857163681193993e-52 -5.202124766001189755e+02 9.281084417596950686e+01 5.181849765177306608e+02 1.509193962885546809e-02 2.520130213517798978e+01
1.319297312990309719e-52 -5.201462591348417845e+02 9.296837804412854211e+01 5.538816588510478596e+02 8.276107573177550122e-03 4.389982502344368243e+01
1.477358743320165745e-52 -5.200306025305241064e+02 9.811109142148877993e+01 7.097565717548598059e+02 3.683929856228516930e-02 4.544410125205100570e+00
1.145096034573021322e-51 -5.179802847915811981e+02 9.023345022057478104e+01 2.761842357221179896e+02 8.166172949134618830e-02 2.806277696480348638e+01
2.969829814920707441e-51 -5.170247686482605332e+02 9.685210473388815444e+01 5.588498671452467761e+02 6.410012431993473980e-02 4.562906057655794001e+01
6.915987920283161182e-51 -5.161769374768737180e+02 6.127320009415296909e+01 2.890302614935859538e+02 2.909639068248557128e-02 1.298336697657472882e+01
2.819457742457672521e-49 -5.124665585355204485e+02 9.658169454368103857e+01 6.552864777817434287e+02 7.155014344011711991e-02 7.185686641188776314e+00
2.153207311578494645e-48 -5.104310595156986210e+02 9.759733812988024226e+01 6.370013435880185853e+02 3.777458295548492828e-02 2.048379641219047542e+01
6.601345371141293035e-48 -5.093082445467064190e+02 8.849676860079154039e+01 2.734326324423402639e+02 9.858092639930393641e-02 3.695199321391788061e+01
1.225833043596509116e-47 -5.086868122776174346e+02 9.669243802834610335e+01 3.873530506471481090e+02 1.591019492828703030e-01 3.063309440730276734e+01
1.370312617437590790e-47 -5.085728940243638476e+02 5.326390619860561770e+01 5.269989940337269445e+02 1.543419280323880989e-02 3.561130233617051033e+01
8.702619449758597812e-47 -5.067218088595612926e+02 5.736075562695857855e+01 5.788204227300418552e+02 1.922294892203179825e-02 7.795978818306164904e+00
8.756374440954982796e-47 -5.067131509834092071e+02 9.964487966481399894e+01 1.173638990357470391e+02 2.991935089120013602e-01 2.915810455338903751e+01
9.783291182967504453e-47 -5.065997569768719018e+02 9.512830294656848196e+01 1.451729819763970966e+02 2.959480744037873423e-01 3.410851777979414834e+01
1.022968780294696739e-46 -5.065526388643818336e+02 5.710399841537387289e+01 2.499269629028678708e+02 1.067057689081201827e-01 1.859443467242399350e+01
5.770768246139553493e-46 -5.048200426165210501e+02 9.360372313985510573e+01 4.455437856621128958e+02 1.276733946943818809e-01 4.613730472477682554e+01
1.336628682920033238e-45 -5.039776122046170030e+02 6.491678644526322728e+01 1.679365540954219682e+02 1.073754611084947186e-01 9.528837753198498461e+00
3.268069470139298530e-45 -5.030810633056311758e+02 9.541807086229974288e+01 5.630290392543124653e+02 2.387704210828811568e-01 7.261003012510136578e+00
5.358199234989367458e-45 -5.025841347850826537e+02 5.168532555487496438e+01 5.516612930449396117e+02 3.610496075337997490e-02 4.498513596609489440e+01
2.927399634564983616e-44 -5.008835631148664334e+02 5.935458448865788483e+01 2.760096463307230579e+02 5.753795566017157886e-02 1.953375826806653492e+01
3.645655142509031524e-44 -5.006616415604778467e+02 5.101805464147506797e+01 5.469962812925036815e+02 6.156211849413803505e-02 3.556966259288186905e+01
1.323415516377968490e-43 -4.993698766469483985e+02 8.180181558014936627e+01 1.287767007013574130e+02 2.295226838546703396e-01 6.909080176151338293e+00
1.443503084989662251e-43 -4.992805196968294581e+02 9.236914024817113500e+01 4.620636443911043330e+02 8.740312375831450764e-02 3.314983429771999113e+01
4.182378870075346890e-43 -4.982142123617776406e+02 8.727512845173208689e+01 1.261470486951392616e+02 1.864313750367579403e-01 1.648764768189267471e+01
4.364968997876727970e-43 -4.981689814672748753e+02 8.324708821117235402e+01 2.145015719088693231e+02 5.763127429549472908e-02 2.471655055391612166e+01
4.807534058598906723e-43 -4.980699082711798269e+02 9.340005350320299726e+01 4.649042811349219164e+02 1.520246831523483777e-01 4.767308526337217245e+01
7.959509130981626655e-43 -4.975632252231147845e+02 5.676202721583076993e+01 2.004338268285477511e+02 1.563707017051594872e-01 1.988452132063882516e+01
1.585436794301040286e-42 -4.968716475117486766e+02 6.015355640842020080e+01 4.178150952061840826e+02 6.294541077362899792e-03 1.558001873740768062e+01
1.864085975081270498e-42 -4.967072366219430251e+02 8.053327533742989885e+01 3.526055260973091663e+02 4.812460186001488865e-02 4.857605746971743521e+00
4.897485277155186438e-42 -4.957387855964773280e+02 9.187477891725062307e+01 5.064510495626966531e+02 8.655043621663892350e-02 4.789713633931116021e+01
3.679110475902087502e-41 -4.937197513636619988e+02 7.918900877621700829e+01 4.230735377015098493e+02 3.742551612346980972e-02 5.570653421588245280e-03
1.718541066538374967e-40 -4.921758615613684924e+02 6.536982897840138662e+01 1.381915774451603625e+02 4.752462169274162401e-02 1.733461749814517106e+01
8.231192419365027772e-40 -4.906069063840097897e+02 9.802030158004724569e+01 1.390634151188451142e+02 3.925266406909627692e-01 2.748493426665901040e+01
8.650840967633992717e-40 -4.905546807372154490e+02 5.587206427123815189e+01 4.915951931699407851e+02 3.409106539675166303e-02 2.498915112928483140e+01
9.651066451982707948e-40 -4.904427688527217128e+02 5.271904055092526420e+01 6.403469080405504883e+02 1.015886316987878596e-01 1.692712462550806762e+01
1.375331153427499422e-39 -4.900860576411533884e+02 9.738226117565395157e+01 7.041190676593466833e+02 1.099874086950038410e-01 4.799532238190825240e+01
1.409567668067798462e-39 -4.900589691431498522e+02 8.092891063033576415e+01 2.490609429182643737e+02 1.762808031811239143e-02 3.103575761539551081e+01
2.092834465575635511e-39 -4.896612328313433409e+02 8.741406132998297096e+01 2.824152983052585455e+02 1.081577962953637062e-01 2.139858494563159397e+01
8.107583088486320903e-39 -4.883044523746358436e+02 9.599331980247444562e+01 5.265277821389624933e+02 2.285807710169588114e-01 4.016498707224438647e+01
1.213535186440603542e-38 -4.878986293475423395e+02 5.578893756949614158e+01 4.083626821894820296e+02 7.980466676294199757e-02 3.459154763944085431e+01
1.583114110828060700e-38 -4.876302732256638706e+02 9.180457771935911637e+01 3.142316033853414865e+02 2.616213303388765787e-01 3.409111319328674483e+01
3.132656770974385090e-38 -4.869452856360014721e+02 5.643828428790409646e+01 7.038846093240907749e+02 8.807433919516685639e-02 2.704587155950161304e+00
1.276701802182564769e-37 -4.855378019607056217e+02 9.378854603478455942e+01 6.856607465163551751e+02 2.806869843266056666e-02 1.205326241174625679e+01
2.370722768540871922e-37 -4.849163871218596569e+02 5.449557215911336527e+01 4.106378779759344866e+02 1.290623745490128704e-01 4.449280469856191900e+01
2.608785347997025396e-37 -4.848181972670424784e+02 5.986444196241956206e+01 1.880362948120912279e+02 1.344600174019014438e-01 4.001403637902186716e+01
2.880401608759666354e-37 -4.847166522642312430e+02 8.358634165995185583e+01 2.907626879595304672e+02 4.536676469615306267e-02 2.393915024850850060e+01
6.507153173361940987e-37 -4.838991799361253356e+02 7.283803565340159025e+01 1.915192531915039069e+02 5.468577274294602946e-04 4.556738585199290270e+01
1.522443095947505490e-36 -4.830466805586496548e+02 9.665953734009247000e+01 6.584342674582102291e+02 1.386034801069363498e-01 2.852361558855370660e+01
2.032514349604717663e-36 -4.827552232806581287e+02 5.872332578313107376e+01 3.713564767404801614e+02 5.385068277183463481e-02 4.710590047438996919e+01
4.093255823121538891e-36 -4.820526562049970494e+02 5.190698813520548782e+01 8.428007082723124768e+02 5.133291451501167391e-01 5.446668456371051015e+00
4.474185488515188863e-36 -4.819611725817284764e+02 9.698386440735018255e+01 8.387810691415805877e+02 3.162502998573952784e-01 2.460947207250208102e-01
7.243083393115515357e-36 -4.814769499043869700e+02 5.954431735997663111e+01 3.726086715199315336e+02 3.460029563227320915e-02 4.237419623107873434e+01
7.360409117231938035e-36 -4.814583813853727747e+02 7.436553391683665382e+01 1.335631140482537091e+02 1.684536964609350054e-02 3.799234250335732810e+01
1.878533562763412891e-35 -4.805189203574936414e+02 7.989468835329357432e+01 1.513876809297714772e+02 9.808394372706603914e-02 2.401825172330302394e+01
4.514277240046066905e-35 -4.796396667158242622e+02 5.638038281884011838e+01 6.561147041987102284e+02 7.891349258787332469e-03 1.550033255016006706e+01
6.203044893909820741e-35 -4.793193715267390758e+02 9.451621574105034540e+01 7.279171025515458950e+02 3.543971518060968356e-02 1.556092771041998546e+01
6.339518422265603262e-35 -4.792951090032241268e+02 8.428462576974229137e+01 5.136108920311202155e+02 8.401303057899327242e-02 2.306224803259360190e+00
6.404844676138471129e-35 -4.792823571255081561e+02 9.004651178972885361e+01 6.415792103257663257e+02 9.992492445088850539e-02 2.356325927898589079e+00
2.527522720332352666e-34 -4.779070870560377671e+02 9.780778170055299370e+01 6.985137211154427632e+02 1.827012336589907415e-01 2.607957080228061741e+01
2.958016102963736427e-34 -4.777473079090185024e+02 8.198475799285765220e+01 1.542897576210884267e+02 1.498761830246603255e-01 2.247223366282729629e+01
6.884145069722716162e-34 -4.769001057655702880e+02 8.007539246094235352e+01 2.293263075227644947e+02 5.007208165635991526e-02 4.755092776024418555e+01
4.167723151975429670e-33 -4.750968717441927538e+02 8.513323013672777506e+01 3.713201396322690471e+02 5.468233413646909208e-02 2.273853805514282200e+01
6.984675263188378196e-33 -4.745780231231345851e+02 9.724881018627750962e+01 8.684195376080809865e+02 3.463224148462267643e-02 3.994413940669147678e+01
1.065851277847765901e-32 -4.741528827293764152e+02 5.248798294287296073e+01 7.043392676521120848e+02 3.981092658981588012e-02 3.825525557127227216e+01
1.334884507209617871e-32 -4.739253117545165424e+02 5.187270413940965597e+01 8.414713627840903882e+02 1.541604753035600087e-02 2.299653957830147277e+01
3.963432410275556502e-32 -4.728345461110633892e+02 6.032075282351058831e+01 3.600926197918260527e+02 8.240614285234702796e-02 1.835621487061827750e+01
4.459129320986881040e-32 -4.727142030037084623e+02 9.340266088032382186e+01 6.701752770814999849e+02 1.197368721502377054e-01 3.689395812320471890e+01
1.306977534859450999e-31 -4.716363541920093780e+02 6.362055452406424649e+01 3.869848980883600689e+02 5.570173614003672002e-03 1.414736734018200970e+01
1.437248483960146671e-31 -4.715388409274780770e+02 5.878364414376871849e+01 2.048174108745189415e+02 2.155503959628880251e-01 2.200839265966061475e+01
2.144303537359913352e-31 -4.711362566297300418e+02 9.963560956749955722e+01 4.842178067940559458e+02 4.423142857321692434e-01 1.814334875620883736e+01
2.242051281677769649e-31 -4.710891802406068791e+02 7.139444259201957266e+01 1.493681729437943204e+02 3.207140940073611723e-01 6.785531213532625117e+00
2.574670664468466472e-31 -4.709483498095365803e+02 5.093890894119754620e+01 8.238890745090333212e+02 3.643080305416652315e-02 3.759833745128374716e+01
4.777252338055128911e-31 -4.703277058816252634e+02 6.187237846159500521e+01 2.368203186650278838e+02 1.071758139020826256e-01 3.634353455563756086e+01
1.102365667877485217e-30 -4.694890278674645288e+02 5.219205971912261077e+01 8.783881947559298169e+02 3.961505230267519523e-02 1.744577530409428689e+01
2.382758567792264151e-30 -4.687157274665977980e+02 9.264851043641878903e+01 6.536702276474178461e+02 1.546332120370624841e-01 3.785059265732969180e+01
2.401870483888666046e-30 -4.687052385430937989e+02 5.171405015792879567e+01 7.567231642115885961e+02 1.006415302168151976e-01 2.886593494279876992e+01
2.681709852883740331e-30 -4.685925317492933004e+02 5.443893539304601603e+01 4.564431046306539201e+02 2.259410745609097826e-01 4.676041237647968529e+01
2.978138079845799460e-30 -4.684851880453606441e+02 8.827362618695974561e+01 5.583917087792702887e+02 1.569965362819547294e-01 7.157907990366702222e+00
4.099067005549468525e-30 -4.681632269569922755e+02 5.257074671697220936e+01 8.032012120787655931e+02 1.415318145978309433e-02 4.106304824783253338e+01
6.874987812947377617e-30 -4.676435964742959754e+02 5.032057856024299269e+01 8.911115549130965974e+02 5.530588096040853913e-02 3.176589754871424631e+01
9.961994940163227979e-30 -4.672702089984476288e+02 8.664833972175580357e+01 5.860406242228676774e+02 1.062136957454122566e-01 4.173140325961344210e+00
3.662283535583105746e-29 -4.659658143825067214e+02 6.102537778311344141e+01 2.173840313881008512e+02 2.376789091568508316e-01 1.579804430610901633e+01
3.690086566457972683e-29 -4.659557513346688324e+02 9.788669293069861510e+01 9.138741717963009705e+02 1.061354698988804662e-01 2.042969475599819162e+01
4.895605559679972691e-29 -4.656705632740170699e+02 9.622514816002002647e+01 7.724635773313353866e+02 2.963678192623507845e-01 3.833233455001880685e+01
6.059330155684029093e-29 -4.654548019935847378e+02 5.900917813878119489e+01 4.931772163285537545e+02 3.069571419310975630e-02 2.469517178075950525e+01
6.413760499555366036e-29 -4.653954554918796589e+02 5.274008065906227927e+01 6.577725938608533625e+02 1.389093180431272279e-01 3.868386893296349172e+01
7.272059287475721692e-29 -4.652673617425056705e+02 5.981638589358506408e+01 2.986904774626675021e+02 1.902922105587399326e-01 1.906038820433552772e+01
1.306877380911228042e-28 -4.646786755461621965e+02 8.418433364685634501e+01 4.839901166507448238e+02 4.669721608269541274e-02 7.680436406093649637e+00
3.813221587894830060e-28 -4.636053417662163270e+02 9.693076105498283823e+01 9.303734166235238945e+02 6.106794104285287461e-02 2.002171277683078188e+01
6.799336354002060321e-28 -4.630244911467771090e+02 5.449096680573612161e+01 4.411890720031909154e+02 2.912030783141601464e-01 3.953707972147220318e+01
1.091590789563114431e-27 -4.625485949939429702e+02 8.639712327552010152e+01 4.633172404508895283e+02 1.347957988256045514e-01 4.644695576909953161e+01
1.567596412947392175e-27 -4.621841875671068465e+02 8.890863411645402437e+01 5.013843800596092137e+02 1.600125013014815079e-01 2.439364593791307811e+01
1.654525551470352908e-27 -4.621277167743218115e+02 6.131943442375430919e+01 4.097405413862440469e+02 7.045975795743500414e-02 1.641832864749013865e+01
2.535085466735510700e-27 -4.616985037150393509e+02 7.965132126998072692e+01 4.675951388131236399e+02 7.921424378979032010e-02 3.783892707726188576e+00
2.890893090877766157e-27 -4.615646655838323227e+02 8.203814381806232348e+01 4.241936757324237419e+02 3.980062130888407240e-03 1.481146000691891373e+01
2.938523507821232738e-27 -4.615458238192250064e+02 9.641836830610267839e+01 9.707579631888423819e+02 7.870282170698623958e-02 1.588524860437307007e+00
3.659808833296403674e-27 -4.613238201514933507e+02 9.067995062284502694e+01 6.409060440058732411e+02 2.159588709147521324e-01 4.866082737733284347e+01
5.058298614686142548e-27 -4.609977008816023272e+02 5.947530069970085265e+01 5.172850835986205311e+02 4.233089916806494907e-02 1.917966426292244719e+01
6.957761778550834353e-27 -4.606763732271170397e+02 5.232050153020638561e+01 8.645229561852636380e+02 6.713102206469009903e-02 2.786134132605308977e+01
1.424629257189391450e-26 -4.599572343637316862e+02 5.029479140097942036e+01 8.183885888128737633e+02 2.092118821870970202e-01 4.867373191273831878e+01
1.513541403155053720e-26 -4.598941937682029675e+02 5.640626000731491985e+01 5.728674483052636788e+02 7.963819806990485306e-02 4.607375746375158343e+01
1.803014714309869614e-26 -4.597166858680059249e+02 8.759407259830639703e+01 5.059240067118762454e+02 2.166978299007204234e-01 9.121892195651254198e+00
1.808818681405699945e-26 -4.597109720032144651e+02 7.102625944516341860e+01 4.143406815809523209e+02 1.092826567786104180e-01 4.773270910465676309e+00
2.348498975948069666e-26 -4.594473695827689426e+02 9.389544222186594880e+01 8.652188001807364799e+02 8.231584156767869642e-02 6.806968716431638811e+00
2.687565914675321287e-26 -4.593100100536648256e+02 5.609946551721981223e+01 7.637875976944284275e+02 9.397703052057310158e-02 1.437646038598695064e+01
4.832810707993911567e-26 -4.587207177476772131e+02 6.600517612008081869e+01 5.481787795220784574e+02 1.130768721618653494e-01 4.266075638890754362e+00
7.751082758845169965e-26 -4.582458134287833218e+02 8.260827476398206670e+01 2.810105090260742600e+02 1.781775297643970746e-01 3.500913106279350018e+01
1.612673825231184084e-25 -4.575106673177436960e+02 5.706701610884690012e+01 5.025769519770594798e+02 1.522137754608607618e-01 3.124133513650868110e+01
2.525405349317027889e-25 -4.570596592959885811e+02 5.152147911351453757e+01 8.602188275734583840e+02 1.400247442539435949e-01 3.762422704061372514e+01
3.711908519398477063e-25 -4.566720147101529506e+02 9.269327992968780450e+01 8.118775019024722042e+02 9.300357281183342650e-02 4.145469304860533555e+01
5.962545223813194564e-25 -4.561955634393223136e+02 5.396494027177591590e+01 8.702435619670563938e+02 4.479803932958097146e-02 2.422161524853720493e+01
1.441389217279555500e-24 -4.553103684044677379e+02 9.804280080974132261e+01 1.135906609805698736e+03 5.465170827773997882e-03 3.165498951780420356e+01
1.545978145486730349e-24 -4.552378189733216800e+02 8.814425138280421379e+01 5.983347448286788222e+02 7.656650293240660488e-02 2.187650018969149457e+01
2.197092656521423637e-24 -4.548838408205966175e+02 8.615541432823393109e+01 5.448711725528737588e+02 4.050593333407612878e-02 2.226998167531451145e+01
3.284710950879449095e-24 -4.544791971297552777e+02 8.809046104137595989e+01 7.071337902725197182e+02 1.926095564481393116e-02 4.966502232581282428e+00
4.731964127876433882e-24 -4.541116354218862625e+02 5.284397029496592069e+01 7.919599324149442054e+02 1.772452103654374167e-01 3.486522105537604688e+01
5.176124603814321694e-24 -4.540194191569318605e+02 7.986253057062339167e+01 2.863321903098782286e+02 1.933093531791567066e-01 7.994385227214900524e+00
6.557723479713146419e-24 -4.537803322750251596e+02 5.329991600462864199e+01 1.026405186783978479e+03 2.231808474034160938e-03 3.641579897622344220e+01
9.606646526622023689e-24 -4.533960205817849669e+02 6.546034559077567394e+01 1.735375480715625258e+02 1.373694081566220471e-01 2.819296743066270139e+01
1.633184403125828052e-23 -4.528628589636950892e+02 5.864108007553907953e+01 7.378750516938812325e+02 2.118837877690051275e-01 9.773170059518637487e+00
2.054660911590183716e-23 -4.526307798664188908e+02 5.307889199688579396e+01 1.108389887199262830e+03 1.091028728875877846e-02 1.080959035680717495e+00
2.188328108998372762e-23 -4.525652528625006994e+02 5.448490406314524392e+01 7.914488978511583355e+02 6.087896654724219564e-02 4.466155436281957947e+01
2.676822372778304701e-23 -4.523612602849797213e+02 5.653943897645063998e+01 6.446455803225065893e+02 7.891161045168201826e-02 3.677634048564191716e+01
5.642901373530173114e-23 -4.516129923330584006e+02 8.085411971086921312e+01 2.095363775857071005e+02 1.958755247859619852e-01 1.313242646880503628e+01
7.345990167627290749e-23 -4.513467360852961860e+02 7.653666185697284163e+01 1.515735590171165370e+02 1.385507640134371332e-01 3.954033449726881599e+01
7.691882399267962190e-23 -4.512982251553236210e+02 7.167473756827888565e+01 1.188583151288449500e+02 7.453337250685786175e-02 3.462662795878263466e+01
7.909835838971103005e-23 -4.512677836662690538e+02 5.136456419400246887e+01 1.226871719390312364e+03 1.077449537079289560e-01 1.273058019220006898e+01
1.005385235287538544e-22 -4.510254348144752612e+02 8.722317525181104259e+01 6.678806920753132772e+02 8.788110634261078746e-02 6.769583158685199109e+00
1.610369624544601504e-22 -4.505518418681231765e+02 8.336599998959130176e+01 2.311575086701605528e+02 3.020629525428083495e-01 1.190835709157623334e+01
1.670674503758531612e-22 -4.505125781618810379e+02 9.806931002349125492e+01 1.225041320910612512e+03 1.260359089970413682e-01 2.914381091279142311e+01
