m0 c1 c2 c3 m_100 m_200 m_300 m_400
1.187628791994435495e+01 -5.754800337303258573e-01 3.564708462038135295e+00 9.049858749009569436e-01 1.480807864625486658e+01 1.564085177720687980e+01 1.563394831492699488e+01 1.486549601664659903e+01
1.047517602754206045e+01 1.873568593314070441e+00 1.767276208431310280e+00 3.288309508555023797e+00 1.475576808326389511e+01 1.537328956645622924e+01 1.554497343011794719e+01 1.508895267693075048e+01
1.057318888023391068e+01 1.492846794649743458e+00 2.111849761142527981e+00 3.128356462406234328e+00 1.476995106977457262e+01 1.548794010154477085e+01 1.568231103669125659e+01 1.518448181526268215e+01
1.045489096352112846e+01 1.471024696020471367e+00 2.150662067951042644e+00 3.024237215293494430e+00 1.463284438867959381e+01 1.533206720412250412e+01 1.549929534927978736e+01 1.498265220559188826e+01
1.015648213484427131e+01 9.671114773482063498e-01 3.354076075734992557e+00 2.402067114610622056e+00 1.474975378144599247e+01 1.555406832464973377e+01 1.555023579848936066e+01 1.472378353010509855e+01
1.421167511899308344e+01 -2.204275642042803796e+00 2.818806730418161877e+00 -4.951933942844384262e-01 1.459323114375227881e+01 1.539317111393385673e+01 1.554663316500824521e+01 1.512785816216415569e+01
1.077418241240609653e+01 1.159882938598320479e+00 2.393453351368577842e+00 2.606929671693947625e+00 1.475633683228845427e+01 1.545232310130911024e+01 1.556356379985816929e+01 1.498978801031356056e+01
1.000904077934302272e+01 3.691456873567950936e-01 4.077006787223893980e+00 2.014974478767284083e+00 1.458692300277521881e+01 1.553208954376034789e+01 1.550503943539869667e+01 1.454680331057210552e+01
1.022259875009629049e+01 9.930877293717959020e-01 3.256824491950975897e+00 2.366473851193589439e+00 1.474141469639906887e+01 1.551710034385280679e+01 1.550755050187431117e+01 1.469883631809450364e+01
1.018560653423026885e+01 1.278183202318070144e+00 3.048397197711851803e+00 2.656056629948979619e+00 1.486609567439633395e+01 1.562024081287477451e+01 1.563473469844635133e+01 1.486359281328755699e+01
1.168719322971045749e+01 5.403948999587022683e-01 2.298745445683421096e+00 1.858168347103582363e+00 1.479598472939695242e+01 1.544074082399704295e+01 1.553109731377563207e+01 1.501275566534134853e+01
1.051181450348781965e+01 1.073634825732018072e+00 2.775665836276324683e+00 2.660179191984397562e+00 1.477244415312009096e+01 1.555215301917396076e+01 1.565748909907353159e+01 1.500082079952384895e+01
1.129331906671574082e+01 6.668304668025104576e-01 2.260294859348888963e+00 2.379156894253373622e+00 1.464889725647326024e+01 1.540109864964219888e+01 1.560410902531756250e+01 1.513365978325058947e+01
1.133383479801459082e+01 7.525765705197109412e-01 2.292020004069234673e+00 2.142226568365925843e+00 1.471616098576961207e+01 1.538164165965033270e+01 1.549136950398028745e+01 1.496809193485170653e+01
