weight logl m0 c1 c2 c3 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -3.397483054505255132e+04 1.697467016399247086e+01 3.981944974770160073e+00 8.804358819011653736e+00 2.643905835414354755e+00 2.911689421044098935e+01 2.979781064606282470e+01 2.837047652243644080e+01 2.549758721324183242e+01
0.000000000000000000e+00 -3.287708981796839362e+04 1.667173994135884385e+01 -2.660704506437435057e+00 -9.407937027388697970e+00 -6.983712415593474887e+00 3.753921702309916952e+00 1.414168355707051461e+00 1.342355796748172736e+00 3.621738076020747599e+00
0.000000000000000000e+00 -3.260651679615474131e+04 1.020411558678020292e+01 -9.414194027870809833e+00 -7.711846889930907167e+00 6.320118820678306548e+00 -2.857720307585699615e+00 6.156172202303231700e-01 5.919578557086244253e+00 1.057269021049957303e+01
0.000000000000000000e+00 -3.246410695395835501e+04 1.419718393224417952e+01 -1.166070105209943364e+00 9.203374245404546627e+00 9.526942871621276510e+00 2.438302545075015004e+01 2.847168385243358202e+01 3.034806323567747910e+01 2.914844502855060071e+01
0.000000000000000000e+00 -3.234513242272715797e+04 1.991201572909364614e+01 -2.959039904286512090e+00 9.036144703275308387e+00 2.888771894291689790e+00 2.621288881400048965e+01 2.890554072991010059e+01 2.947505808408772410e+01 2.788102392796667317e+01
0.000000000000000000e+00 -3.194174699655146833e+04 1.593748012539985837e+01 9.739500494745545467e-01 -9.832932342373917223e+00 -7.666892803749929541e+00 5.630380026155002327e+00 2.045072798856407914e+00 8.101339248192491738e-01 2.438422186924139368e+00
0.000000000000000000e+00 -3.168854563398172104e+04 1.079872613063771780e+01 -4.630659701135809492e+00 -8.368009416709883297e+00 2.230956086979652753e+00 5.172629462293087954e-02 9.752228977189094650e-01 3.879440478683692461e+00 7.327536303393213046e+00
0.000000000000000000e+00 -3.167781733602999884e+04 1.391207260518295108e+01 7.571080655150023375e+00 6.931240819346161430e+00 6.160620848293376639e+00 2.871038714556963356e+01 2.917201139638959972e+01 2.792356999120436711e+01 2.530133786513345484e+01
0.000000000000000000e+00 -3.145542260710515984e+04 1.109572888464657225e+01 -4.541593612769652566e+00 -5.546930422832367924e+00 -2.065400565360628882e+00 1.522100281949887446e+00 1.541453924235314688e+00 2.903430793992930248e+00 5.051307092615578753e+00
0.000000000000000000e+00 -3.117418841716808311e+04 1.362559491411656154e+01 3.778296987243329852e+00 -9.891773534236467214e+00 -6.038850415551378248e+00 6.269943109954798643e+00 2.362726417692758929e+00 7.935020615099794838e-01 2.098417464037387603e+00
0.000000000000000000e+00 -3.080189703889721932e+04 1.453592573982434999e+01 3.934683910813589591e+00 -8.238920180384514680e+00 -9.270616375794475061e+00 7.727722083601335612e+00 3.060598921272919881e+00 3.612188032254799452e-01 8.006532332180267275e-01
0.000000000000000000e+00 -3.075154467054334964e+04 1.143078155500175974e+01 -1.576791975023727588e+00 -8.012424733348007422e+00 -1.385523829521373429e+00 2.518513781813350505e+00 1.621621462445851591e+00 2.625211652417881680e+00 4.972080877519944764e+00
