m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
1.503735276100426432e+01 1.980330754249996517e+02 -1.284187617202103837e-01 1.188354626457513774e+00 -6.031322166927566286e-02 9.165902857560741523e-01 1.641079605739047764e+01 1.619863845079537512e+01 1.650903859146377428e+01 1.628038197260435282e+01
1.495599159557657387e+01 1.985489675234454694e+02 -1.430617093711941124e-01 1.226390909451824385e+00 -2.634205860029403823e-01 8.090978509161281806e-01 1.636730087841083403e+01 1.609641280171132038e+01 1.644272241171712778e+01 1.614291352071719743e+01
1.504748953248036791e+01 1.967426957266645218e+02 -7.492297583821816431e-02 1.066454212940959323e+00 -1.499034212755585571e-01 1.015513874750462620e+00 1.629624262293641834e+01 1.621062008709570890e+01 1.647153921042232483e+01 1.632914314264362332e+01
1.515551360023064831e+01 1.011570090227575491e+02 1.308967737569577849e+00 1.197378790009029359e-01 4.972897364133039844e-01 1.111101004139314341e-02 1.654230706610097457e+01 1.649142815819166685e+01 1.643192612347256443e+01 1.636422471560309333e+01
1.494905984305366076e+01 1.997695134768098342e+02 -6.680761019177872129e-02 1.337639290854417240e+00 -9.643935274944936964e-02 6.695892621269567968e-01 1.635867472782951282e+01 1.622876134694578454e+01 1.636879614706283803e+01 1.623735152704351137e+01
1.503261108221667541e+01 1.995279203817722191e+02 -4.754920472251633612e-02 1.368484335812890862e+00 -1.240389462499305040e-01 6.524830614664978157e-01 1.645911346101448558e+01 1.637049941959088528e+01 1.647912741140326531e+01 1.638623730485811691e+01
1.508161005860949544e+01 1.987567203669328535e+02 -6.590437362018874978e-02 1.084021844390296252e+00 -6.021980308689656169e-02 8.361390596947586573e-01 1.626472413441585729e+01 1.615972294054045122e+01 1.632580362618393366e+01 1.621274424980914475e+01
1.512057509721834769e+01 1.000851625284253714e+02 1.347042444026701702e+00 1.062285582436111042e-01 7.467198267083929863e-01 1.358138862326541130e-02 1.656968333696839224e+01 1.656547005765539993e+01 1.656120639599349786e+01 1.655689248890499954e+01
1.510725098592926585e+01 1.960956956624994802e+02 -3.328512942623262916e-03 9.722172683459344711e-01 1.632209845176291196e-02 1.099767881857690810e+00 1.621139416379715570e+01 1.632022947626783349e+01 1.641514557987721901e+01 1.648872358616617007e+01
1.511897523716215375e+01 1.012393700741548344e+02 1.285918918837015923e+00 3.626801737508600354e-02 5.893367854900599667e-01 -4.696647899776351665e-02 1.639884213164451765e+01 1.634819153468738406e+01 1.628940806576393285e+01 1.622275790540223284e+01
1.510849944768007447e+01 1.022764077803582836e+02 1.375972673290206671e+00 5.052655223049740130e-02 3.790055591370347088e-01 -8.543192886540396103e-02 1.649035614286134077e+01 1.641453360348932122e+01 1.630807960454767880e+01 1.617253953821617074e+01
1.497506908260703185e+01 1.995530772428182047e+02 -1.162742683711783798e-01 1.158738787364942624e+00 5.409730667791379233e-02 7.973419126350442809e-01 1.626080368749411775e+01 1.604028479659010031e+01 1.628153249657878732e+01 1.606212370463421735e+01
