weight logl m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.640908261962013057e+04 1.670038998639679306e+01 7.457771923590210861e+01 -9.408705756515963969e+00 -9.785583683457758752e+00 1.365792964188095482e+00 7.591939912889237974e+00 2.009807562942441095e+01 3.151373550841388393e+01 3.203498495471777119e-01 1.778197445772365626e+01
0.000000000000000000e+00 -2.615475284689364344e+04 1.797271980113832512e+01 1.073308612760931169e+02 5.764449958701574062e+00 8.101046380606408803e+00 -9.505284526743594142e+00 9.771002335262178207e+00 2.507137917596803334e+01 1.808970606371389778e+01 1.663035809392907538e+01 2.158975943569793188e+01
0.000000000000000000e+00 -2.608040565886478726e+04 1.339916862474270332e+01 9.140693964069052413e+01 6.071714779432497266e+00 -2.272833773297000093e+00 7.437124768962416255e+00 -9.429486963280599099e+00 1.299767634293268337e+01 1.757810250158697229e+01 2.525723388276612624e+01 2.370161738169738896e+01
0.000000000000000000e+00 -2.521589932146429783e+04 1.008997358208635831e+01 5.578043700942407668e+01 -9.238907230166137907e-01 9.771185926061829008e+00 6.826768880631181702e+00 -5.385026993205825896e+00 -2.377101541612123725e+00 7.310885260536098329e+00 2.126174166488329220e+01 5.804933930453522350e+00
0.000000000000000000e+00 -2.517022465109743280e+04 1.332595110202910504e+01 8.384764501859578445e+01 8.008997679169880257e+00 -7.776776787042376071e+00 -7.608789751446279226e+00 9.246659003034757518e+00 2.097563468651378571e+01 -7.884066678684259699e+00 1.317334938502167851e+01 2.705947322501133456e+01
0.000000000000000000e+00 -2.507518636876060918e+04 1.521268823641111467e+01 1.722354780663615657e+02 -8.313881063864572596e+00 -6.513723211455923590e+00 8.206014223995396151e+00 5.475584330414658751e+00 1.969922163614302946e+01 2.555327634749268384e+01 1.448796105216568364e+01 2.591336788986696860e+01
0.000000000000000000e+00 -2.500058631330258504e+04 1.286078955352978426e+01 1.101657379392271139e+02 -2.793713691889305295e+00 -5.440614056445454594e+00 7.352023252631482819e+00 7.313677236410420335e+00 -2.382885042611338378e+00 3.347548161461267213e+00 1.363544295732746292e+01 1.707037362744807041e+01
0.000000000000000000e+00 -2.454234708071319619e+04 1.385160627303535641e+01 1.733442673193142980e+02 8.997206658746208063e+00 -8.546688990151409371e+00 -9.742414402956162789e+00 -1.208157430630761198e+00 4.557303940075589921e+00 1.284401899755576615e+01 3.043634389438866350e+01 8.763522456649873504e+00
0.000000000000000000e+00 -2.453586862125014159e+04 1.816756291824599501e+01 1.195077566451167144e+02 8.097052914541475133e+00 -7.476082108571400653e+00 -8.700694589106198862e+00 2.816165894167355077e-01 3.301147568401577104e+01 2.665359743049273078e+01 3.272754036284512225e+00 8.704315381262993867e+00
0.000000000000000000e+00 -2.449989158580988442e+04 1.258537967325105633e+01 1.015022830635798954e+02 -9.174678665160616475e+00 -4.507161794782019726e+00 -3.449297714585391361e+00 -9.379813276801364452e+00 1.075710765679145808e+00 3.417010425810653729e+00 5.857955748989973621e+00 8.327499011859949007e+00
0.000000000000000000e+00 -2.448374579317250391e+04 1.135828850982594673e+01 1.978451345643532022e+02 8.872558148935311806e+00 8.944843669566285627e+00 -4.310079812850069914e+00 -6.374004545345066219e+00 1.112641938907107964e+01 2.790686143873696778e+01 1.043166034104547713e+01 2.644850105939058693e+01
0.000000000000000000e+00 -2.446124244600968086e+04 1.334967616200534835e+01 1.359508647331326756e+02 8.670140502718560072e+00 4.688024603910461607e+00 -2.260861236476761071e+00 8.495760105848944477e+00 1.173781635656834155e+01 5.780503483429032308e+00 1.389243235521809439e+01 2.012488772809820503e+01
0.000000000000000000e+00 -2.425569435842751409e+04 1.606538825739716003e+01 1.990334438958743704e+02 8.005532457735959895e+00 7.116257391270536914e+00 6.317808146514462209e+00 -7.091590011729602239e+00 1.486099928033954853e+01 3.093044977409267204e+01 1.421739903853783815e+01 3.064125872734020106e+01
0.000000000000000000e+00 -2.418025790906761904e+04 1.722902797646643336e+01 7.996051723474423056e+01 8.559968190625383500e+00 8.123137970627198001e+00 8.435029570377352570e-01 -6.928444548604730358e+00 9.970172628166571016e+00 1.667746233785169352e+01 8.525432468444696710e+00 3.370535886405448878e+01
